"","noun","check"
"135","{b-v}renscht{a-o}f",1
"136","ziwile",1
"137","{p-f}{a-o}rs{a-o}rgt",1
"138","{a-o}m{u-o}nh",1
"139","idn",1
"140","{p-f}ֿ{u-o}n",1
"141","wi",1
"142","identikl",1
"143","im",1
"144","idee",1
"145","tr{a-o}dizie",1
"146","m{a-o}{p-f}i{a-o}",1
"147","li{p-f}ּ",1
"148","heimisch",1
"149","in{p-f}{a-o}rm{a-o}zie",1
"150","iignsch{a-o}{p-f}tn",1
"151","sch{u-o}l",1
"152","{p-f}in{a-o}nzir{u-o}ng",1
"153","h{u-o}if",1
"154","{b-v}eim",1
"155","{p-f}r{a-o}sstige",1
"156","iisn",1
"157","reder",1
"158","h{a-o}lter",1
"159","{b-v}{a-o}l",1
"160","r{u-o}kn",1
"161","r{u-o}lss",1
"162","iingekrizte",1
"163","wet",1
"164","geien",1
"165","{a-o}ssirim",1
"166","{b-v}{a-o}z{a-o}lte",1
"167","re{a-o}kzie",1
"168","ke{p-f}l",1
"169","iinssn",1
"170","iin{p-f}ir{u-o}ngn",1
"171","m{a-o}l",1
"172","t{a-o}{k-ch}ter",1
"173","{p-f}l{a-o}z",1
"174","mdinh",1
"175","teg",1
"176","w{a-o}l{u-o}te",1
"177","a{u-o}rs{a-o}ch",1
"178","iir{a-o}ָ{p-f}ּeische",1
"179","s{k-ch}r{u-o}n",1
"180","imigr{a-o}ntn",1
"181","kein",1
"182","inge",1
"183","sch{p-f}r{a-o}ch",1
"184","lender",1
"185","{p-f}ֿ{u-o}nem",1
"186","indsl",1
"187","n{a-o}zi{a-o}n{a-o}le",1
"188","scht{a-o}tn",1
"189","ssisstem",1
"190","mit",1
"191","integrirtn",1
"192","a{u-o}iss{p-f}l{a-o}newen",1
"193","s{a-o}{k-ch}n",1
"194","zwischn",1
"195","schw{a-o}rze",1
"196","liter{a-o}ַt{u-o}r",1
"197","interessn",1
"198","{p-f}ֿaַr",1
"199","teiln",1
"200","sch{a-o}ָ{p-f}ּing",1
"201","iignsch{a-o}{p-f}t",1
"202","inern",1
"203","wir{u-o}ss",1
"204","a{u-o}if",1
"205","zi{p-f}er",1
"206","welt",1
"207","re{p-f}{u-o}{b-v}lik",1
"208","{b-v}{a-o}{p-f}elker{u-o}ng",1
"209","likwid{a-o}ziess",1
"210","medn",1
"211","militer",1
"212","{p-f}{a-o}rtei",1
"213","{a-o}rmei",1
"214","kenigreich",1
"215","hent",1
"216","gresste",1
"217","i{a-o}r",1
"218","{a-o}l-zike",1
"219","sstr{u-o}kt{u-o}r",1
"220","chrdische",1
"221","zi{b-v}{u-o}r",1
"222","tele{p-f}ֿaָn",1
"223","ch{u-o}dsch",1
"224","{a-o}lwelti{k-ch}e",1
"225","netw{a-o}rk",1
"226","we{b-v}",1
"227","schkl{a-o}f",1
"228","{p-f}il{a-o}ss{a-o}{p-f}n",1
"229","{a-o}ltm{a-o}dische",1
"230","megle{k-ch}keit",1
"231","{a-o}lim{p-f}i{a-o}de",1
"232","seier",1
"233","aַr{u-o}mige",1
"234","h{a-o}t",1
"235","{a-o}l{p-f}n",1
"236","gri{k-ch}ische",1
"237","l{a-o}ndsch{a-o}{p-f}tn",1
"238","{a-o}mtirnde",1
"239","{p-f}irme",1
"240","ischi{b-v}h",1
"241","{a-o}r{k-ch}itekt",1
"242","{p-f}{a-o}lk",1
"243","{a-o}mrik{a-o}ne",1
"244","{p-f}{a-o}ssir{u-o}ng",1
"245","{p-f}{u-o}iern",1
"246","a",1
"247","{p-f}r{a-o}{b-v}lem",1
"248","{a-o}ktiwitetn",1
"249","t{a-o}g-zeit{u-o}ng",1
"250","desstin{a-o}zie",1
"251","{a-o}ngeh{u-o}i{b-v}n",1
"252","{p-f}{a-o}litiker",1
"253","{p-f}irerss",1
"254","ssim{b-v}{a-o}ָlss",1
"255","tlm{u-o}dim",1
"256","{a-o}ngeleigte",1
"257","{a-o}lte",1
"258","{a-o}ndn",1
"259","{p-f}ּaָetn",1
"260","{a-o}s",1
"261","k{a-o}s{a-o}kn",1
"262","dssch{u-o}ri",1
"263","aַntwikl{u-o}ngen",1
"264","religiese",1
"265","{b-v}{a-o}sez{u-o}ng",1
"266","wel{k-ch}er",1
"267","n{a-o}r",1
"268","{a-o}sstr{a-o}n{a-o}tn",1
"269","iinss",1
"270","regir{u-o}ng",1
"271","aָ{p-f}ּgesezte",1
"272","erd",1
"273","z{u-o}{b-v}isslech",1
"274","z{u-o}rissene",1
"275","h{a-o}r",1
"276","z{a-o}l",1
"277","s{u-o}{k-ch}n",1
"278","{p-f}ֿi{b-v}re",1
"279","g{a-o}sst",1
"280","a{p-f}{a-o}sizie",1
"281","erter",1
"282","a{p-f}enssiwe",1
"283","ken",1
"284","weg",1
"285","a{p-f}erirn",1
"286","aָ{p-f}ּerirn",1
"287","a{p-f}erirn-ssisstem",1
"288","a{p-f}erzie",1
"289","{a-o}reinz{u-o}schteln",1
"290","z{u-o}",1
"291","meisstersch{a-o}{p-f}t",1
"292","{a-o}l{u-o}kim",1
"293","{a-o}k{a-o}demie",1
"294","gek{u-o}men",1
"295","di{p-f}l{a-o}me",1
"296","aַk{a-o}ַdemische",1
"297","ri{a-o}n",1
"298","schtchim",1
"299","{a-o}kti{a-o}rn",1
"300","{a-o}ktn",1
"301","aַktrisse",1
"302","{p-f}ּr{a-o}ָ{b-v}lemen",1
"303","aַr{a-o}ַ{b-v}ische",1
"304","mitn",1
"305","{a-o}r{a-o}{p-f}gew{a-o}r{p-f}n",1
"306","{p-f}rschi{u-o}t",1
"307","""",1
"308","{a-o}rg{a-o}nis{a-o}zie-wen",1
"309","{a-o}rg{a-o}niszie",1
"310","ii-{p-f}{a-o}d",1
"311","ri{a-o}tn",1
"312","{a-o}r{u-o}issgewisn",1
"313","li{k-ch}t",1
"314","{a-o}r{u-o}isss{a-o}gn",1
"315","sche{p-f}er",1
"316","schteiner",1
"317","zeit{u-o}ng",1
"318","d{p-f}{u-o}ss",1
"319","{a-o}rtikl",1
"320","dײַtschn",1
"321","{a-o}ri{b-v}erz{u-o}{p-f}irn",1
"322","{a-o}ri{b-v}erz{u-o}sch{p-f}reisn",1
"323","sst{a-o}nzie",1
"324","weiz",1
"325","{a-o}ntl{u-o}if",1
"326","elite",1
"327","ne{b-v}n",1
"328","{a-o}resst{a-o}ntn",1
"329","{a-o}rktische",1
"330","{k-ch}{a-o}{p-f}n",1
"331","{b-v}{a-o}gri{p-f}n",1
"332","gewi{k-ch}t",1
"333","iink{u-o}n{p-f}t",1
"334","r{a-o}le",1
"335","he{k-ch}er{u-o}ng",1
"336","mn",1
"337","{b-v}{a-o}w{a-o}{u-o}insste",1
"338","{b-v}{a-o}ַw{a-o}{u-o}sste",1
"339","sel{b-v}sst",1
"340","{a-o}rt",1
"341","ssingl",1
"342","{b-v}{a-o}{b-v}{a-o}wer",1
"343","zvon",1
"344","{b-v}{a-o}weis{u-o}ngn",1
"345","{b-v}{a-o}s{u-o}{k-ch}te",1
"346","iigen{a-o}rtiger",1
"347","git",1
"348","{a-o}{b-v}er",1
"349","a{u-o}rl{u-o}i{b-v}",1
"350","ek{a-o}n{a-o}mie",1
"351","{b-v}{a-o}nkr{a-o}tir{u-o}ng",1
"352","zigeiner",1
"353","wl{a-o}",1
"354","{b-v}{a-o}nkn{a-o}te",1
"355","{b-v}{a-o}{p-f}elkerte",1
"356","{b-v}{a-o}z{a-o}ltsste",1
"357","{b-v}{a-o}k{a-o}ntsse",1
"358","n{a-o}men",1
"359","MTA",1
"360","t{a-o}l",1
"361","{b-v}{a-o}r{b-v}{a-o}r{a-o}sse",1
"362","t{u-o}rmess",1
"363","{b-v}{a-o}rgkeitn",1
"364","{b-v}{a-o}rtn",1
"365","-",1
"366","inem",1
"367","{b-v}{a-o}schl{u-o}ssn",1
"368","{b-v}{a-o}sche{p-f}tiksste",1
"369","{b-v}{a-o}leger{u-o}ng",1
"370","{b-v}{u-o}{k-ch}scht{a-o}{b-v}n",1
"371","{b-v}{u-o}lg{a-o}rische",1
"372","sch{p-f}ּr{a-o}ַch",1
"373","rew{a-o}l{u-o}zie",1
"374","geschi{k-ch}te",1
"375","a{p-f}teil{u-o}ng",1
"376","{b-v}i{a-o}ָl{a-o}ָgische",1
"377","{p-f}{a-o}ssn",1
"378","mlchm{u-o}t",1
"379","neie",1
"380","{p-f}{a-o}r",1
"381","gsir{u-o}t",1
"382","a{u-o}issg{a-o}{b-v}e",1
"383","{b-v}eil{a-o}ge",1
"384","{b-v}eilikn",1
"385","scht{a-o}men",1
"386","{b-v}ili{a-o}nern",1
"387","r{a-o}ssen",1
"388","a{p-f}er{a-o}ַzie",1
"389","{b-v}issl",1
"390","{p-f}r{a-o}winz",1
"391","{b-v}izikletn",1
"392","{b-v}l{a-o}gss{p-f}ere",1
"393","wel{k-ch}e",1
"394","{b-v}l{u-o}tigsste",1
"395","kne{p-f}l",1
"396","{p-f}ֿl{a-o}ַnzn",1
"397","{b-v}liende",1
"398","{b-v}lesl",1
"399","{p-f}nim",1
"400","sskrin",1
"401","{b-v}el{a-o}r{u-o}ssische",1
"402","{b-v}elgie",1
"403","{b-v}enkl",1
"404","chsnim",1
"405","{b-v}ergl",1
"406","t{a-o}ַl{a-o}ַnt",1
"407","{b-v}ern",1
"408","{a-o}m{b-v}{a-o}ss{a-o}de",1
"409","{p-f}einig{u-o}ng",1
"410","schtim{u-o}ng",1
"411","{b-v}rider-krign",1
"412","{b-v}ritisch-{p-f}r{a-o}nz{u-o}isische",1
"413","metr{a-o}",1
"414","e{p-f}en{u-o}ng",1
"415","{p-f}ir{u-o}sch",1
"416","g{a-o}sn",1
"417","g{a-o}ַsn",1
"418","d{a-o}l{a-o}r",1
"419","keit",1
"420","schnit",1
"421","sch{p-f}{a-o}rch",1
"422","w{a-o}{u-o}",1
"423","derm{a-o}nte",1
"424","{p-f}rnssh",1
"425","{p-f}il",1
"426","g{a-o}sstge{b-v}n",1
"427","g{a-o}ssn",1
"428","g{a-o}rtl",1
"429","aָnschtek{u-o}ng",1
"430","d{a-o}nki",1
"431","r{b-v}",1
"432","{b-v}{a-o}dekt",1
"433","g{u-o}gl",1
"434","ischi{b-v}{u-o}t",1
"435","l{a-o}k{a-o}le",1
"436","m{a-o}n{a-o}tn",1
"437","gig{a-o}ntische",1
"438","{p-f}ir{a-o}midn",1
"439","git{a-o}risstn",1
"440","mschgichim",1
"441","krenk",1
"442","{p-f}irer",1
"443","{p-f}l{u-o}ss",1
"444","gi{k-ch}n",1
"445","w{a-o}{u-o}kss",1
"446","{b-v}{a-o}n",1
"447","ssm",1
"448","lmschl",1
"449","gl{a-o}serne",1
"450","dr{a-o}t",1
"451","{b-v}els",1
"452","gl{u-o}i{b-v}n",1
"453","gleiַ{k-ch}n",1
"454","{p-f}{a-o}sste",1
"455","mschkh",1
"456","{p-f}{a-o}rnt",1
"457","ge",1
"458","{b-v}i{k-ch}er",1
"459","iinteil{u-o}ng",1
"460","k{a-o}m{p-f}{a-o}sizie",1
"461","{p-f}{a-o}rem",1
"462","ss{b-v}i{b-v}h",1
"463","{p-f}erssischn",1
"464","ge{b-v}itn",1
"465","ge{b-v}li{b-v}n",1
"466","k{a-o}ָnss{a-o}ָn{a-o}ַntn",1
"467","ge{b-v}n",1
"468","a{u-o}il",1
"469","hsch{p-f}e{u-o}t",1
"470","{b-v}lei",1
"471","sch{a-o}ssei",1
"472","gegntle{k-ch}e",1
"473","gegntn",1
"474","gege{b-v}n",1
"475","gegentn",1
"476","ged{a-o}nkn",1
"477","gedi{k-ch}te",1
"478","hei",1
"479","gede{k-ch}tn",1
"480","geheisstn",1
"481","{p-f}eigl",1
"482","k{u-o}m{p-f}i{u-o}terss",1
"483","{p-f}r{a-o}{p-f}essi{a-o}n{a-o}le",1
"484","schtײt",1
"485","a{u-o}nternem{u-o}ng",1
"486","{a-o}kziess",1
"487","li{b-v}sch{a-o}{p-f}t",1
"488","a{u-o}iss{b-v}rech",1
"489","m{a-o}nz{b-v}il",1
"490","gew{a-o}rn",1
"491","greiss",1
"492","{p-f}{a-o}rt{u-o}gesische",1
"493","s{u-o}mer",1
"494","ss{a-o}zi{a-o}le",1
"495","i{a-o}hr",1
"496","mentsch",1
"497","nezwern",1
"498","geselsch{a-o}{p-f}tn",1
"499","geseml",1
"500","m{a-o}n{a-o}r{k-ch}ie",1
"501","getr{a-o}{p-f}n",1
"502","{b-v}el",1
"503","geltli{k-ch}e",1
"504","w{a-o}kss",1
"505","ssg{u-o}lh",1
"506","sch{u-o}less",1
"507","werssie",1
"508","h{a-o}rm{a-o}n",1
"509","mnhgim",1
"510","{p-f}ilm",1
"511","chlkim",1
"512","gener{a-o}zie",1
"513","g{a-o}ss",1
"514","gessl",1
"515","mk{u-o}r{u-o}t",1
"516","ge{p-f}{a-o}lnkeitn",1
"517","selner",1
"518","kre{p-f}tn",1
"519","ge{p-f}{a-o}rn",1
"520","ge{p-f}{a-o}remte",1
"521","{p-f}isch",1
"522","ge{p-f}ikelte",1
"523","d{a-o}te",1
"524","z{u-o}sch{p-f}eis",1
"525","chssidische",1
"526","militerische",1
"527","ger{u-o}{p-f}n",1
"528","m{a-o}{k-ch}t",1
"529","sch{b-v}tim",1
"530","{a-o}tm{a-o}ss{p-f}ere",1
"531","40",1
"532","kind",1
"533","m{a-o}{k-ch}l",1
"534","gesche{p-f}tn",1
"535","hisst{a-o}rie",1
"536","ssim{b-v}{a-o}l",1
"537","kischke",1
"538","gr{a-o}{p-f}nsch{a-o}{p-f}tn",1
"539","eidn",1
"540","gescheenischn",1
"541","a{u-o}idienz",1
"542","gr{u-o}{p-f}ּe",1
"543","{k-ch}ch",1
"544","gri{k-ch}n",1
"545","ss{a-o}we",1
"546","grin-{b-v}{a-o}dekte",1
"547","{a-o}r{b-v}et",1
"548","w{a-o}ld",1
"549","k{a-o}lir",1
"550","schi{p-f}{b-v}{u-o}ierei",1
"551","d{a-o}sign",1
"552","k{a-o}{u-o}dss",1
"553","{b-v}{a-o}{p-f}rei{u-o}ng",1
"554","werem",1
"555","d{a-o}se",1
"556","d{a-o}tn",1
"557","senen",1
"558","d{a-o}tsche-schif",1
"559","religie",1
"560","d{a-o}m{p-f}m{a-o}t{a-o}rn",1
"561","{a-o}kt",1
"562","d{a-o}k{u-o}mentn",1
"563","iinw{a-o}{u-o}iner",1
"564","״",1
"565","d{a-o}r{p-f}n",1
"566","{b-v}{a-o}nk",1
"567","schl{u-o}m",1
"568","d{u-o}r{k-ch}n",1
"569","tem{p-f}er{a-o}t{u-o}r",1
"570","weit",1
"571","dssch{u-o}ngl",1
"572","di{a-o}lektn",1
"573","di{a-o}ַlektn",1
"574","a{u-o}m{a-o}{p-f}hengik",1
"575","khilh",1
"576","rscheim",1
"577","dim{p-f}l{a-o}m{a-o}tische",1
"578","schtrik",1
"579","i{b-v}er",1
"580","diete",1
"581","i{a-o}rn",1
"582","resschim",1
"583","dikt{a-o}t{u-o}rn",1
"584","{b-v}{a-o}rd",1
"585","k{a-o}nsskewenssn",1
"586","de",1
"587","ded{a-o}kte{b-v}l",1
"588","{p-f}ּrtim",1
"589","wi{k-ch}tige",1
"590","h{u-o}i{p-f}tscht{a-o}t",1
"591","geschehnischn",1
"592","{a-o}r{a-o}{b-v}er",1
"593","dem{a-o}kr{a-o}tn",1
"594","{p-f}reimeriss",1
"595","dekl{a-o}ַr{a-o}ַzie",1
"596","heilikeit",1
"597","der{u-o}issende",1
"598","k{a-o}{u-o}nti''ss",1
"599","der{p-f}l",1
"600","d{u-o}r{k-ch}{a-o}{u-o}iss",1
"601","dr{a-o}tn",1
"602","le{b-v}nssgeschi{k-ch}te",1
"603","t{u-o}iern",1
"604","went",1
"605","{a-o}mendir{u-o}ng",1
"606","h{a-o}lt{b-v}{a-o}re",1
"607","h{a-o}ltn",1
"608","msrch",1
"609","ge{b-v}eide",1
"610","h{a-o}ndl",1
"611","h{a-o}{p-f}n",1
"612","h{a-o}{p-f}ss{b-v}{u-o}rgn",1
"613","e{b-v}ir{u-o}t",1
"614","{a-o}ntissemitism",1
"615","{k-ch}{a-o}rekterisstik",1
"616","h{a-o}rtn",1
"617","miner{a-o}l",1
"618","a{u-o}isserli{k-ch}e",1
"619","h{a-o}riw{a-o}nie",1
"620","rede",1
"621","{p-f}reisn",1
"622","a{p-f}izir",1
"623","a{u-o}m",1
"624","sind",1
"625","h{u-o}i{p-f}n",1
"626","h{u-o}m{a-o}risstische",1
"627","mlchmh",1
"628","h{u-o}ssn",1
"629","eidische",1
"630","hײַntzײַtike",1
"631","hi{k-ch}l",1
"632","ker{p-f}er",1
"633","{p-f}ּaָr",1
"634","htchl{u-o}t",1
"635","hieri{k-ch}ie",1
"636","zimer",1
"637","a{u-o}issgeh{a-o}ltnkeit",1
"638","helenisstische",1
"639","hel{p-f}n",1
"640","heng-{b-v}rikn",1
"641","sch{p-f}ּiz",1
"642","{p-f}aַ{b-v}rik{a-o}ַnt",1
"643","he{p-f}tlinge",1
"644","wert",1
"645","w{a-o}{u-o}lk{a-o}nische",1
"646","0.2",1
"647","schrz",1
"648","ssdrh",1
"649","{b-v}er{a-o}nss",1
"650","w{a-o}l{u-o}ntirn",1
"651","w{a-o}ltn",1
"652","w{a-o}sserdige",1
"653","w{a-o}ksst",1
"654","w{a-o}kssnde",1
"655","weterss",1
"656","s{u-o}mere",1
"657","ri{a-o}nen",1
"658","{p-f}{a-o}kt",1
"659","w{u-o}ּnderle{k-ch}e",1
"660","vonem",1
"661","weglech",1
"662","wisie",1
"663","weiַsn",1
"664","glײַ{k-ch}{u-o}ngen",1
"665","{b-v}{a-o}ַdingen",1
"666","d{u-o}r{u-o}t",1
"667","ss{a-o}rt",1
"668","{b-v}{a-o}ַn",1
"669","ssi{b-v}h",1
"670","m{a-o}ָsskitn",1
"671","le{b-v}nss",1
"672","schn{a-o}h",1
"673","wissn",1
"674","te{a-o}rie",1
"675","wissnsch{a-o}ַ{p-f}tn",1
"676","{b-v}{a-o}k{a-o}ntm{a-o}{k-ch}{u-o}ng",1
"677","wissensch{a-o}{p-f}tn",1
"678","wisssch{a-o}{p-f}tn",1
"679","{p-f}ּremier-minisster",1
"680","vond{a-o}zie",1
"681","te{k-ch}n{a-o}ָl{a-o}ָgie",1
"682","wirtsch{a-o}{p-f}tli{k-ch}e",1
"683","{b-v}{a-o}ַdeit{u-o}ng",1
"684","geschehenischn",1
"685","we{b-v}seitl",1
"686","wegn",1
"687","{p-f}{a-o}rgen{u-o}gnss",1
"688","weltle{k-ch}e",1
"689","wertn",1
"690","ch{p-f}z",1
"691","wern",1
"692","z{u-o}schtel{u-o}ng",1
"693","m{u-o}il",1
"694","s{u-o}l{k-ch}e",1
"695","si{b-v}n",1
"696","sign",1
"697","{a-o}t{a-o}m{a-o}nische",1
"698","sesst{u-o}",1
"699","h{a-o}rtw{a-o}rg",1
"700","seitn",1
"701","seinn",1
"702","mschrtim",1
"703","seierssn",1
"704","seiere",1
"705","{b-v}r{a-o}nkss",1
"706","singern",1
"707","scht{u-o}me",1
"708","smn",1
"709","se{b-v}{a-o}re",1
"710","{p-f}ּaָsiziess",1
"711","sel{b-v}n",1
"712","sel{b-v}sstschtenidke",1
"713","s{k-ch}ih",1
"714","schteln",1
"715","sekl",1
"716","nischt",1
"717","ssch{u-o}rn{a-o}lisstn",1
"718","{a-o}nem{u-o}ng",1
"719","sschener{a-o}zie",1
"720","wili{a-o}mss{b-v}{u-o}rg",1
"721","tem{p-f}er{a-o}t{u-o}rn",1
"722","{p-f}ּ{u-o}{b-v}lik{a-o}ַzie",1
"723","m{a-o}g{a-o}sin",1
"724","ch{u-o}r{b-v}n",1
"725","{a-o}l{b-v}{a-o}m",1
"726","weizn",1
"727","schtetlech",1
"728","gerer",1
"729","{p-f}{u-o}sskim",1
"730","k{a-o}m{p-f}{a-o}sit{a-o}rn",1
"731","mentschn",1
"732","linkss",1
"733","t{a-o}hsch''e",1
"734","{p-f}{a-o}rni{k-ch}t{u-o}ng",1
"735","schrei{b-v}erss",1
"736","{a-o}sere",1
"737","t{a-o}{p-f}tschendige",1
"738","chsch{b-v}{u-o}n",1
"739","t{a-o}kitkn",1
"740","a{p-f}gesch{p-f}iglt",1
"741","w{a-o}rscht{a-o}t",1
"742","{p-f}erd",1
"743","t{u-o}risstische",1
"744","t{u-o}risstn",1
"745","tei{k-ch}n",1
"746","tײַ{k-ch}n",1
"747","k{a-o}ntr{a-o}l",1
"748","interssteit",1
"749","hem{p-f}t{a-o}n''ss",1
"750","{p-f}reis",1
"751","ti{k-ch}l",1
"752","chssidim",1
"753","miness",1
"754","t{k-ch}n{a-o}l{a-o}gie",1
"755","kw{a-o}ntitet",1
"756","tese",1
"757","{b-v}erg",1
"758","tetikeitn",1
"759","te{k-ch}nikn",1
"760","te{k-ch}nel{a-o}ָgie",1
"761","tem{p-f}l",1
"762","tem{p-f}ret{u-o}rn",1
"763","teksstn",1
"764","{a-o}le",1
"765","ter{a-o}risstn",1
"766","termin{a-o}l{a-o}gie",1
"767","{p-f}ּl{a-o}ַt",1
"768","terkn",1
"769","{p-f}{a-o}rschtel{u-o}ng",1
"770","tr{a-o}ge",1
"771","wei{b-v}",1
"772","sseli{u-o}ler",1
"773","ind{u-o}sstriess",1
"774","chin{u-o}ch",1
"775","tr{a-o}ns{a-o}kzie",1
"776","r{u-o}tess",1
"777","{p-f}r{u-o}{k-ch}t",1
"778","gsirh",1
"779","tr{u-o}{p-f}n",1
"780","tr{u-o}kene",1
"781","a{p-f}teitsch",1
"782","tri{a-o}{u-o}m{p-f}n",1
"783","tri{b-v}{u-o}ne",1
"784","vonkziess",1
"785","tril{a-o}gie",1
"786","{b-v}i",1
"787","i{a-o}gn",1
"788","a{u-o}it{a-o}",1
"789","i{a-o}hrn",1
"790","teich",1
"791","a{u-o}niwerssitet",1
"792","ss{a-o}ld{a-o}tn",1
"793","i{a-o}ָrn",1
"794","{a-o}m{b-v}{a-o}ss{a-o}d{a-o}r",1
"795","i{u-o}dn",1
"796","eidischisstn",1
"797","held",1
"798","imike",1
"799","iedn",1
"800","150",1
"801","ssek{u-o}lre",1
"802","ischi{b-v}ische",1
"803","t{u-o}rme",1
"804","{p-f}{a-o}lizi{a-o}ntke",1
"805","e{p-f}ּidemie",1
"806","{k-ch}inesische",1
"807","iinheit",1
"808","{p-f}{a-o}rzie",1
"809","{k-ch}emik{a-o}lie",1
"810","ss{k-ch}n{u-o}t''dige",1
"811","{k-ch}r{a-o}nische",1
"812","h{a-o}ָt",1
"813","l{a-o}ַge",1
"814","t{u-o}isch",1
"815","li{a-o}le",1
"816","kliger",1
"817","zeit",1
"818","l{a-o}ַndwirsch{a-o}ַ{p-f}tle{k-ch}e",1
"819","l{u-o}itn",1
"820","l{u-o}ite",1
"821","tr{a-o}{p-f}ik",1
"822","leif",1
"823","</s><s>",1
"824","l{u-o}{p-f}tlinie",1
"825","min{u-o}t",1
"826","te{a-o}ַter",1
"827","liter{a-o}ַt{u-o}r-aַk{a-o}ַdemie",1
"828","k{a-o}ָmissie",1
"829","r{a-o}gn",1
"830","heim",1
"831","ssei",1
"832","glei{k-ch}{u-o}ng",1
"833","{p-f}{a-o}rk{u-o}if",1
"834","lmdn",1
"835","k{a-o}nsstit{u-o}zie",1
