"","x"
"339","באן"
"340","באַן"
"341","באנד"
"342","באנוצט"
"343","באנען"
"344","באנקנאטע"
"345","באנקראטירונג"
"346","באפעל"
"347","באפעלקערוגנ"
"348","באפעלקערונג"
"349","באַפעלקערונג"
"350","באפרייאונג"
"351","באפרייונג"
"352","באפרייען"
"353","באצאלטסטע"
"354","באצאלטע"
"355","באציאונגען"
"356","באקאנט"
"357","באקומט"
"358","באקומען"
"359","באר"
"360","באראס"
"361","בארבאראסע"
"362","בארגקייטן"
"363","בארד"
"364","בארטן"
"365","באריכט"
"366","באריכטונגען"
"367","באשולדיגונג"
"368","באשולדיגט"
"369","באשטאנדטייל"
"370","באשטאנדטיילן"
"371","באשטייט"
"372","באַשטימונג"
"373","באשטעטיגונג"
"374","באשיצונג"
"375","באַשיצערין"
"376","באשלוס"
"377","באשלוסן"
"378","באשעפטיגונג"
"379","באשעפטיקסטע"
"380","באשעפעניש"
"381","באשעפענישן"
"382","באַשעפֿענישן"
"383","באשעפער"
"384","באַשרייבונגען"
"385","בודא"
"386","בויט"
"387","בויענטיילן"
"388","בויערס"
"389","בוך"
"390","בוכשטאב"
"391","בוכשטאבן"
"392","בולגארישע"
"393","בורדזש"
"394","בזיווג"
"395","בחור"
"396","בחורים"
"397","בחינה"
"398","בי"
"399","ביאָלאָגישע"
"400","ביבליאטעק"
"401","ביבליאָטעק"
"402","ביהודא"
"403","ביהודה"
"404","ביזנעס"
"405","ביי"
"406","בײַ"
"407","ביילאגע"
"408","בייליקן"
"409","ביים"
"410","ביימער"
"411","ביין"
"412","ביינאכט"
"413","בײסבאָל"
"414","ביישפיל"
"415","ביכער"
"416","בילד"
"417","ביליאנערן"
"418","בין"
"419","ביסל"
"420","ביציקלעטן"
"421","ביקס"
"422","ביר"
"423","בירגער"
"424","בית"
"425","בלאגספערע"
"426","בלאט"
"427","בלאטער"
"428","בלוט"
"429","בלוטיגסטע"
"430","בלוטצעלן"
"431","בליי"
"432","בלייבט"
"433","בליענדע"
"434","בליצבריוו"
"435","בלעזל"
"436","בלעטל"
"437","בלעטערערס"
"438","במשך"
"439","בני"
"440","בנין"
"441","בנינים"
"442","בעטא"
"443","בעיסעל"
"444","בעל"
"445","בעלארוסישע"
"446","בעלגיע"
"447","בעלז"
"448","בעלזער"
"449","בעלטוועיס"
"450","בעלי"
"451","בענזין"
"452","בענעפיט"
"453","בענק"
"454","בענקל"
"455","בענקלעך"
"456","בעסער"
"457","בעפאר"
"458","בעקערייען"
"459","בעראנס"
"460","בערג"
"461","בערגל"
"462","בערגלעך"
"463","בערגקייט"
"464","בערך"
"465","בערן"
"466","בקיאות"
"467","בר"
"468","בראנקס"
"469","ברודער"
"470","ברויט"
"471","ברוסט"
"472","ברוקוועס"
"473","בריוול"
"474","ברייט"
"475","ברירה"
"476","ברכה"
"477","ברסלב"
"478","ברסלבער"
"479","ברעג"
"480","ברענט"
"481","ברענשטאף"
"482","בתי"
"483","ג''נטיל"
"484","גאגנ"
"485","גאווערמענט"
"486","גאווערנאר"
"487","גאונים"
"488","גאז"
"489","גאזן"
"490","גאַזן"
"491","גאט"
"492","גאלד"
"493","גאלדערס"
"494","גאלף"
"495","גאן"
"496","גאנץ"
"497","גאס"
"498","גאסט"
"499","גאסטגעבן"
"500","גאסן"
"501","גאר"
"502","גארדס"
"503","גארטל"
"504","גדולים"
"505","גוגל"
"506","גוים"
"507","גונטא"
"508","גזירה"
"509","גזירות"
"510","גיגאַבייט"
"511","גיגאנטישע"
"512","גיט"
"513","גיטאריסטן"
"514","גייט"
"515","גייען"
"516","גייענדיג"
"517","גיך"
"518","גיכן"
"519","גיכקייט"
"520","גלאזערנע"
"521","גלויבט"
"522","גלויבן"
"523","גלות"
"524","גלחים"
"525","גליד"
"526","גלידער"
"527","גלייכונג"
"528","גלײַכונגען"
"529","גלייַכן"
"530","גליל"
"531","גנבים"
"532","גניבות"
"533","געאגראפיש"
"534","געאייגנט"
"535","געביטן"
"536","געביידעס"
"537","געבליבן"
"538","געבן"
"539","געגליטשט"
"540","געגנטלעכע"
"541","געגנטן"
"542","געגנטער"
"543","געגעבן"
"544","געגענט"
"545","געגענטן"
"546","געגרינדעט"
"547","געדאנק"
"548","געדאנקן"
"549","געדיכטע"
"550","געהגנטער"
"551","געהיים"
"552","געהייסטן"
"553","געהערט"
"554","געוואונען"
"555","געוואוקס"
"556","געווארן"
"557","געוויכט"
"558","געווינט"
"559","געווינס"
"560","געוויקס"
"561","געוועלטיקונג"
"562","געווען"
"563","געזאגט"
"564","געזונט"
"565","געזיכט"
"566","געזעלשאפט"
"567","געזעלשאפֿט"
"568","געזעלשאפטן"
"569","געזעמל"
"570","געזעץ"
"571","געזעצן"
"572","געטא"
"573","געטאס"
"574","געטון"
"575","געטראנקען"
"576","געטראפן"
"577","געטריישאפט"
"578","געלגענהייט''ן"
"579","געלט"
"580","געלטליכע"
"581","געלטער"
"582","געלעגנהייט"
"583","געמאכט"
"584","געמיינדער"
"585","געמיינשאף"
"586","געמיינשאַפֿט"
"587","געמיש"
"588","געמישעכץ"
"589","גענוי"
"590","גענוצט"
"591","געניצט"
"592","גענעראל"
"593","גענעראלן"
"594","גענעראציע"
"595","געסט"
"596","געסל"
"597","געענדערט"
"598","געפאלנקייטן"
"599","געפארן"
"600","געפארעמטע"
"601","געפינט"
"602","געפיקעלטע"
"603","געצייג"
"604","געצעלט"
"605","געקויפט"
"606","געקומען"
"607","געראנגעל"
"608","גערופן"
"609","געריכט"
"610","גערעדטער"
"611","גערער"
"612","געשמאקייט"
"613","געשעהנישן"
"614","געשעהעניש"
"615","געשענישען"
"616","געשעעניש"
"617","געשעענישן"
"618","געשעפט"
"619","געשעפטן"
"620","געשעפטען"
"621","געשפרייט"
"622","גראבעריי"
"623","גראמאטיק"
"624","גראפנשאפטן"
"625","גרוב"
"626","גרופעס"
"627","גרופּעס"
"628","גרייס"
"629","גריכן"
"630","גרינביימער"
"631","גרינגקייט"
"632","גרעניץ"
"633","גרענעץ"
"634","גרעסטער"
"635","דאווענען"
"636","דאזיגן"
"637","דאזע"
"638","דאטן"
"639","דאלאר"
"640","דאמפמאטארן"
"641","דאנקי"
"642","דאס"
"643","דאקומענטן"
"644","דאקטאר"
"645","דאקטוירים"
"646","דאָקטרינעס"
"647","דארט"
"648","דארמעטארי"
"649","דארף"
"650","דארפישן"
"651","דארפן"
"652","דומא"
"653","דועל"
"654","דור"
"655","דורות"
"656","דורך"
"657","דורכאויס"
"658","דורכברויך"
"659","דורכגאנגען"
"660","דורכגאס"
"661","דורכפאל"
"662","דורכשניט"
"663","דזשאב"
"664","דזשאמבאו"
"665","דזשונגל"
"666","דזשורי"
"667","דזשין"
"668","דזשעט"
"669","דזשעלי"
"670","דיאלעקטן"
"671","דיאַלעקטן"
"672","דיווערסיפיצירט"
"673","דײַטשן"
"674","דיינים"
"675","דיכטונג"
"676","דימפלאמאטישע"
"677","דינאסטיעס"
"678","דינט"
"679","דינסט"
"680","דינער"
"681","דיסטריקט"
"682","דיעטע"
"683","דיפלאמע"
"684","דיפערענץ"
"685","דיקטאטור"
"686","דיקטאטורן"
"687","דיקקייט"
"688","דירות"
"689","דירעקטאר"
"690","דע"
"691","דעגרי"
"692","דעגרייכונג"
"693","דעדאקטעבל"
"694","דעווייס"
"695","דעזיז"
"696","דעטאלן"
"697","דעמאלט"
"698","דעמי"
"699","דעסטינאציע"
"700","דעפארטמענט"
"701","דעקלאַראַציע"
"702","דעקלערט"
"703","דער"
"704","דערביי"
"705","דערגרייכונגען"
"706","דערגרייכט"
"707","דערויסענדע"
"708","דערין"
"709","דערמאנטע"
"710","דערנערונגען"
"711","דערפון"
"712","דערפינדער"
"713","דערשיינונג"
"714","דערשיינונגען"
"715","דפוס"
"716","דראט"
"717","דראָט"
"718","דראטן"
"719","דריי"
"720","דרייט"
"721","דרעפט"
"722","האב"
"723","האט"
"724","האָט"
"725","האַלב"
"726","האלטבארע"
"727","האלטער"
"728","האנדל"
"729","האנדלונג"
"730","האנדלט"
"731","האנדלס"
"732","האנדעלט"
"733","האנט"
"734","האס"
"735","האפן"
"736","האפסבורגן"
"737","האר"
"738","הארטווארג"
"739","הארטן"
"740","הארטער"
"741","האריוואניע"
"742","האריזאנט"
"743","הארמאן"
"744","הארץ"
"745","הברה"
"746","ההנחה"
"747","הוד"
"748","הויז"
"749","הױז"
"750","הויף"
"751","הויפט"
"752","הויפטקווארטיר"
"753","הויפטשטאט"
"754","הױפּטשטאָט"
"755","הויפן"
"756","הויפשטאט"
"757","הומאריסטישע"
"758","הונדערט"
"759","הונדערטער"
"760","הוס"
"761","הוסן"
"762","הידרא"
"763","היי"
"764","הייב"
"765","הייבט"
"766","הייזער"
"767","הייכונג"
"768","הייליקייט"
"769","היימיש"
"770","היימלאנד"
"771","היינט"
"772","הײַנטצײַטיקע"
"773","הייסט"
"774","הייעוועי"
"775","הייעוועיס"
"776","היכל"
"777","הילף"
"778","הינט"
"779","היסטאריעס"
"780","היעריכיע"
"781","היץ"
"782","הירוס"
"783","היתרים"
"784","הכשר"
"785","הלוואה"
"786","הלכה"
"787","הלכות"
"788","המנהג"
"789","העברעיִש"
"790","העכערונג"
"791","העליקאפטער"
"792","העלעניסטישע"
"793","העלף"
"794","העלפט"
"795","העפטלינגע"
"796","הפקר"
"797","הצלה"
"798","הצלחה"
"799","הקדמה"
"800","השגחה"
"801","השערות"
"802","השפעה"
"803","השפּעה"
"804","השפעות"
"805","השפּעות"
"806","השקפה"
"807","השתדלות"
"808","התחלות"
"809","התנגדות"
"810","התעוררות"
"811","וואגאנען"
"812","וואו"
"813","וואויוואדעשאפט"
"814","וואוינונג"
"815","וואוינען"
"816","וואוינערטער"
"817","וואולקאנישע"
"818","וואולקאנען"
"819","וואוקס"
"820","וואיעוואדעשאפט"
"821","וואך"
"822","וואלד"
"823","וואלוטעס"
"824","וואלונטירן"
"825","וואלטן"
"826","וואלן"
"827","וואַלן"
"828","װאַלן"
"829","וואמפיר"
"830","וואנט"
"831","וואס"
"832","װאָס"
"833","וואסער"
"834","וואסערדיגע"
"835","וואפן"
"836","וואקאבולאר"
"837","וואקס"
"838","וואקסט"
"839","וואקסינאציעס"
"840","וואקסנדע"
"841","ווארט"
"842","ווארענונג"
"843","ווארשטאט"
"844","װױנט"
"845","וווּנדערלעכע"
"846","ווי"
"847","וויאזוי"
"848","וויבאלד"
"849","ווידעא"
"850","ווידער"
"851","ווידערשטאנד"
"852","וויזיע"
"853","ווייב"
"854","ווייזט"
"855","ווײַזט"
"856","ווייַזן"
"857","ווייט"
"858","ווייטער"
"859","ווייטקייט"
"860","ווייל"
"861","ווייסט"
"862","ווייץ"
"863","ווייצן"
"864","וויכוואַרג"
"865","וויכטיקייט"
"866","וויליאמסבורג"
"867","ווינט"
"868","ווינטן"
"869","ווינטער"
"870","וויסן"
"871","וויסנשאפט"
"872","וויסנשאַפטן"
"873","וויסענדיג"
"874","וויסענשאפטן"
"875","וויען"
"876","וויפיל"
"877","וויקענד"
"878","ווירדזשין"
"879","ווירטשאפט"
"880","ווירטשאפטליכע"
"881","וולא"
"882","וועב"
"883","וועבזייטל"
"884","וועג"
"885","וועגן"
"886","וועד"
"887","וועט"
"888","וועטער"
"889","וועטערס"
"890","וועטש"
"891","וועכטער"
"892","וועלדער"
"893","וועלט"
"894","וועלט''ס"
"895","וועלטלעכע"
"896","וועלכער"
"897","וועלן"
"898","ווען"
"899","ווערט"
"900","ווערטן"
"901","ווערטער"
"902","ווערן"
"903","װערסיע"
"904","ווערעם"
"905","זאך"
"906","זאכן"
"907","זאל"
"908","זאָל"
"909","זאלן"
"910","זאמלונג"
"911","זאפאס"
"912","זאץ"
"913","זארקאווי"
"914","זגאל"
"915","זוגות"
"916","זוך"
"917","זוכמאשין"
"918","זוכן"
"919","זולכע"
"920","זומער"
"921","זומערע"
"922","זונטאג"
"923","זיבן"
"924","זיגן"
"925","זידלונג"
"926","זידלונגען"
"927","זייט"
"928","זייטן"
"929","זיין"
"930","זיינן"
"931","זיינען"
"932","זײַנען"
"933","זייער"
"934","זייערסן"
"935","זיך"
"936","זין"
"937","זינגער"
"938","זינגערין"
"939","זינגערן"
"940","זינד"
"941","זינען"
"942","זיצט"
"943","זכות"
"944","זכיה"
"945","זכרון"
"946","זמירות"
"947","זמן"
"948","זמנים"
"949","זעבארע"
"950","זעהקראפט"
"951","זעכציג"
"952","זעלבן"
"953","זעלבסט"
"954","זעלבסטהערשאפט"
"955","זעלבסטשטענידקע"
"956","זעלבסשטענדיגקייט"
"957","זעלנער"
"958","זענען"
"959","זעסטו"
"960","זעץ"
"961","זעקל"
"962","זעקס"
"963","זשורנאליסטן"
"964","זשענעראציע"
"965","חברה"
"966","חבריא"
"967","חגאות"
"968","חדשים"
"969","חוב"
"970","חודש"
"971","חוות"
"972","חורבן"
"973","חוש"
"974","חיבור"
"975","חידוש"
"976","חינוך"
"977","חכמה"
"978","חכמים"
"979","חסד"
"980","חסידותן"
"981","חסידים"
"982","חפץ"
"983","חשבון"
"984","חשבונות"
"985","חשיבות"
"986","חתונה"
"987","טאג"
"988","טאהש''ע"
"989","טאכטער"
"990","טאל"
"991","טאַלאַנט"
"992","טאנק"
"993","טאפטשענדיגע"
"994","טאקיטקן"
"995","טאש"
"996","טוהערס"
"997","טוט"
"998","טויזנט"
"999","טויזנטער"
"1000","טויזענטער"
"1001","טויער"
"1002","טויערן"
"1003","טויש"
"1004","טוישט"
"1005","טוישן"
"1006","טומאות"
"1007","טונעל"
"1008","טוען"
"1009","טוריזם"
"1010","טוריסטישע"
"1011","טוריסטן"
"1012","טורמעס"
"1013","טיטאניק"
"1014","טייג"
"1015","טייוואנער"
"1016","טייטלבוים"
"1017","טייך"
"1018","טייכן"
"1019","טייל"
"1020","טיילן"
"1021","טיכל"
"1022","טיקעט"
"1023","טכנאלאגיע"
"1024","טעאַטער"
"1025","טעג"
"1026","טעגס"
"1027","טעטיג"
"1028","טעטיקייטן"
"1029","טעיפ"
"1030","טעכנאלאגיעס"
"1031","טעכניקן"
"1032","טעכנעלאָגיע"
"1033","טעלזער"
"1034","טעלעפאן"
"1035","טעמפל"
"1036","טעמפעראטור"
"1037","טעמפעראטורן"
"1038","טעמפרעאטור"
"1039","טעמפרעטורן"
"1040","טענה"
"1041","טענה''ן"
"1042","טענהען"
"1043","טענות"
"1044","טעקסט"
"1045","טעקסטן"
"1046","טעראר"
"1047","טעראריסטן"
"1048","טעראריסטען"
"1049","טעריטאריעס"
"1050","טעריטאָריעס"
"1051","טערמין"
"1052","טערמינאלאגיע"
"1053","טערקן"
"1054","טראגט"
"1055","טראגע"
"1056","טראגעדיגעס"
"1057","טראַדיציעס"
"1058","טראכטונג"
"1059","טראנזאקציע"
"1060","טראנזאקציעס"
"1061","טראנשיי"
"1062","טראסט"
"1063","טראפיק"
"1064","טרופן"
"1065","טרוקענע"
"1066","טריאומפן"
"1067","טריבונע"
"1068","טריילער"
"1069","טרילאגיע"
"1070","טרעיד"
"1071","טרענירונג''ס"
"1072","טרענירונגס"
"1073","טרעפ"
"1074","טרעפט"
"1075","טרעפליכער"
"1076","טרעקלעך"
"1077","טשעין"
"1078","טשעמאדאנעס"
"1079","טשענעל"
"1080","יאגן"
"1081","יאהר"
"1082","יאהרען"
"1083","יאנואר"
"1084","יאר"
"1085","יארהונדערט"
"1086","יארן"
"1087","יאָרן"
"1088","יארען"
"1089","ידיד"
"1090","ידיעה"
"1091","יוגנט"
"1092","יודן"
"1093","יום"
"1094","יורשים"
"1095","יחיה"
"1096","ייד"
"1097","יידיש"
"1098","יידישיסטן"
"1099","יידישער"
"1100","יידן"
"1101","יישובים"
"1102","ים"
"1103","ימים"
"1104","ימיקע"
"1105","יסוד"
"1106","יעגערין"
"1107","יעדן"
"1108","ירושה"
"1109","ירושלי''מער"
"1110","ישוב"
"1111","ישיבה"
"1112","ישיבות"
"1113","ישיבישע"
"1114","יתומים"
"1115","כאפן"
"1116","כאראקטערס"
"1117","כארעקטעריסטיק"
"1118","כדי"
"1119","כהנים"
"1120","כוח"
"1121","כוחות"
"1122","כח"
"1123","כחות"
"1124","כינוס"
"1125","כינעזישע"
"1126","כלים"
"1127","כלל"
"1128","כללים"
"1129","כמוס"
"1130","כמעט"
"1131","כעמיקאל"
"1132","כעמיקאליע"
"1133","כעמיקאלן"
"1134","כראנישע"
"1135","כתב"
"1136","לאגיקער"
"1137","לאַגע"
"1138","לאגער"
"1139","לאדענישן"
"1140","לאומיות"
"1141","לאזונגען"
"1142","לאיאלע"
"1143","לאנד"
"1144","לאַנד"
"1145","לאנדווירטשאפט"
"1146","לאנדשאפטן"
"1147","לבנון"
"1148","לוגאנא"
"1149","לוויה"
"1150","לויב"
"1151","לויה"
"1152","לויט"
"1153","לויטן"
"1154","לויטע"
"1155","לויטער"
"1156","לויפט"
"1157","לופטפעלדער"
"1158","לוקסוס"
"1159","לטובת"
"1160","ליגט"
"1161","לידער"
"1162","ליטעראַטור"
"1163","ליטערארישער"
"1164","לייגט"
"1165","ליידיג"
"1166","ליין"
"1167","לייסענס"
"1168","לייענט"
"1169","לייף"
"1170","ליכטיגקייט"
"1171","לימודי"
"1172","לינקס"
"1173","ליפּ"
"1174","ליקווידאציעס"
"1175","ליקוי"
"1176","למדן"
"1177","למשל"
"1178","לעבל"
"1179","לעבן"
"1180","לעבנס"
"1181","לעבנסגעשיכטע"
"1182","לעגיאן"
"1183","לעגיאנען"
"1184","לעומת"
"1185","לעזונג"
"1186","לענג"
"1187","לענדער"
"1188","לערערין"
"1189","לשון"
"1190","מאגאזין"
"1191","מאדולארישע"
"1192","מאדולע"
"1193","מאדעל"
"1194","מאדערן"
"1195","מאדערניזירטע"
"1196","מאדערענע"
"1197","מאדערענער"
"1198","מאהל"
"1199","מאטאר"
"1200","מאטיוון"
"1201","מאטעמאטיקער"
"1202","מאטעריאלן"
"1203","מאכאניזם"
"1204","מאכט"
"1205","מאַכט"
"1206","מאכטן"
"1207","מאכל"
"1208","מאכלים"
"1209","מאַכן"
"1210","מאל"
"1211","מאלפע"
"1212","מאמאקעיטינג"
"1213","מאנאט"
"1214","מאנאטן"
"1215","מאנדאט"
"1216","מאנזאנילוי"
"1217","מאנצביל"
"1218","מאס"
"1219","מאסן"
"1220","מאַסע"
"1221","מאָסקיטן"
"1222","מאפיא"
"1223","מאפעס"
"1224","מאקסימום"
"1225","מארק"
"1226","מארקעט"
"1227","מארקעטס"
"1228","מארקפלעצער"
"1229","מאשין"
"1230","מגן"
"1231","מגפה"
"1232","מדינה"
"1233","מדינות"
"1234","מדינת"
"1235","מהומה"
"1236","מהלך"
"1237","מוזײען"
"1238","מוזיק"
"1239","מוזיקאלישע"
"1240","מוזן"
"1241","מוטערשפראך"
"1242","מויל"
"1243","מויער"
"1244","מוסולמענער"
"1245","מוסלמענער"
"1246","מושבים"
"1247","מזרח"
"1248","מחלוקה"
"1249","מחלוקת"
"1250","מחנה"
"1251","מחצית"
"1252","מיט"
"1253","מיט''ן"
"1254","מיטגליד"
"1255","מיטגלידער"
"1256","מיטל"
"1257","מיטלען"
"1258","מיטן"
"1259","מיידל"
"1260","מיידלעך"
"1261","מיינונג"
"1262","מיינונגען"
"1263","מייסטערשאפט"
"1264","מיליטער"
"1265","מיליטערישער"
"1266","מינאריטעט"
"1267","מינדערהייט"
"1268","מינדערוויכטיגע"
"1269","מינוט"
"1270","מינוטן"
"1271","מינוטען"
"1272","מינים"
"1273","מינעס"
"1274","מינעראל"
"1275","מינעריי"
"1276","מישונג"
"1277","מלוכה"
"1278","מלחמה"
"1279","מליצה''דיגע"
"1280","מלך"
"1281","מלכה"
"1282","מלכות"
"1283","מלתקי"
"1284","ממלא"
"1285","ממשלה"
"1286","מן"
"1287","מנהג"
"1288","מנהגים"
"1289","מסורה"
"1290","מעג"
"1291","מעגליכקייט"
"1292","מעגלעכקייט"
"1293","מעדיצינען"
"1294","מעדיקאמענטן"
"1295","מעדן"
"1296","מעטאד"
"1297","מעטאדן"
"1298","מעטאלן"
"1299","מעטרא"
"1300","מעלה"
"1301","מעלות"
"1302","מעמארענדום"
"1303","מעמבער"
"1304","מעמד"
"1305","מענטש"
