"","id","token","pos","check","paradigm_he","paradigm_lat","kwic","art","adj","noun","latin","chk_ann"
"63",153,"דייטשע","ADJ",1,"ע","-e","די דייטשע אימפעריע","di","deitsche","im{p-f}erie","di deitsche im{p-f}erie",1
"3752",7625,"אויסגעשפראכענע","ADJ",1,"ע","-e","די אויסגעשפראכענע בני","di","a{u-o}issgesch{p-f}r{a-o}{k-ch}ene","{b-v}ni","di a{u-o}issgesch{p-f}r{a-o}{k-ch}ene {b-v}ni",1
"2032",4070,"אבעלישע","ADJ",1,"ע","-e","אן אבעלישע גרופע","an","{a-o}{b-v}elische","gr{u-o}{p-f}e","an {a-o}{b-v}elische gr{u-o}{p-f}e",1
"4157",8508,"וויקטאריע","ADJ",1,"ע","-e","דער וויקטאריע ליניע","der","wikt{a-o}rie","linie","der wikt{a-o}rie linie",1
"1873",3798,"פארטישע","ADJ",1,"ע","-e","די פארטישע אימפעריע","di","{p-f}{a-o}rtische","im{p-f}erie","di {p-f}{a-o}rtische im{p-f}erie",1
"740",1537,"אומדירעקטע","ADJ",1,"טע","-e","אן אומדירעקטע אנדייטונג","an","a{u-o}mdirekte","{a-o}ndeit{u-o}ng","an a{u-o}mdirekte {a-o}ndeit{u-o}ng",1
"5392",622,"וועבזייטל","NOUN",1,"טל","-el","דאס ארגינעלע וועבזייטל","d{a-o}ss","{a-o}rginele","we{b-v}seitl","d{a-o}ss {a-o}rginele we{b-v}seitl",1
"6153",1497,"עסן","NOUN",1,"סן","-en","די אינטערעסאנטע עסן","di","interess{a-o}nte","essn","di interess{a-o}nte essn",1
"8257",4089,"אגענטורן","NOUN",1,"רן","-en","די נאציאנאלע אגענטורן","di","n{a-o}zi{a-o}n{a-o}le","{a-o}gent{u-o}rn","di n{a-o}zi{a-o}n{a-o}le {a-o}gent{u-o}rn",1
"13120",9957,"מענטשעלע","NOUN",1,"לע","-le","דאס קליינע מענטשעלע","d{a-o}ss","kleine","mentschele","d{a-o}ss kleine mentschele",1
"8070",3866,"וואפן","NOUN",1,"פן","-en","די אומקאנווענציאנעלע וואפן","di","a{u-o}mk{a-o}nwenzi{a-o}nele","w{a-o}{p-f}n","di a{u-o}mk{a-o}nwenzi{a-o}nele w{a-o}{p-f}n",1
"10500",6762,"אויטאבוסן","NOUN",1,"סן","-en","די שטאטישע אויטאבוסן","di","scht{a-o}tische","a{u-o}it{a-o}{b-v}{u-o}ssn","di scht{a-o}tische a{u-o}it{a-o}{b-v}{u-o}ssn",1
"7846",3586,"אריבערצופירן","NOUN",1,"רן","-en","דער קאמיוניקאציע אריבערצופירן","der","k{a-o}mi{u-o}nik{a-o}zie","{a-o}ri{b-v}erz{u-o}{p-f}irn","der k{a-o}mi{u-o}nik{a-o}zie {a-o}ri{b-v}erz{u-o}{p-f}irn",1
"4879",6,"אקטיארן''","NOUN",1,"רן","-en","די ''היימישע אקטיארן''","di","''heimische","{a-o}kti{a-o}rn''","di ''heimische {a-o}kti{a-o}rn''",1
"11159",7570,"אויטאָריטעטן","NOUN",1,"טן","-en","די רבנישע אויטאָריטעטן","di","r{b-v}nische","a{u-o}it{a-o}ָritetn","di r{b-v}nische a{u-o}it{a-o}ָritetn",1
"5907",1210,"אינזלען","NOUN",1,"לען","-len","די אגאישע אינזלען","di","{a-o}gische","inslen","di {a-o}gische inslen",1
"11263",7702,"הארטן","NOUN",1,"טן","-en","דעם קליינעם הארטן","dem","kleinem","h{a-o}rtn","dem kleinem h{a-o}rtn",1
"6394",1769,"אַגענטן","NOUN",1,"טן","-en","די פֿאַרבאָרגנע אַגענטן","di","{p-f}ֿaַr{b-v}{a-o}ָrgne","aַgentn","di {p-f}ֿaַr{b-v}{a-o}ָrgne aַgentn",1
"11086",7480,"אדערן","NOUN",1,"רן","-en","די גרויסע אדערן","di","gr{u-o}isse","{a-o}dern","di gr{u-o}isse {a-o}dern",1
"11985",8592,"''שפולערקע''","NOUN",1,"קע","-e","דער טורמע ''שפולערקע''","der","t{u-o}rme","''sch{p-f}{u-o}lerke''","der t{u-o}rme ''sch{p-f}{u-o}lerke''",1
"6444",1832,"צוקונפטיגן","NOUN",1,"גן","-en","דעם נייעם צוקונפטיגן","dem","neiem","z{u-o}k{u-o}n{p-f}tign","dem neiem z{u-o}k{u-o}n{p-f}tign",1
"9337",5356,"לויטן","NOUN",1,"טן","-en","דער אינסטרוקציע לויטן","der","insstr{u-o}kzie","l{u-o}itn","der insstr{u-o}kzie l{u-o}itn",1
"78461",3586,"אריבערצופירן","NOUN",1,"רן","-en","דער קאמיוניקאציע אריבערצופירן","der","k{a-o}mi{u-o}nik{a-o}zie","{a-o}ri{b-v}erz{u-o}{p-f}irn","der k{a-o}mi{u-o}nik{a-o}zie {a-o}ri{b-v}erz{u-o}{p-f}irn",1
"5981",1292,"בארבאראסע","NOUN",1,"סע","-e","דער אפעראציע בארבאראסע","der","a{p-f}er{a-o}zie","{b-v}{a-o}r{b-v}{a-o}r{a-o}sse","der a{p-f}er{a-o}zie {b-v}{a-o}r{b-v}{a-o}r{a-o}sse",1
