,id,token,pos,check,paradigm_he,paradigm_lat,kwic,art,adj,noun,latin,chk_ann
8759,4688,אַװאַנגאַרדישע,NOUN,1,ע,-e,די באַקאַנטסטע אַװאַנגאַרדישע,di,{b-v}{a-o}ַk{a-o}ַntsste,aַw{a-o}ַng{a-o}ַrdische,di {b-v}{a-o}ַk{a-o}ַntsste aַw{a-o}ַng{a-o}ַrdische,NA
2858,5828,אוואנטורע,ADJ,1,רע,-e,אן אוואנטורע אין,an,{a-o}w{a-o}nt{u-o}re,in,an {a-o}w{a-o}nt{u-o}re in,NA
2084,4173,אַוואַנטורע,ADJ,1,רע,-e,די אַוואַנטורע מעשה,di,aַw{a-o}ַnt{u-o}re,meschh,di aַw{a-o}ַnt{u-o}re meschh,1
225,526,אַוווערגנע,ADJ,1,ע,-e,די אַוווערגנע געגנט,di,aַw{u-o}ergne,gegnt,di aַw{u-o}ergne gegnt,1
13022,9843,אַװיזיע,NOUN,1,ע,-e,די װיסנשאַפֿטלעכע אַװיזיע,di,wissnsch{a-o}ַ{p-f}ֿtle{k-ch}e,aַwisie,di wissnsch{a-o}ַ{p-f}ֿtle{k-ch}e aַwisie,1
4797,9841,אַװיזיע־,ADJ,1,ע,-e,דער אַװיזיע־,der,aַwisie־,NA,der aַwisie־,NA
732,1519,אוועקגעפאלענע,ADJ,1,ע,-e,די אוועקגעפאלענע שליימהויט,di,{a-o}wekge{p-f}{a-o}lene,schleimh{u-o}it,di {a-o}wekge{p-f}{a-o}lene schleimh{u-o}it,1
12900,9692,אוועקלייגן,NOUN,1,גן,-en,די גריפע אוועקלייגן,di,gri{p-f}e,{a-o}wekleign,di gri{p-f}e {a-o}wekleign,NA
9542,5607,אוטאריטעטן,NOUN,1,טן,-en,די טערקישע אוטאריטעטן,di,terkische,a{u-o}t{a-o}ritetn,di terkische a{u-o}t{a-o}ritetn,1
3601,7336,אויבירשטע,ADJ,1,טע,-e,די אויבירשטע זייט,di,a{u-o}i{b-v}irschte,seit,di a{u-o}i{b-v}irschte seit,NA
440,960,אויבענדערמאנטע,ADJ,1,טע,-e,די אויבענדערמאנטע לטובת,di,a{u-o}i{b-v}enderm{a-o}nte,lt{u-o}{b-v}t,di a{u-o}i{b-v}enderm{a-o}nte lt{u-o}{b-v}t,1
145,362,אויבערשטע,ADJ,1,טע,-e,די אויבערשטע שטאקן,di,a{u-o}i{b-v}erschte,scht{a-o}kn,di a{u-o}i{b-v}erschte scht{a-o}kn,1
766,1584,אויבערשטעטע,ADJ,1,טע,-e,די אויבערשטעטע טייל,di,a{u-o}i{b-v}erschtete,teil,di a{u-o}i{b-v}erschtete teil,1
8386,4235,אויגן,NOUN,1,גן,-en,די לעכטיגע אויגן,di,le{k-ch}tige,a{u-o}ign,di le{k-ch}tige a{u-o}ign,1
2674,5386,אוידיטאריע,ADJ,1,ע,-e,די אוידיטאריע זאל,di,a{u-o}idit{a-o}rie,s{a-o}l,di a{u-o}idit{a-o}rie s{a-o}l,1
10500,6762,אויטאבוסן,NOUN,1,סן,-en,די שטאטישע אויטאבוסן,di,scht{a-o}tische,a{u-o}it{a-o}{b-v}{u-o}ssn,di scht{a-o}tische a{u-o}it{a-o}{b-v}{u-o}ssn,1
3476,7102,אויטאביאגראפיע.,ADJ,1,ע,-e,אן אויטאביאגראפיע.,an,a{u-o}it{a-o}{b-v}i{a-o}gr{a-o}{p-f}ie.,NA,an a{u-o}it{a-o}{b-v}i{a-o}gr{a-o}{p-f}ie.,NA
215,496,אויטאמאטישע,ADJ,1,ע,-e,אן אויטאמאטישע גיר-באקס,an,a{u-o}it{a-o}m{a-o}tische,gir-{b-v}{a-o}kss,an a{u-o}it{a-o}m{a-o}tische gir-{b-v}{a-o}kss,1
872,1760,אויטאנאמיע,ADJ,1,ע,-e,די אויטאנאמיע באנוצט,di,a{u-o}it{a-o}n{a-o}mie,{b-v}{a-o}n{u-o}zt,di a{u-o}it{a-o}n{a-o}mie {b-v}{a-o}n{u-o}zt,1
3039,6186,"אויטאנאמיע,",ADJ,1,ע,-e,"אן אויטאנאמיע,",an,"a{u-o}it{a-o}n{a-o}mie,",NA,"an a{u-o}it{a-o}n{a-o}mie,",NA
874,1763,אויטאנאמישע,ADJ,1,ע,-e,אן אויטאנאמישע פארלאמענטארע,an,a{u-o}it{a-o}n{a-o}mische,{p-f}{a-o}rl{a-o}ment{a-o}re,an a{u-o}it{a-o}n{a-o}mische {p-f}{a-o}rl{a-o}ment{a-o}re,1
10919,7287,אויטאָנאָמע,NOUN,1,מע,-e,די ייִדישע אויטאָנאָמע,di,eiִdische,a{u-o}it{a-o}ָn{a-o}ָme,di eiִdische a{u-o}it{a-o}ָn{a-o}ָme,NA
5581,837,אויטאריטעטן,NOUN,1,טן,-en,די ארטיגע אויטאריטעטן,di,{a-o}rtige,a{u-o}it{a-o}ritetn,di {a-o}rtige a{u-o}it{a-o}ritetn,1
11159,7570,אויטאָריטעטן,NOUN,1,טן,-en,די רבנישע אויטאָריטעטן,di,r{b-v}nische,a{u-o}it{a-o}ָritetn,di r{b-v}nische a{u-o}it{a-o}ָritetn,1
1893,3840,אוילרייכע,ADJ,1,כע,-e,די אוילרייכע פעדער,di,a{u-o}ilrei{k-ch}e,{p-f}eder,di a{u-o}ilrei{k-ch}e {p-f}eder,1
2838,5785,אויסגעארבעטע,ADJ,1,טע,-e,די אויסגעארבעטע עסן,di,a{u-o}issge{a-o}r{b-v}ete,essn,di a{u-o}issge{a-o}r{b-v}ete essn,1
4584,9385,אויסגעברייטערטע,ADJ,1,טע,-e,אן אויסגעברייטערטע פֿארזיכערונג,an,a{u-o}issge{b-v}reiterte,{p-f}ֿ{a-o}rsi{k-ch}er{u-o}ng,an a{u-o}issge{b-v}reiterte {p-f}ֿ{a-o}rsi{k-ch}er{u-o}ng,1
4195,8601,אויסגעברענטע,ADJ,1,טע,-e,די אויסגעברענטע לופט,di,a{u-o}issge{b-v}rente,l{u-o}{p-f}t,di a{u-o}issge{b-v}rente l{u-o}{p-f}t,1
3588,7314,אויסגעגראבענע,ADJ,1,ע,-e,אן אויסגעגראבענע גרוב,an,a{u-o}issgegr{a-o}{b-v}ene,gr{u-o}{b-v},an a{u-o}issgegr{a-o}{b-v}ene gr{u-o}{b-v},NA
4691,9566,אויסגעהיטנסטע,ADJ,1,טע,-e,די אויסגעהיטנסטע פלעצער,di,a{u-o}issgehitnsste,{p-f}lezer,di a{u-o}issgehitnsste {p-f}lezer,1
1417,2815,אויסגעוויינליכע,ADJ,1,כע,-e,אן אויסגעוויינליכע ערפאלג,an,a{u-o}issgeweinli{k-ch}e,er{p-f}{a-o}lg,an a{u-o}issgeweinli{k-ch}e er{p-f}{a-o}lg,1
2940,5985,אויסגעוועלטע,ADJ,1,טע,-e,די אויסגעוועלטע תלמידים,di,a{u-o}issgewelte,tlmidim,di a{u-o}issgewelte tlmidim,1
4245,8724,אויסגעטראכטע,ADJ,1,טע,-e,אן אויסגעטראכטע ליניע,an,a{u-o}issgetr{a-o}{k-ch}te,linie,an a{u-o}issgetr{a-o}{k-ch}te linie,1
5852,1151,אויסגעטרעטנע,NOUN,1,ע,-e,די אלטע אויסגעטרעטנע,di,{a-o}lte,a{u-o}issgetretne,di {a-o}lte a{u-o}issgetretne,NA
1741,3526,אויסגעמאלענע,ADJ,1,ע,-e,אן אויסגעמאלענע ליניע,an,a{u-o}issgem{a-o}lene,linie,an a{u-o}issgem{a-o}lene linie,1
8318,4159,אויסגעצויגענע,NOUN,1,ע,-e,א לאנגע אויסגעצויגענע,a,l{a-o}nge,a{u-o}issgez{u-o}igene,a l{a-o}nge a{u-o}issgez{u-o}igene,1
896,1797,אויסגעצויגענעם,ADJ,1,עם,-em,אן אויסגעצויגענעם געראנגעל,an,a{u-o}issgez{u-o}igenem,ger{a-o}ngel,an a{u-o}issgez{u-o}igenem ger{a-o}ngel,1
1048,2068,אויסגעצייכענטע,ADJ,1,טע,-e,די אויסגעצייכענטע וויסנשאפטלער,di,a{u-o}issgezei{k-ch}ente,wissnsch{a-o}{p-f}tler,di a{u-o}issgezei{k-ch}ente wissnsch{a-o}{p-f}tler,1
8493,4350,אויסגעקליבענע,NOUN,1,ע,-e,א גרופע אויסגעקליבענע,a,gr{u-o}{p-f}e,a{u-o}issgekli{b-v}ene,a gr{u-o}{p-f}e a{u-o}issgekli{b-v}ene,NA
4097,8359,אויסגערופנסטע,ADJ,1,טע,-e,די אויסגערופנסטע כופרים,di,a{u-o}issger{u-o}{p-f}nsste,{k-ch}{u-o}{p-f}rim,di a{u-o}issger{u-o}{p-f}nsste {k-ch}{u-o}{p-f}rim,1
3752,7625,אויסגעשפראכענע,ADJ,1,ע,-e,די אויסגעשפראכענע בני,di,a{u-o}issgesch{p-f}r{a-o}{k-ch}ene,{b-v}ni,di a{u-o}issgesch{p-f}r{a-o}{k-ch}ene {b-v}ni,1
774,1597,אויסגעשפראכענעם,ADJ,1,עם,-em,אן אויסגעשפראכענעם צפונ''דיגן,an,a{u-o}issgesch{p-f}r{a-o}{k-ch}enem,zvon''dign,an a{u-o}issgesch{p-f}r{a-o}{k-ch}enem zvon''dign,NA
1393,2757,אויסווייניקסטע,ADJ,1,טע,-e,די אויסווייניקסטע שאָל,di,a{u-o}issweiniksste,sch{a-o}ָl,di a{u-o}issweiniksste sch{a-o}ָl,1
1452,2865,אויסזע,ADJ,1,זע,-e,דעם אויסזע פון,dem,a{u-o}issse,von,dem a{u-o}issse von,NA
889,1783,אויסטרא-אזיאטישע,ADJ,1,ע,-e,די אויסטרא-אזיאטישע שפראכן,di,a{u-o}isstr{a-o}-{a-o}si{a-o}tische,sch{p-f}r{a-o}{k-ch}n,di a{u-o}isstr{a-o}-{a-o}si{a-o}tische sch{p-f}r{a-o}{k-ch}n,1
1668,3377,אויסלענדישע,ADJ,1,ע,-e,די אויסלענדישע מעדיע,di,a{u-o}isslendische,medie,di a{u-o}isslendische medie,1
2181,4389,אויסערגעוויינליכע,ADJ,1,כע,-e,אן אויסערגעוויינליכע רײַכקייט,an,a{u-o}issergeweinli{k-ch}e,rײַ{k-ch}keit,an a{u-o}issergeweinli{k-ch}e rײַ{k-ch}keit,1
4003,8159,אויסערגעווענטליכע,ADJ,1,כע,-e,א אויסערגעווענטליכע געטרייע,a,a{u-o}issergewentli{k-ch}e,getreie,a a{u-o}issergewentli{k-ch}e getreie,1
280,645,אויסערדישע,ADJ,1,ע,-e,א אויסערדישע גרויסע,a,a{u-o}isserdische,gr{u-o}isse,a a{u-o}isserdische gr{u-o}isse,NA
11326,7778,אויסערן,NOUN,1,רן,-en,א נייטראלע אויסערן,a,neitr{a-o}le,a{u-o}issern,a neitr{a-o}le a{u-o}issern,NA
9354,5378,אויסצופאלגן,NOUN,1,גן,-en,די מאשינקע אויסצופאלגן,di,m{a-o}schinke,a{u-o}issz{u-o}{p-f}{a-o}lgn,di m{a-o}schinke a{u-o}issz{u-o}{p-f}{a-o}lgn,NA
3719,7565,אויסשליסליכע,ADJ,1,כע,-e,די אויסשליסליכע רעכט,di,a{u-o}issschlissli{k-ch}e,re{k-ch}t,di a{u-o}issschlissli{k-ch}e re{k-ch}t,1
2919,5960,אויפגייענדע,ADJ,1,דע,-e,די אויפגייענדע שטערן,di,oifgeiende,schtern,di oifgeiende schtern,1
2415,4864,אויפגעבויטע,ADJ,1,טע,-e,אן אויפגעבויטע שטאט,an,oifge{b-v}{u-o}ite,scht{a-o}t,an oifge{b-v}{u-o}ite scht{a-o}t,NA
399,895,אויפגעבלאזענע,ADJ,1,ע,-e,אן אויפגעבלאזענע זאך,an,oifge{b-v}l{a-o}sene,s{a-o}ch,an oifge{b-v}l{a-o}sene s{a-o}ch,1
2293,4612,אויפגעכאפטע,ADJ,1,טע,-e,אן אויפגעכאפטע באשעפטיגונג,an,oifge{k-ch}{a-o}{p-f}te,{b-v}{a-o}sche{p-f}tig{u-o}ng,an oifge{k-ch}{a-o}{p-f}te {b-v}{a-o}sche{p-f}tig{u-o}ng,1
8433,4283,אויפגעקומענע,NOUN,1,ע,-e,די נייע אויפגעקומענע,di,neie,oifgek{u-o}mene,di neie oifgek{u-o}mene,NA
2927,5971,אויפגעקלערטע,ADJ,1,טע,-e,די אויפגעקלערטע ווינטן,di,oifgeklerte,wintn,di oifgeklerte wintn,1
7583,3236,אויפן,NOUN,1,פן,-en,די אינטעגראציע אויפן,di,integr{a-o}zie,oifn,di integr{a-o}zie oifn,NA
4187,8587,אומ-מוגה''דיגע,ADJ,1,גע,-e,א אומ-מוגה''דיגע תורה,a,a{u-o}m-m{u-o}gh''dige,t{u-o}rh,a a{u-o}m-m{u-o}gh''dige t{u-o}rh,1
2768,5599,אומ''יושר''דיגע,ADJ,1,גע,-e,אן אומ''יושר''דיגע נאכדעם,an,a{u-o}m''i{u-o}schr''dige,n{a-o}{k-ch}dem,an a{u-o}m''i{u-o}schr''dige n{a-o}{k-ch}dem,NA
4451,9170,אומאיבערגעהאקטע,ADJ,1,טע,-e,אן אומאיבערגעהאקטע איבערגעבונג,an,a{u-o}mi{b-v}ergeh{a-o}kte,i{b-v}erge{b-v}{u-o}ng,an a{u-o}mi{b-v}ergeh{a-o}kte i{b-v}erge{b-v}{u-o}ng,1
900,1807,אומאפהענגיקע,ADJ,1,קע,-e,די אומאפהענגיקע פאציפישע,di,a{u-o}m{a-o}{p-f}hengike,{p-f}{a-o}zi{p-f}ische,di a{u-o}m{a-o}{p-f}hengike {p-f}{a-o}zi{p-f}ische,NA
2613,5251,"אומאָפּהענגיקע""",ADJ,1,קע,-e,"די אומאָפּהענגיקע""",di,"a{u-o}m{a-o}ָ{p-f}ּhengike""",NA,"di a{u-o}m{a-o}ָ{p-f}ּhengike""",NA
7127,2665,אומגליקן,NOUN,1,קן,-en,די גרויסע אומגליקן,di,gr{u-o}isse,a{u-o}mglikn,di gr{u-o}isse a{u-o}mglikn,1
1091,2185,אומגעבעטענע,ADJ,1,ע,-e,די אומגעבעטענע און,di,a{u-o}mge{b-v}etene,a{u-o}n,di a{u-o}mge{b-v}etene a{u-o}n,NA
2785,5646,אומגעלייזטע,ADJ,1,טע,-e,די אומגעלייזטע פראבלעמען,di,a{u-o}mgeleiste,{p-f}r{a-o}{b-v}lemen,di a{u-o}mgeleiste {p-f}r{a-o}{b-v}lemen,1
620,1302,אומגעקומענע,ADJ,1,ע,-e,די אומגעקומענע איז,di,a{u-o}mgek{u-o}mene,is,di a{u-o}mgek{u-o}mene is,NA
4553,9326,"אומגעקומענע,",ADJ,1,ע,-e,"די אומגעקומענע,",di,"a{u-o}mgek{u-o}mene,",NA,"di a{u-o}mgek{u-o}mene,",NA
356,783,אומגעריכטע,ADJ,1,טע,-e,די אומגעריכטע הילף,di,a{u-o}mgeri{k-ch}te,hilf,di a{u-o}mgeri{k-ch}te hilf,1
740,1537,אומדירעקטע,ADJ,1,טע,-e,אן אומדירעקטע אנדייטונג,an,a{u-o}mdirekte,{a-o}ndeit{u-o}ng,an a{u-o}mdirekte {a-o}ndeit{u-o}ng,1
6079,1413,אומוויסענדע,NOUN,1,דע,-e,די קליינע אומוויסענדע,di,kleine,a{u-o}mwissende,di kleine a{u-o}mwissende,NA
12146,8792,אומזינסטיגע,NOUN,1,גע,-e,א אינטערסאנטע אומזינסטיגע,a,interss{a-o}nte,a{u-o}msinsstige,a interss{a-o}nte a{u-o}msinsstige,NA
4408,9075,אומזעבארע,ADJ,1,רע,-e,א אומזעבארע גאז,a,a{u-o}mse{b-v}{a-o}re,g{a-o}s,a a{u-o}mse{b-v}{a-o}re g{a-o}s,1
710,1486,אומנאטורלעכע,ADJ,1,כע,-e,א אומנאטורלעכע פאנטאזיע,a,a{u-o}mn{a-o}t{u-o}rle{k-ch}e,{p-f}{a-o}nt{a-o}sie,a a{u-o}mn{a-o}t{u-o}rle{k-ch}e {p-f}{a-o}nt{a-o}sie,1
3875,7885,אומסטאבילע,ADJ,1,לע,-le,די אומסטאבילע מיטל,di,a{u-o}msst{a-o}{b-v}ile,mitl,di a{u-o}msst{a-o}{b-v}ile mitl,1
342,758,אומעטיקע,ADJ,1,קע,-e,די אומעטיקע ווערטער,di,a{u-o}metike,werter,di a{u-o}metike werter,1
1208,2400,אומפארדייעטע,ADJ,1,טע,-e,די אומפארדייעטע עסן,di,a{u-o}m{p-f}{a-o}rdeiete,essn,di a{u-o}m{p-f}{a-o}rdeiete essn,1
4370,8998,אומפארטייאישע,ADJ,1,ע,-e,א אומפארטייאישע בלעטל,a,a{u-o}m{p-f}{a-o}rteiische,{b-v}letl,a a{u-o}m{p-f}{a-o}rteiische {b-v}letl,1
4741,9675,אומפארמאלע,ADJ,1,לע,-le,די אומפארמאלע גרענעץ,di,a{u-o}m{p-f}{a-o}rm{a-o}le,grenez,di a{u-o}m{p-f}{a-o}rm{a-o}le grenez,NA
791,1620,אומפראגע,ADJ,1,גע,-e,אן אומפראגע די,an,a{u-o}m{p-f}r{a-o}ge,di,an a{u-o}m{p-f}r{a-o}ge di,NA
4197,8604,אומצאליגע,ADJ,1,גע,-e,אן אומצאליגע סומע,an,a{u-o}mz{a-o}lige,ss{u-o}me,an a{u-o}mz{a-o}lige ss{u-o}me,NA
1915,3866,אומקאנווענציאנעלע,ADJ,1,לע,-le,די אומקאנווענציאנעלע וואפן,di,a{u-o}mk{a-o}nwenzi{a-o}nele,w{a-o}{p-f}n,di a{u-o}mk{a-o}nwenzi{a-o}nele w{a-o}{p-f}n,1
4441,9145,אומריינע,ADJ,1,ע,-e,די אומריינע עמישענס,di,a{u-o}mreine,emischenss,di a{u-o}mreine emischenss,1
4560,9341,אומרעכטיגע,ADJ,1,גע,-e,אן אומרעכטיגע זאך,an,a{u-o}mre{k-ch}tige,s{a-o}ch,an a{u-o}mre{k-ch}tige s{a-o}ch,1
5248,455,אומרעכטן,NOUN,1,טן,-en,די פולע אומרעכטן,di,{p-f}{u-o}le,a{u-o}mre{k-ch}tn,di {p-f}{u-o}le a{u-o}mre{k-ch}tn,1
2969,6046,אומשולדיקע,ADJ,1,קע,-e,אן אומשולדיקע טראגעדיע,an,a{u-o}msch{u-o}ldike,tr{a-o}gedie,an a{u-o}msch{u-o}ldike tr{a-o}gedie,1
2665,5372,אונארישע,ADJ,1,ע,-e,אן אונארישע אפעראציע,an,a{u-o}n{a-o}rische,a{p-f}er{a-o}zie,an a{u-o}n{a-o}rische a{p-f}er{a-o}zie,1
958,1903,"אונגארישע,",ADJ,1,ע,-e,"די אונגארישע,",di,"a{u-o}ng{a-o}rische,",NA,"di a{u-o}ng{a-o}rische,",NA
4497,9240,אונגארישע.,ADJ,1,ע,-e,די אונגארישע.,di,a{u-o}ng{a-o}rische.,NA,di a{u-o}ng{a-o}rische.,NA
5744,1029,אונטן,NOUN,1,טן,-en,די אילוסטראציע אונטן,di,il{u-o}sstr{a-o}zie,a{u-o}ntn,di il{u-o}sstr{a-o}zie a{u-o}ntn,NA
4727,9643,אונטער-גרופע,ADJ,1,פע,-e,אן אונטער-גרופע פון,an,a{u-o}nter-gr{u-o}{p-f}e,von,an a{u-o}nter-gr{u-o}{p-f}e von,NA
993,1960,אונטערארעם,ADJ,1,עם,-em,דער אונטערארעם (,der,a{u-o}nter{a-o}rem,(,der a{u-o}nter{a-o}rem (,1
1028,2033,אונטערגעשטעלטע,ADJ,1,טע,-e,א אונטערגעשטעלטע פלאן,a,a{u-o}ntergeschtelte,{p-f}l{a-o}n,a a{u-o}ntergeschtelte {p-f}l{a-o}n,NA
529,1124,אונטערגעשריבענעם,ADJ,1,עם,-em,אן אונטערגעשריבענעם כתב,an,a{u-o}ntergeschri{b-v}enem,{k-ch}t{b-v},an a{u-o}ntergeschri{b-v}enem {k-ch}t{b-v},NA
7008,2521,אונטערן,NOUN,1,רן,-en,די ארגאניזאציע אונטערן,di,{a-o}rg{a-o}nis{a-o}zie,a{u-o}ntern,di {a-o}rg{a-o}nis{a-o}zie a{u-o}ntern,NA
3861,7849,אונטערנאציאנאלע,ADJ,1,לע,-le,די אונטערנאציאנאלע באר,di,a{u-o}ntern{a-o}zi{a-o}n{a-o}le,{b-v}{a-o}r,di a{u-o}ntern{a-o}zi{a-o}n{a-o}le {b-v}{a-o}r,NA
5421,654,אונטערעדישע,NOUN,1,ע,-e,די נייע אונטערעדישע,di,neie,a{u-o}nteredische,di neie a{u-o}nteredische,1
3191,6503,אונטערערדישע,ADJ,1,ע,-e,די אונטערערדישע באנען,di,a{u-o}ntererdische,{b-v}{a-o}nen,di a{u-o}ntererdische {b-v}{a-o}nen,NA
3307,6748,אונטערפאמיליע,ADJ,1,ע,-e,אן אונטערפאמיליע פון,an,a{u-o}nter{p-f}{a-o}milie,von,an a{u-o}nter{p-f}{a-o}milie von,NA
5582,838,אונטערצואווארפן,NOUN,1,פן,-en,אן אטאקע אונטערצואווארפן,an,{a-o}t{a-o}ke,a{u-o}nterz{u-o}{a-o}w{a-o}r{p-f}n,an {a-o}t{a-o}ke a{u-o}nterz{u-o}{a-o}w{a-o}r{p-f}n,NA
1029,2034,אונטערקארפאטישע,ADJ,1,ע,-e,די אונטערקארפאטישע וואיעוואדעשאפט,di,a{u-o}nterk{a-o}r{p-f}{a-o}tische,wiew{a-o}desch{a-o}{p-f}t,di a{u-o}nterk{a-o}r{p-f}{a-o}tische wiew{a-o}desch{a-o}{p-f}t,1
849,1721,אונטערשטע,ADJ,1,טע,-e,די אונטערשטע טייל,di,a{u-o}nterschte,teil,di a{u-o}nterschte teil,1
6617,2039,אוניווערסיטעטן,NOUN,1,טן,-en,די טראַדיציאָנעלע אוניווערסיטעטן,di,tr{a-o}ַdizi{a-o}ָnele,a{u-o}niwerssitetn,di tr{a-o}ַdizi{a-o}ָnele a{u-o}niwerssitetn,1
