"","id","token","pos","check","paradigm_he","paradigm_lat","kwic","art","adj","noun","latin","chk_ann"
"7186",3243,"אגענטורן","NOUN",1,"רן","-en","די נאציאנאלע אגענטורן","di","n{a-o}zi{a-o}n{a-o}le","{a-o}gent{u-o}rn","di n{a-o}zi{a-o}n{a-o}le {a-o}gent{u-o}rn",1
"2018",4474,"אגריקולטורע","ADJ",1,"רע","-e","די אגריקולטורע מושבים","di","{a-o}grik{u-o}lt{u-o}re","m{u-o}sch{b-v}im","di {a-o}grik{u-o}lt{u-o}re m{u-o}sch{b-v}im",1
"198",502,"אדאבע","ADJ",1,"בע","-e","די אדאבע רידער","di","{a-o}d{a-o}{b-v}e","rider","di {a-o}d{a-o}{b-v}e rider",1
"7963",4118,"אדוואקאטן","NOUN",1,"טן","-en","די אנדערע אדוואקאטן","di","{a-o}ndere","{a-o}dw{a-o}k{a-o}tn","di {a-o}ndere {a-o}dw{a-o}k{a-o}tn",1
"435",1002,"אדיקציע","ADJ",1,"ע","-e","די אדיקציע פאדערט","di","{a-o}dikzie","{p-f}{a-o}dert","di {a-o}dikzie {p-f}{a-o}dert",NA
"1180",2617,"אדמיניסטראטיווע","ADJ",1,"ע","-e","די אדמיניסטראטיווע הויפטקווארטיר","di","{a-o}dminisstr{a-o}tiwe","h{u-o}i{p-f}tkw{a-o}rtir","di {a-o}dminisstr{a-o}tiwe h{u-o}i{p-f}tkw{a-o}rtir",1
"3468",7820,"אדמיניסריטאטיווע","ADJ",1,"ע","-e","די אדמיניסריטאטיווע גרענעצן","di","{a-o}dminissrit{a-o}tiwe","grenezn","di {a-o}dminissrit{a-o}tiwe grenezn",1
"4923",602,"אדעליגע","NOUN",1,"גע","-e","די גרויסע אדעליגע","di","gr{u-o}isse","{a-o}delige","di gr{u-o}isse {a-o}delige",1
"9545",5966,"אדערן","NOUN",1,"רן","-en","די גרויסע אדערן","di","gr{u-o}isse","{a-o}dern","di gr{u-o}isse {a-o}dern",1
"5562",1303,"אהרונישע","NOUN",1,"ע","-e","די ארטיגע אהרונישע","di","{a-o}rtige","{a-o}hr{u-o}nische","di {a-o}rtige {a-o}hr{u-o}nische",NA
"515",1184,"אוגערקע","ADJ",1,"קע","-e","דעם אוגערקע מאכט","dem","a{u-o}gerke","m{a-o}{k-ch}t","dem a{u-o}gerke m{a-o}{k-ch}t",NA
"692",1502,"אוואולאציע","ADJ",1,"ע","-e","דער אוואולאציע וואס","der","{a-o}w{a-o}{u-o}l{a-o}zie","w{a-o}ss","der {a-o}w{a-o}{u-o}l{a-o}zie w{a-o}ss",1
"1511",3313,"אַוואַנטורע","ADJ",1,"רע","-e","די אַוואַנטורע מעשה","di","aַw{a-o}ַnt{u-o}re","meschh","di aַw{a-o}ַnt{u-o}re meschh",1
"172",445,"אַוווערגנע","ADJ",1,"ע","-e","די אַוווערגנע געגנט","di","aַw{u-o}ergne","gegnt","di aַw{u-o}ergne gegnt",1
"528",1204,"אוועקגעפאלענע","ADJ",1,"ע","-e","די אוועקגעפאלענע שליימהויט","di","{a-o}wekge{p-f}{a-o}lene","schleimh{u-o}it","di {a-o}wekge{p-f}{a-o}lene schleimh{u-o}it",1
"11029",7703,"אוועקלייגן","NOUN",1,"גן","-en","די גריפע אוועקלייגן","di","gri{p-f}e","{a-o}wekleign","di gri{p-f}e {a-o}wekleign",NA
"8288",4498,"אוטאריטעטן","NOUN",1,"טן","-en","די טערקישע אוטאריטעטן","di","terkische","a{u-o}t{a-o}ritetn","di terkische a{u-o}t{a-o}ritetn",1
"2601",5847,"אויבירשטע","ADJ",1,"טע","-e","די אויבירשטע זייט","di","a{u-o}i{b-v}irschte","seit","di a{u-o}i{b-v}irschte seit",NA
"316",751,"אויבענדערמאנטע","ADJ",1,"טע","-e","די אויבענדערמאנטע לטובת","di","a{u-o}i{b-v}enderm{a-o}nte","lt{u-o}{b-v}t","di a{u-o}i{b-v}enderm{a-o}nte lt{u-o}{b-v}t",1
"4293",9714,"אויבענדערמענטע","ADJ",1,"טע","-e","דעם אויבענדערמענטע וועג","dem","a{u-o}i{b-v}endermente","weg","dem a{u-o}i{b-v}endermente weg",NA
"3700",8374,"אויבערלענדישע","ADJ",1,"ע","-e","די אויבערלענדישע רבנים","di","a{u-o}i{b-v}erlendische","r{b-v}nim","di a{u-o}i{b-v}erlendische r{b-v}nim",1
"116",321,"אויבערשטע","ADJ",1,"טע","-e","די אויבערשטע שטאקן","di","a{u-o}i{b-v}erschte","scht{a-o}kn","di a{u-o}i{b-v}erschte scht{a-o}kn",1
"556",1255,"אויבערשטעטע","ADJ",1,"טע","-e","די אויבערשטעטע טייל","di","a{u-o}i{b-v}erschtete","teil","di a{u-o}i{b-v}erschtete teil",1
"7296",3365,"אויגן","NOUN",1,"גן","-en","די לעכטיגע אויגן","di","le{k-ch}tige","a{u-o}ign","di le{k-ch}tige a{u-o}ign",1
"1955",4308,"אוידיטאריע","ADJ",1,"ע","-e","די אוידיטאריע זאל","di","a{u-o}idit{a-o}rie","s{a-o}l","di a{u-o}idit{a-o}rie s{a-o}l",1
"9061",5397,"אויטאבוסן","NOUN",1,"סן","-en","די שטאטישע אויטאבוסן","di","scht{a-o}tische","a{u-o}it{a-o}{b-v}{u-o}ssn","di scht{a-o}tische a{u-o}it{a-o}{b-v}{u-o}ssn",1
"2247",5029,"אויטאמאטישע","ADJ",1,"ע","-e","די אויטאמאטישע סיסטעם","di","a{u-o}it{a-o}m{a-o}tische","ssisstem","di a{u-o}it{a-o}m{a-o}tische ssisstem",NA
"645",1408,"אויטאנאמיע","ADJ",1,"ע","-e","די אויטאנאמיע באנוצט","di","a{u-o}it{a-o}n{a-o}mie","{b-v}{a-o}n{u-o}zt","di a{u-o}it{a-o}n{a-o}mie {b-v}{a-o}n{u-o}zt",1
"646",1410,"אויטאנאמישע","ADJ",1,"ע","-e","אן אויטאנאמישע פארלאמענטארע","an","a{u-o}it{a-o}n{a-o}mische","{p-f}{a-o}rl{a-o}ment{a-o}re","an a{u-o}it{a-o}n{a-o}mische {p-f}{a-o}rl{a-o}ment{a-o}re",1
"4975",658,"אויטאריטעטן","NOUN",1,"טן","-en","די ארטיגע אויטאריטעטן","di","{a-o}rtige","a{u-o}it{a-o}ritetn","di {a-o}rtige a{u-o}it{a-o}ritetn",1
"1368",3048,"אוילרייכע","ADJ",1,"כע","-e","די אוילרייכע פעדער","di","a{u-o}ilrei{k-ch}e","{p-f}eder","di a{u-o}ilrei{k-ch}e {p-f}eder",1
"2072",4637,"אויסגעארבעטע","ADJ",1,"טע","-e","די אויסגעארבעטע עסן","di","a{u-o}issge{a-o}r{b-v}ete","essn","di a{u-o}issge{a-o}r{b-v}ete essn",1
"3620",8178,"אויסגעבויטע","ADJ",1,"טע","-e","א אויסגעבויטע באלקאני","a","a{u-o}issge{b-v}{u-o}ite","{b-v}{a-o}lk{a-o}ni","a a{u-o}issge{b-v}{u-o}ite {b-v}{a-o}lk{a-o}ni",NA
"3039",6863,"אויסגעברענטע","ADJ",1,"טע","-e","די אויסגעברענטע לופט","di","a{u-o}issge{b-v}rente","l{u-o}{p-f}t","di a{u-o}issge{b-v}rente l{u-o}{p-f}t",1
"2590",5827,"אויסגעגראבענע","ADJ",1,"ע","-e","אן אויסגעגראבענע גרוב","an","a{u-o}issgegr{a-o}{b-v}ene","gr{u-o}{b-v}","an a{u-o}issgegr{a-o}{b-v}ene gr{u-o}{b-v}",NA
"4306",9762,"אויסגעגראווירטע","ADJ",1,"טע","-e","א אויסגעגראווירטע וואנט","a","a{u-o}issgegr{a-o}wirte","w{a-o}nt","a a{u-o}issgegr{a-o}wirte w{a-o}nt",NA
"3396",7613,"אויסגעהיטנסטע","ADJ",1,"טע","-e","די אויסגעהיטנסטע פלעצער","di","a{u-o}issgehitnsste","{p-f}lezer","di a{u-o}issgehitnsste {p-f}lezer",1
"1022",2233,"אויסגעוויינליכע","ADJ",1,"כע","-e","אן אויסגעוויינליכע ערפאלג","an","a{u-o}issgeweinli{k-ch}e","er{p-f}{a-o}lg","an a{u-o}issgeweinli{k-ch}e er{p-f}{a-o}lg",1
"2145",4794,"אויסגעוועלטע","ADJ",1,"טע","-e","די אויסגעוועלטע תלמידים","di","a{u-o}issgewelte","tlmidim","di a{u-o}issgewelte tlmidim",1
"3073",6954,"אויסגעטראכטע","ADJ",1,"טע","-e","אן אויסגעטראכטע ליניע","an","a{u-o}issgetr{a-o}{k-ch}te","linie","an a{u-o}issgetr{a-o}{k-ch}te linie",1
"12587",9505,"אויסגעטרויטענע","NOUN",1,"ע","-e","א לאנגע אויסגעטרויטענע","a","l{a-o}nge","a{u-o}issgetr{u-o}itene","a l{a-o}nge a{u-o}issgetr{u-o}itene",NA
"5211",920,"אויסגעטרעטנע","NOUN",1,"ע","-e","די אלטע אויסגעטרעטנע","di","{a-o}lte","a{u-o}issgetretne","di {a-o}lte a{u-o}issgetretne",NA
"1255",2792,"אויסגעמאלענע","ADJ",1,"ע","-e","אן אויסגעמאלענע ליניע","an","a{u-o}issgem{a-o}lene","linie","an a{u-o}issgem{a-o}lene linie",1
"7237",3301,"אויסגעצויגענע","NOUN",1,"ע","-e","א לאנגע אויסגעצויגענע","a","l{a-o}nge","a{u-o}issgez{u-o}igene","a l{a-o}nge a{u-o}issgez{u-o}igene",1
"659",1431,"אויסגעצויגענעם","ADJ",1,"עם","-em","אן אויסגעצויגענעם געראנגעל","an","a{u-o}issgez{u-o}igenem","ger{a-o}ngel","an a{u-o}issgez{u-o}igenem ger{a-o}ngel",1
"3525",7957,"אויסגעצייכנטע","ADJ",1,"טע","-e","א אויסגעצייכנטע נעץ","a","a{u-o}issgezei{k-ch}nte","nez","a a{u-o}issgezei{k-ch}nte nez",NA
"752",1639,"אויסגעצייכענטע","ADJ",1,"טע","-e","די אויסגעצייכענטע וויסנשאפטלער","di","a{u-o}issgezei{k-ch}ente","wissnsch{a-o}{p-f}tler","di a{u-o}issgezei{k-ch}ente wissnsch{a-o}{p-f}tler",1
"7392",3462,"אויסגעקליבענע","NOUN",1,"ע","-e","א גרופע אויסגעקליבענע","a","gr{u-o}{p-f}e","a{u-o}issgekli{b-v}ene","a gr{u-o}{p-f}e a{u-o}issgekli{b-v}ene",NA
"2957",6657,"אויסגערופנסטע","ADJ",1,"טע","-e","די אויסגערופנסטע כופרים","di","a{u-o}issger{u-o}{p-f}nsste","{k-ch}{u-o}{p-f}rim","di a{u-o}issger{u-o}{p-f}nsste {k-ch}{u-o}{p-f}rim",1
"4359",9895,"אויסגעשטרעקטע","ADJ",1,"טע","-e","א אויסגעשטרעקטע ארעם","a","a{u-o}issgeschtrekte","{a-o}rem","a a{u-o}issgeschtrekte {a-o}rem",NA
"2715",6083,"אויסגעשפראכענע","ADJ",1,"ע","-e","די אויסגעשפראכענע בני","di","a{u-o}issgesch{p-f}r{a-o}{k-ch}ene","{b-v}ni","di a{u-o}issgesch{p-f}r{a-o}{k-ch}ene {b-v}ni",1
"653",1419,"אויסטרא-אזיאטישע","ADJ",1,"ע","-e","די אויסטרא-אזיאטישע שפראכן","di","a{u-o}isstr{a-o}-{a-o}si{a-o}tische","sch{p-f}r{a-o}{k-ch}n","di a{u-o}isstr{a-o}-{a-o}si{a-o}tische sch{p-f}r{a-o}{k-ch}n",1
"1207",2678,"אויסלענדישע","ADJ",1,"ע","-e","די אויסלענדישע מעדיע","di","a{u-o}isslendische","medie","di a{u-o}isslendische medie",1
"12080",8922,"אויסמאטערנדע","NOUN",1,"דע","-e","א לענגערע אויסמאטערנדע","a","lengere","a{u-o}issm{a-o}ternde","a lengere a{u-o}issm{a-o}ternde",NA
"2893",6501,"אויסערגעווענטליכע","ADJ",1,"כע","-e","א אויסערגעווענטליכע געטרייע","a","a{u-o}issergewentli{k-ch}e","getreie","a a{u-o}issergewentli{k-ch}e getreie",1
"3552",8016,"אויסערגעווענלעכע","ADJ",1,"כע","-e","אן אויסערגעווענלעכע מינימאלע","an","a{u-o}issergewenle{k-ch}e","minim{a-o}le","an a{u-o}issergewenle{k-ch}e minim{a-o}le",NA
"211",530,"אויסערדישע","ADJ",1,"ע","-e","א אויסערדישע גרויסע","a","a{u-o}isserdische","gr{u-o}isse","a a{u-o}isserdische gr{u-o}isse",NA
"5473",1201,"אויסערליכע","NOUN",1,"כע","-e","די הארטע אויסערליכע","di","h{a-o}rte","a{u-o}isserli{k-ch}e","di h{a-o}rte a{u-o}isserli{k-ch}e",NA
"9743",6203,"אויסערן","NOUN",1,"רן","-en","א נייטראלע אויסערן","a","neitr{a-o}le","a{u-o}issern","a neitr{a-o}le a{u-o}issern",NA
"8121",4304,"אויסצופאלגן","NOUN",1,"גן","-en","די מאשינקע אויסצופאלגן","di","m{a-o}schinke","a{u-o}issz{u-o}{p-f}{a-o}lgn","di m{a-o}schinke a{u-o}issz{u-o}{p-f}{a-o}lgn",NA
"2689",6030,"אויסשליסליכע","ADJ",1,"כע","-e","די אויסשליסליכע רעכט","di","a{u-o}issschlissli{k-ch}e","re{k-ch}t","di a{u-o}issschlissli{k-ch}e re{k-ch}t",1
"2132",4776,"אויפגייענדע","ADJ",1,"דע","-e","די אויפגייענדע שטערן","di","oifgeiende","schtern","di oifgeiende schtern",1
"1758",3881,"אויפגעבויטע","ADJ",1,"טע","-e","אן אויפגעבויטע שטאט","an","oifge{b-v}{u-o}ite","scht{a-o}t","an oifge{b-v}{u-o}ite scht{a-o}t",NA
"287",698,"אויפגעבלאזענע","ADJ",1,"ע","-e","אן אויפגעבלאזענע זאך","an","oifge{b-v}l{a-o}sene","s{a-o}ch","an oifge{b-v}l{a-o}sene s{a-o}ch",1
"1665",3674,"אויפגעכאפטע","ADJ",1,"טע","-e","אן אויפגעכאפטע באשעפטיגונג","an","oifge{k-ch}{a-o}{p-f}te","{b-v}{a-o}sche{p-f}tig{u-o}ng","an oifge{k-ch}{a-o}{p-f}te {b-v}{a-o}sche{p-f}tig{u-o}ng",1
"7335",3404,"אויפגעקומענע","NOUN",1,"ע","-e","די נייע אויפגעקומענע","di","neie","oifgek{u-o}mene","di neie oifgek{u-o}mene",NA
"2136",4784,"אויפגעקלערטע","ADJ",1,"טע","-e","די אויפגעקלערטע ווינטן","di","oifgeklerte","wintn","di oifgeklerte wintn",1
"12370",9255,"אויפלאגע","NOUN",1,"גע","-e","די צווייטע אויפלאגע","di","zweite","oifl{a-o}ge","di zweite oifl{a-o}ge",NA
"6645",2579,"אויפן","NOUN",1,"פן","-en","די אינטעגראציע אויפן","di","integr{a-o}zie","oifn","di integr{a-o}zie oifn",NA
"12589",9507,"אויפנאמע","NOUN",1,"מע","-e","דער ענטוזיאטישע אויפנאמע","der","ent{u-o}si{a-o}tische","oifn{a-o}me","der ent{u-o}si{a-o}tische oifn{a-o}me",NA
"3032",6851,"אומ-מוגה''דיגע","ADJ",1,"גע","-e","א אומ-מוגה''דיגע תורה","a","a{u-o}m-m{u-o}gh''dige","t{u-o}rh","a a{u-o}m-m{u-o}gh''dige t{u-o}rh",1
"2025",4490,"אומ''יושר''דיגע","ADJ",1,"גע","-e","אן אומ''יושר''דיגע נאכדעם","an","a{u-o}m''i{u-o}schr''dige","n{a-o}{k-ch}dem","an a{u-o}m''i{u-o}schr''dige n{a-o}{k-ch}dem",NA
"3230",7313,"אומאיבערגעהאקטע","ADJ",1,"טע","-e","אן אומאיבערגעהאקטע איבערגעבונג","an","a{u-o}mi{b-v}ergeh{a-o}kte","i{b-v}erge{b-v}{u-o}ng","an a{u-o}mi{b-v}ergeh{a-o}kte i{b-v}erge{b-v}{u-o}ng",1
"661",1437,"אומאפהענגיקע","ADJ",1,"קע","-e","די אומאפהענגיקע פאציפישע","di","a{u-o}m{a-o}{p-f}hengike","{p-f}{a-o}zi{p-f}ische","di a{u-o}m{a-o}{p-f}hengike {p-f}{a-o}zi{p-f}ische",NA
"4006",9117,"אומבאשרייבליכע","ADJ",1,"כע","-e","די אומבאשרייבליכע שוידערליכע","di","a{u-o}m{b-v}{a-o}schrei{b-v}li{k-ch}e","sch{u-o}iderli{k-ch}e","di a{u-o}m{b-v}{a-o}schrei{b-v}li{k-ch}e sch{u-o}iderli{k-ch}e",NA
"4172",9489,"אומגליקליכע","ADJ",1,"כע","-e","די אומגליקליכע קהילה","di","a{u-o}mglikli{k-ch}e","khilh","di a{u-o}mglikli{k-ch}e khilh",NA
"6275",2126,"אומגליקן","NOUN",1,"קן","-en","די גרויסע אומגליקן","di","gr{u-o}isse","a{u-o}mglikn","di gr{u-o}isse a{u-o}mglikn",1
"4277",9683,"אומגעוואונטשענע","ADJ",1,"ע","-e","די אומגעוואונטשענע סיפטאמען","di","a{u-o}mgew{a-o}{u-o}ntschene","ssi{p-f}t{a-o}men","di a{u-o}mgew{a-o}{u-o}ntschene ssi{p-f}t{a-o}men",NA
"2036",4527,"אומגעלייזטע","ADJ",1,"טע","-e","די אומגעלייזטע פראבלעמען","di","a{u-o}mgeleiste","{p-f}r{a-o}{b-v}lemen","di a{u-o}mgeleiste {p-f}r{a-o}{b-v}lemen",1
"252",611,"אומגעריכטע","ADJ",1,"טע","-e","די אומגעריכטע הילף","di","a{u-o}mgeri{k-ch}te","hilf","di a{u-o}mgeri{k-ch}te hilf",1
"535",1219,"אומדירעקטע","ADJ",1,"טע","-e","אן אומדירעקטע אנדייטונג","an","a{u-o}mdirekte","{a-o}ndeit{u-o}ng","an a{u-o}mdirekte {a-o}ndeit{u-o}ng",1
"4248",9637,"אומהיימליכע","ADJ",1,"כע","-e","א אומהיימליכע ענדליכקייט","a","a{u-o}mheimli{k-ch}e","endli{k-ch}keit","a a{u-o}mheimli{k-ch}e endli{k-ch}keit",NA
"5396",1120,"אומוויסענדע","NOUN",1,"דע","-e","די קליינע אומוויסענדע","di","kleine","a{u-o}mwissende","di kleine a{u-o}mwissende",NA
"4257",9651,"אומווערדיגע","ADJ",1,"גע","-e","א אומווערדיגע זאך","a","a{u-o}mwerdige","s{a-o}ch","a a{u-o}mwerdige s{a-o}ch",1
"10409",7000,"אומזינסטיגע","NOUN",1,"גע","-e","א אינטערסאנטע אומזינסטיגע","a","interss{a-o}nte","a{u-o}msinsstige","a interss{a-o}nte a{u-o}msinsstige",NA
"3194",7229,"אומזעבארע","ADJ",1,"רע","-e","א אומזעבארע גאז","a","a{u-o}mse{b-v}{a-o}re","g{a-o}s","a a{u-o}mse{b-v}{a-o}re g{a-o}s",1
"513",1178,"אומנאטורלעכע","ADJ",1,"כע","-e","א אומנאטורלעכע פאנטאזיע","a","a{u-o}mn{a-o}t{u-o}rle{k-ch}e","{p-f}{a-o}nt{a-o}sie","a a{u-o}mn{a-o}t{u-o}rle{k-ch}e {p-f}{a-o}nt{a-o}sie",1
"2810",6296,"אומסטאבילע","ADJ",1,"לע","-le","די אומסטאבילע מיטל","di","a{u-o}msst{a-o}{b-v}ile","mitl","di a{u-o}msst{a-o}{b-v}ile mitl",1
"241",592,"אומעטיקע","ADJ",1,"קע","-e","די אומעטיקע ווערטער","di","a{u-o}metike","werter","di a{u-o}metike werter",1
"873",1904,"אומפארדייעטע","ADJ",1,"טע","-e","די אומפארדייעטע עסן","di","a{u-o}m{p-f}{a-o}rdeiete","essn","di a{u-o}m{p-f}{a-o}rdeiete essn",1
"3165",7166,"אומפארטייאישע","ADJ",1,"ע","-e","א אומפארטייאישע בלעטל","a","a{u-o}m{p-f}{a-o}rteiische","{b-v}letl","a a{u-o}m{p-f}{a-o}rteiische {b-v}letl",1
"3430",7689,"אומפארמאלע","ADJ",1,"לע","-le","די אומפארמאלע גרענעץ","di","a{u-o}m{p-f}{a-o}rm{a-o}le","grenez","di a{u-o}m{p-f}{a-o}rm{a-o}le grenez",NA
"576",1285,"אומפראגע","ADJ",1,"גע","-e","אן אומפראגע די","an","a{u-o}m{p-f}r{a-o}ge","di","an a{u-o}m{p-f}r{a-o}ge di",NA
"3041",6866,"אומצאליגע","ADJ",1,"גע","-e","אן אומצאליגע סומע","an","a{u-o}mz{a-o}lige","ss{u-o}me","an a{u-o}mz{a-o}lige ss{u-o}me",NA
"12832",9786,"אומציוויליזירטע","NOUN",1,"טע","-e","די גלויביגע אומציוויליזירטע","di","gl{u-o}i{b-v}ige","a{u-o}mziwilisirte","di gl{u-o}i{b-v}ige a{u-o}mziwilisirte",NA
"1382",3066,"אומקאנווענציאנעלע","ADJ",1,"לע","-le","די אומקאנווענציאנעלע וואפן","di","a{u-o}mk{a-o}nwenzi{a-o}nele","w{a-o}{p-f}n","di a{u-o}mk{a-o}nwenzi{a-o}nele w{a-o}{p-f}n",1
"3221",7291,"אומריינע","ADJ",1,"ע","-e","די אומריינע עמישענס","di","a{u-o}mreine","emischenss","di a{u-o}mreine emischenss",1
"3304",7445,"אומרעכטיגע","ADJ",1,"גע","-e","אן אומרעכטיגע זאך","an","a{u-o}mre{k-ch}tige","s{a-o}ch","an a{u-o}mre{k-ch}tige s{a-o}ch",1
"4735",386,"אומרעכטן","NOUN",1,"טן","-en","די פולע אומרעכטן","di","{p-f}{u-o}le","a{u-o}mre{k-ch}tn","di {p-f}{u-o}le a{u-o}mre{k-ch}tn",1
"2171",4846,"אומשולדיקע","ADJ",1,"קע","-e","אן אומשולדיקע טראגעדיע","an","a{u-o}msch{u-o}ldike","tr{a-o}gedie","an a{u-o}msch{u-o}ldike tr{a-o}gedie",1
"4173",9490,"אומשילדיגע","ADJ",1,"גע","-e","דער אומשילדיגע קהילה","der","a{u-o}mschildige","khilh","der a{u-o}mschildige khilh",NA
"1951",4300,"אונארישע","ADJ",1,"ע","-e","אן אונארישע אפעראציע","an","a{u-o}n{a-o}rische","a{p-f}er{a-o}zie","an a{u-o}n{a-o}rische a{p-f}er{a-o}zie",1
"11606",8362,"אונגארן","NOUN",1,"רן","-en","די היינטיקע אונגארן","di","heintike","a{u-o}ng{a-o}rn","di heintike a{u-o}ng{a-o}rn",NA
"5114",814,"אונטן","NOUN",1,"טן","-en","די אילוסטראציע אונטן","di","il{u-o}sstr{a-o}zie","a{u-o}ntn","di il{u-o}sstr{a-o}zie a{u-o}ntn",NA
"739",1614,"אונטערגעשטעלטע","ADJ",1,"טע","-e","א אונטערגעשטעלטע פלאן","a","a{u-o}ntergeschtelte","{p-f}l{a-o}n","a a{u-o}ntergeschtelte {p-f}l{a-o}n",NA
"386",895,"אונטערגעשריבענעם","ADJ",1,"עם","-em","אן אונטערגעשריבענעם כתב","an","a{u-o}ntergeschri{b-v}enem","{k-ch}t{b-v}","an a{u-o}ntergeschri{b-v}enem {k-ch}t{b-v}",NA
"3693",8355,"אונטערדוקטע","ADJ",1,"טע","-e","די אונטערדוקטע און","di","a{u-o}nterd{u-o}kte","a{u-o}n","di a{u-o}nterd{u-o}kte a{u-o}n",NA
"6174",2007,"אונטערן","NOUN",1,"רן","-en","די ארגאניזאציע אונטערן","di","{a-o}rg{a-o}nis{a-o}zie","a{u-o}ntern","di {a-o}rg{a-o}nis{a-o}zie a{u-o}ntern",NA
"2799",6263,"אונטערנאציאנאלע","ADJ",1,"לע","-le","די אונטערנאציאנאלע באר","di","a{u-o}ntern{a-o}zi{a-o}n{a-o}le","{b-v}{a-o}r","di a{u-o}ntern{a-o}zi{a-o}n{a-o}le {b-v}{a-o}r",NA
"4868",536,"אונטערעדישע","NOUN",1,"ע","-e","די נייע אונטערעדישע","di","neie","a{u-o}nteredische","di neie a{u-o}nteredische",1
"2311",5181,"אונטערערדישע","ADJ",1,"ע","-e","די אונטערערדישע באנען","di","a{u-o}ntererdische","{b-v}{a-o}nen","di a{u-o}ntererdische {b-v}{a-o}nen",NA
"4976",659,"אונטערצואווארפן","NOUN",1,"פן","-en","אן אטאקע אונטערצואווארפן","an","{a-o}t{a-o}ke","a{u-o}nterz{u-o}{a-o}w{a-o}r{p-f}n","an {a-o}t{a-o}ke a{u-o}nterz{u-o}{a-o}w{a-o}r{p-f}n",NA
"740",1615,"אונטערקארפאטישע","ADJ",1,"ע","-e","די אונטערקארפאטישע וואיעוואדעשאפט","di","a{u-o}nterk{a-o}r{p-f}{a-o}tische","wiew{a-o}desch{a-o}{p-f}t","di a{u-o}nterk{a-o}r{p-f}{a-o}tische wiew{a-o}desch{a-o}{p-f}t",1
"624",1371,"אונטערשטע","ADJ",1,"טע","-e","די אונטערשטע טייל","di","a{u-o}nterschte","teil","di a{u-o}nterschte teil",1
"12299",9173,"אונטערשיידן","NOUN",1,"דן","-en","די וועזנטלעכע אונטערשיידן","di","wesntle{k-ch}e","a{u-o}nterscheidn","di wesntle{k-ch}e a{u-o}nterscheidn",NA
"5847",1617,"אוניווערסיטעטן","NOUN",1,"טן","-en","די טראַדיציאָנעלע אוניווערסיטעטן","di","tr{a-o}ַdizi{a-o}ָnele","a{u-o}niwerssitetn","di tr{a-o}ַdizi{a-o}ָnele a{u-o}niwerssitetn",1
"3523",7949,"אוניטארישע","ADJ",1,"ע","-e","אן אוניטארישע אויטאריטעט","an","a{u-o}nit{a-o}rische","a{u-o}it{a-o}ritet","an a{u-o}nit{a-o}rische a{u-o}it{a-o}ritet",NA
"8248",4450,"אופן","NOUN",1,"פן","-en","א רינדעכיגע אופן","a","rinde{k-ch}ige","a{u-o}{p-f}n","a rinde{k-ch}ige a{u-o}{p-f}n",NA
"768",1680,"אוקריינישע","ADJ",1,"ע","-e","די אוקריינישע שטעט","di","a{u-o}kreinische","schtet","di a{u-o}kreinische schtet",NA
"1383",3068,"אור-אלטע","ADJ",1,"טע","-e","דאס אור-אלטע לאנד","d{a-o}ss","a{u-o}r-{a-o}lte","l{a-o}nd","d{a-o}ss a{u-o}r-{a-o}lte l{a-o}nd",1
