"lfd","noun","collocations","category"
128,"rose","VPing","P&F"
129,"rose","VPto","P&F"
130,"rose","Swh","P&F"
131,"rose","Sing","P&F"
1,"river","valley","MA"
2,"river","dolphin","MA"
3,"river","Severn","MA"
4,"river","crossing","MA"
5,"river","Derwent","MA"
6,"river","Thames","MA"
7,"river","bank","MA"
8,"river","frontage","MA"
9,"river","blindness","MA"
10,"river","Humber","MA"
11,"river","authority","MA"
12,"river","Stour","MA"
13,"river","Dee","MA"
14,"river","Seine","MA"
15,"river","Ouse","MA"
16,"river","terrace","MA"
17,"river","estuary","MA"
18,"river","bed","MA"
19,"river","Wye","MA"
20,"river","basin","MA"
21,"river","navigation","MA"
22,"river","pollution","MA"
23,"river","Danube","MA"
24,"river","Elbe","MA"
25,"river","Aire","MA"
26,"river","navigable","MA"
27,"river","polluted","MA"
28,"river","fast-flowing","MA"
29,"river","flowing","MA"
30,"river","Euphrates","MA"
31,"river","salmon","MA"
32,"river","frozen","MA"
33,"river","tidal","MA"
34,"river","swollen","MA"
35,"river","Colorado","MA"
36,"river","yangtze","MA"
37,"river","meandering","MA"
38,"river","Ob","MA"
39,"river","Sava","MA"
40,"river","rushing","MA"
41,"river","sacred","MA"
42,"river","Lyn","MA"
43,"river","slow-flowing","MA"
44,"river","Drina","MA"
45,"river","Narmada","MA"
46,"river","flooded","MA"
47,"river","slow-moving","MA"
48,"river","holy","MA"
49,"river","underground","MA"
50,"river","awash","MA"
51,"river","lake","MA"
52,"river","stream","MA"
53,"river","canal","MA"
54,"river","loch","MA"
55,"river","tributary","MA"
56,"river","waterfall","MA"
57,"river","brook","MA"
58,"river","marsh","MA"
59,"river","wetland","MA"
60,"river","sea","MA"
61,"river","burn","MA"
62,"river","ocean","MA"
63,"river","waterway","MA"
64,"river","pond","MA"
65,"river","mountain","MA"
66,"river","hill","MA"
67,"river","beach","MA"
68,"river","river","MA"
69,"river","rain","MA"
70,"river","forest","MA"
71,"river","countryside","MA"
72,"river","pool","MA"
73,"river","soil","MA"
74,"river","stretch","MA"
75,"river","reach","MA"
76,"river","bend","MA"
77,"river","confluence","MA"
78,"river","waters","MA"
79,"river","sweep","MA"
80,"river","middle","MA"
81,"river","south","MA"
82,"river","mouth","MA"
83,"river","side","MA"
84,"river","flow","MA"
85,"river","bottom","MA"
86,"river","mile","MA"
87,"river","north","MA"
88,"river","surface","MA"
89,"river","west","MA"
90,"river","sound","MA"
91,"river","direction","MA"
92,"river","quality","MA"
93,"river","view","MA"
94,"river","east","MA"
95,"river","pollute","MA"
96,"river","cross","MA"
97,"river","dam","MA"
98,"river","ford","MA"
99,"river","overlook","MA"
100,"river","border","MA"
101,"river","span","MA"
102,"river","swim","MA"
103,"river","fish","MA"
104,"river","swell","MA"
105,"river","divert","MA"
106,"river","freeze","MA"
107,"river","explore","MA"
108,"river","feed","MA"
109,"river","love","MA"
110,"river","follow","MA"
111,"river","join","MA"
112,"river","improve","MA"
113,"river","enter","MA"
114,"river","watch","MA"
115,"river","prevent","MA"
116,"river","affect","MA"
117,"river","form","MA"
118,"river","see","MA"
119,"river","meander","MA"
120,"river","overflow","MA"
121,"river","flood","MA"
122,"river","dry","MA"
123,"river","run","MA"
124,"river","wash","MA"
125,"river","rise","MA"
126,"river","divide","MA"
127,"river","cut","MA"
128,"river","lay","MA"
129,"river","meet","MA"
130,"river","carry","MA"
131,"river","seem","MA"
132,"river","lead","MA"
133,"river","become","MA"
134,"river","cause","MA"
135,"river","turn","MA"
136,"river","look","MA"
137,"river","begin","MA"
138,"river","go","MA"
139,"river","come","MA"
140,"river","pee","MA"
141,"river","drown","MA"
142,"river","jump","MA"
143,"river","fall","MA"
144,"river","catch","MA"
145,"river","water","MA"
146,"river","find","MA"
147,"river","life","MA"
148,"river","leach","MA"
149,"river","dive","MA"
150,"river","discharge","MA"
151,"river","pour","MA"
152,"river","waste","MA"
153,"river","throw","MA"
154,"river","boat","MA"
155,"river","project","MA"
156,"river","work","MA"
157,"river","day","MA"
158,"river","access","MA"
159,"river","return","MA"
160,"river","way","MA"
161,"river","China","MA"
162,"river","England","MA"
163,"river","Wales","MA"
164,"river","Europe","MA"
165,"river","lava","MA"
166,"river","blood","MA"
167,"river","name","MA"
168,"river","world","MA"
169,"river","full","MA"
170,"river","able","MA"
171,"river","high","MA"
172,"river","bridge","MA"
173,"river","sit","MA"
174,"river","edge","MA"
175,"river","Britain","MA"
176,"river","London","MA"
177,"river","country","MA"
178,"river","drift","MA"
179,"river","travel","MA"
180,"river","sell","MA"
181,"river","arrive","MA"
182,"river","foot","MA"
183,"river","clean","MA"
184,"river","land","MA"
185,"river","poss","MA"
186,"river","VPing","MA"
187,"river","Sfin","MA"
188,"river","Swh","MA"
189,"river","VPto","MA"
190,"river","Sing","MA"
191,"river","Scond","MA"
1,"lane","narrow","EA"
2,"lane","winding","EA"
3,"lane","fast","EA"
4,"lane","inside","EA"
5,"lane","leafy","EA"
6,"lane","puddle","EA"
7,"lane","shipping","EA"
8,"lane","cobbled","EA"
9,"lane","overtaking","EA"
10,"lane","northbound","EA"
11,"lane","outside","EA"
12,"lane","southbound","EA"
13,"lane","muddy","EA"
14,"lane","rutted","EA"
15,"lane","quiet","EA"
16,"lane","nearside","EA"
17,"lane","guilder","EA"
18,"lane","twisting","EA"
19,"lane","right-hand","EA"
20,"lane","donkey","EA"
21,"lane","bus","EA"
22,"lane","pit","EA"
23,"lane","memory","EA"
24,"lane","green","EA"
25,"lane","Park","EA"
26,"lane","side-street","EA"
27,"lane","ng/µl","EA"
28,"lane","Battison","EA"
29,"lane","alley","EA"
30,"lane","pavilion","EA"
31,"lane","lane","EA"
32,"lane","Roberts","EA"
33,"lane","road","EA"
34,"lane","street","EA"
35,"lane","path","EA"
36,"lane","Lane","EA"
37,"lane","track","EA"
38,"lane","field","EA"
39,"lane","centre","EA"
40,"lane","mince","EA"
41,"lane","border","EA"
42,"lane","edge","EA"
43,"lane","block","EA"
44,"lane","compare","EA"
45,"lane","cross","EA"
46,"lane","close","EA"
47,"lane","reach","EA"
48,"lane","follow","EA"
49,"lane","call","EA"
50,"lane","use","EA"
51,"lane","provide","EA"
52,"lane","say","EA"
53,"lane","know","EA"
54,"lane","take","EA"
55,"lane","lead","EA"
56,"lane","run","EA"
57,"lane","link","EA"
58,"lane","drop","EA"
59,"lane","join","EA"
60,"lane","contain","EA"
61,"lane","turn","EA"
62,"lane","go","EA"
63,"lane","come","EA"
64,"lane","stay","EA"
65,"lane","drive","EA"
66,"lane","band","EA"
67,"lane","car","EA"
68,"lane","live","EA"
69,"lane","life","EA"
70,"lane","show","EA"
71,"lane","house","EA"
72,"lane","maze","EA"
73,"lane","stretch","EA"
74,"lane","junction","EA"
75,"lane","middle","EA"
76,"lane","bottom","EA"
77,"lane","corner","EA"
78,"lane","end","EA"
79,"lane","pair","EA"
80,"lane","side","EA"
81,"lane","network","EA"
82,"lane","trip","EA"
83,"lane","walk","EA"
84,"lane","closure","EA"
85,"lane","Fox","EA"
86,"lane","highway","EA"
87,"lane","restriction","EA"
88,"lane","traffic","EA"
89,"lane","school","EA"
90,"lane","carriageway","EA"
91,"lane","motorway","EA"
92,"lane","look","EA"
93,"lane","way","EA"
94,"lane","direction","EA"
95,"lane","wide","EA"
96,"lane","lover","EA"
97,"lane","VPing","EA"
98,"lane","Sfin","EA"
99,"lane","poss","EA"
100,"lane","Swh","EA"
101,"lane","VPto","EA"
1,"suit","furlong","CL"
2,"suit","trouser","CL"
3,"suit","Armani","CL"
4,"suit","boiler","CL"
5,"suit","style","CL"
6,"suit","manner","CL"
7,"suit","arrangement","CL"
8,"suit","play","CL"
9,"suit","method","CL"
10,"suit","shape","CL"
11,"suit","colour","CL"
12,"suit","job","CL"
13,"suit","one","CL"
14,"suit","approach","CL"
15,"suit","pattern","CL"
16,"suit","law","CL"
17,"suit","model","CL"
18,"suit","condition","CL"
19,"suit","course","CL"
20,"suit","way","CL"
21,"suit","place","CL"
22,"suit","life","CL"
23,"suit","system","CL"
24,"suit","house","CL"
25,"suit","time","CL"
26,"suit","taste","CL"
27,"suit","need","CL"
28,"suit","temperament","CL"
29,"suit","mood","CL"
30,"suit","convenience","CL"
31,"suit","requirement","CL"
32,"suit","purpose","CL"
33,"suit","circumstance","CL"
34,"suit","lifestyle","CL"
35,"suit","pocket","CL"
36,"suit","whim","CL"
37,"suit","occasion","CL"
38,"suit","colouring","CL"
39,"suit","thickness","CL"
40,"suit","layout","CL"
41,"suit","preference","CL"
42,"suit","wish","CL"
43,"suit","talent","CL"
44,"suit","size","CL"
45,"suit","fabric","CL"
46,"suit","height","CL"
47,"suit","atmosphere","CL"
48,"suit","audience","CL"
49,"suit","personality","CL"
50,"suit","ideally","CL"
51,"suit","best","CL"
52,"suit","better","CL"
53,"suit","admirably","CL"
54,"suit","eminently","CL"
55,"suit","uniquely","CL"
56,"suit","well","CL"
57,"suit","ill","CL"
58,"suit","perfectly","CL"
59,"suit","particularly","CL"
60,"suit","specially","CL"
61,"suit","genuinely","CL"
62,"suit","especially","CL"
63,"suit","naturally","CL"
64,"suit","longer","CL"
65,"suit","more","CL"
66,"suit","certainly","CL"
67,"suit","really","CL"
68,"suit","probably","CL"
69,"suit","either","CL"
70,"suit","both","CL"
71,"suit","most","CL"
72,"suit","clearly","CL"
73,"suit","almost","CL"
74,"suit","less","CL"
75,"suit","task","CL"
76,"suit","type","CL"
77,"suit","environment","CL"
78,"suit","garden","CL"
79,"suit","music","CL"
80,"suit","treatment","CL"
81,"suit","demand","CL"
82,"suit","production","CL"
83,"suit","situation","CL"
84,"suit","use","CL"
85,"suit","role","CL"
86,"suit","society","CL"
87,"suit","study","CL"
88,"suit","form","CL"
89,"suit","area","CL"
90,"suit","fine","CL"
91,"suit","available","CL"
92,"suit","on","CL"
93,"suit","up","CL"
94,"suit","down","CL"
95,"suit","passive","CL"
96,"suit","Sfin","CL"
97,"suit","np_pp","CL"
98,"suit","it+","CL"
99,"suit","reflexive","CL"
100,"suit","prep_ing","CL"
101,"suit","np_np","CL"
102,"suit","VPto","CL"
103,"suit","np_VPto","CL"
104,"suit","np_sfin","CL"
105,"suit","Swh","CL"
106,"suit","quote","CL"
107,"suit","prep_Sing","CL"
108,"suit","prep_wh","CL"
109,"suit","part_pp","CL"
110,"suit","Sing","CL"
111,"suit","np_VPing","CL"
112,"suit","VPing","CL"
1,"wound","gunshot","BO"
2,"wound","stab","BO"
3,"wound","gaping","BO"
4,"wound","self-inflicted","BO"
5,"wound","bullet","BO"
6,"wound","shotgun","BO"
7,"wound","shrapnel","BO"
8,"wound","mortal","BO"
9,"wound","puncture","BO"
10,"wound","gun-shot","BO"
11,"wound","abdominal","BO"
12,"wound","healing","BO"
13,"wound","lacerated","BO"
14,"wound","bleeding","BO"
15,"wound","surgical","BO"
16,"wound","contaminated","BO"
17,"wound","facial","BO"
18,"wound","infected","BO"
19,"wound","horrible","BO"
20,"wound","multiple","BO"
21,"wound","knife","BO"
22,"wound","mechanical","BO"
23,"wound","automatic","BO"
24,"wound","minor","BO"
25,"wound","head","BO"
26,"wound","heal","BO"
27,"wound","lick","BO"
28,"wound","inflict","BO"
29,"wound","regenerate","BO"
30,"wound","nurse","BO"
31,"wound","reopen","BO"
32,"wound","bandage","BO"
33,"wound","probe","BO"
34,"wound","clean","BO"
35,"wound","suffer","BO"
36,"wound","sustain","BO"
37,"wound","dress","BO"
38,"wound","score","BO"
39,"wound","wash","BO"
40,"wound","expose","BO"
41,"wound","receive","BO"
42,"wound","examine","BO"
43,"wound","cause","BO"
44,"wound","touch","BO"
45,"wound","open","BO"
46,"wound","treat","BO"
47,"wound","cover","BO"
48,"wound","close","BO"
49,"wound","bind","BO"
50,"wound","leave","BO"
51,"wound","laceration","BO"
52,"wound","sore","BO"
53,"wound","scar","BO"
54,"wound","rainbow","BO"
55,"wound","cut","BO"
56,"wound","injury","BO"
57,"wound","die","BO"
58,"wound","edge","BO"
59,"wound","mass","BO"
60,"wound","result","BO"
61,"wound","site","BO"
62,"wound","management","BO"
63,"wound","number","BO"
64,"wound","bleed","BO"
65,"wound","kill","BO"
66,"wound","begin","BO"
67,"wound","become","BO"
68,"wound","margin","BO"
69,"wound","drain","BO"
70,"wound","closure","BO"
71,"wound","infection","BO"
72,"wound","string","BO"
73,"wound","front","BO"
74,"wound","care","BO"
75,"wound","response","BO"
76,"wound","recover","BO"
77,"wound","blood","BO"
78,"wound","pain","BO"
79,"wound","chest","BO"
80,"wound","leg","BO"
81,"wound","back","BO"
82,"wound","hospital","BO"
83,"wound","find","BO"
84,"wound","stitch","BO"
85,"wound","salt","BO"
86,"wound","deep","BO"
87,"wound","entry","BO"
88,"wound","reduce","BO"
89,"wound","body","BO"
90,"wound","tie","BO"
91,"wound","look","BO"
92,"wound","poss","BO"
93,"wound","Sfin","BO"
94,"wound","Swh","BO"
95,"wound","VPing","BO"
96,"wound","VPto","BO"
1,"lunchroom","tiny","F&D"
2,"lunchroom","Sfin","F&D"
1,"water","supply","EA"
2,"water","supplies","EA"
3,"water","temperature","EA"
4,"water","vapour","EA"
5,"water","tank","EA"
6,"water","gypsy","EA"
7,"water","pollution","EA"
8,"water","heater","EA"
9,"water","cylinder","EA"
10,"water","pipe","EA"
11,"water","cistern","EA"
12,"water","quality","EA"
13,"water","reactor","EA"
14,"water","wheel","EA"
15,"water","molecule","EA"
16,"water","bottle","EA"
17,"water","Newton","EA"
18,"water","privatisation","EA"
19,"water","main","EA"
20,"water","authority","EA"
21,"water","absorption","EA"
22,"water","lily","EA"
23,"water","meter","EA"
24,"water","heating","EA"
25,"water","sport","EA"
26,"water","hot","EA"
27,"water","drinking","EA"
28,"water","cold","EA"
29,"water","boiling","EA"
30,"water","fresh","EA"
31,"water","mineral","EA"
32,"water","running","EA"
33,"water","Thames","EA"
34,"water","warm","EA"
35,"water","shallow","EA"
36,"water","tap","EA"
37,"water","clean","EA"
38,"water","salt","EA"
39,"water","distilled","EA"
40,"water","deep","EA"
41,"water","sea","EA"
42,"water","soft","EA"
43,"water","soapy","EA"
44,"water","salted","EA"
45,"water","dirty","EA"
46,"water","bottled","EA"
47,"water","deeper","EA"
48,"water","brackish","EA"
49,"water","pure","EA"
50,"water","anglian","EA"
51,"water","pump","EA"
52,"water","pour","EA"
53,"water","drink","EA"
54,"water","heat","EA"
55,"water","boil","EA"
56,"water","tread","EA"
57,"water","fetch","EA"
58,"water","splash","EA"
59,"water","contaminate","EA"
60,"water","pollute","EA"
61,"water","cool","EA"
62,"water","absorb","EA"
63,"water","conserve","EA"
64,"water","test","EA"
65,"water","drain","EA"
66,"water","add","EA"
67,"water","drip","EA"
68,"water","filter","EA"
69,"water","divert","EA"
70,"water","collect","EA"
71,"water","suck","EA"
72,"water","sip","EA"
73,"water","throw","EA"
74,"water","bucket","EA"
75,"water","gallon","EA"
76,"water","bowl","EA"
77,"water","stretch","EA"
78,"water","litre","EA"
79,"water","pan","EA"
80,"water","glass","EA"
81,"water","pint","EA"
82,"water","jug","EA"
83,"water","drop","EA"
84,"water","tablespoon","EA"
85,"water","surface","EA"
86,"water","pail","EA"
87,"water","flow","EA"
88,"water","trickle","EA"
89,"water","inch","EA"
90,"water","quantity","EA"
91,"water","expanse","EA"
92,"water","volume","EA"
93,"water","amount","EA"
94,"water","ml","EA"
95,"water","pool","EA"
96,"water","electricity","EA"
97,"water","soap","EA"
98,"water","dioxide","EA"
99,"water","food","EA"
100,"water","mud","EA"
101,"water","soil","EA"
102,"water","sewerage","EA"
103,"water","air","EA"
104,"water","gas","EA"
105,"water","sanitation","EA"
106,"water","bread","EA"
107,"water","sand","EA"
108,"water","nutrient","EA"
109,"water","juice","EA"
110,"water","electrolyte","EA"
111,"water","detergent","EA"
112,"water","drainage","EA"
113,"water","sewage","EA"
114,"water","wind","EA"
115,"water","hell","EA"
116,"water","powder","EA"
117,"water","sugar","EA"
118,"water","wine","EA"
119,"water","seep","EA"
120,"water","gush","EA"
121,"water","cascade","EA"
122,"water","swirl","EA"
123,"water","lap","EA"
124,"water","evaporate","EA"
125,"water","leak","EA"
126,"water","rush","EA"
127,"water","soak","EA"
128,"water","stream","EA"
129,"water","percolate","EA"
130,"water","slop","EA"
131,"water","spill","EA"
132,"water","freeze","EA"
133,"water","penetrate","EA"
134,"water","run","EA"
135,"water","tumble","EA"
136,"water","dissolve","EA"
137,"water","soluble","EA"
138,"water","nitrate","EA"
139,"water","immerse","EA"
140,"water","wash","EA"
141,"water","swim","EA"
142,"water","rinse","EA"
143,"water","float","EA"
144,"water","insoluble","EA"
145,"water","dip","EA"
146,"water","immersion","EA"
147,"water","alga","EA"
148,"water","dangle","EA"
149,"water","submerge","EA"
150,"water","oxygen","EA"
151,"water","pesticide","EA"
152,"water","toe","EA"
153,"water","reflection","EA"
154,"water","suspend","EA"
155,"water","waist","EA"
156,"water","land","EA"
157,"water","lie","EA"
158,"water","dilute","EA"
159,"water","mix","EA"
160,"water","fill","EA"
161,"water","saucepan","EA"
162,"water","spray","EA"
163,"water","sprinkle","EA"
164,"water","react","EA"
165,"water","jar","EA"
166,"water","contact","EA"
167,"water","pot","EA"
168,"water","bath","EA"
169,"water","cover","EA"
170,"water","associate","EA"
171,"water","face","EA"
172,"water","kettle","EA"
173,"water","aquarium","EA"
174,"water","sink","EA"
175,"water","basin","EA"
176,"water","river","EA"
177,"water","Scotland","EA"
178,"water","garden","EA"
179,"water","area","EA"
180,"water","place","EA"
181,"water","hand","EA"
182,"water","form","EA"
183,"water","world","EA"
184,"water","part","EA"
185,"water","system","EA"
186,"water","way","EA"
187,"water","resistant","EA"
188,"water","alkaline","EA"
189,"water","scarce","EA"
190,"water","available","EA"
191,"water","thick","EA"
192,"water","clear","EA"
193,"water","close","EA"
194,"water","sufficient","EA"
195,"water","hard","EA"
196,"water","essential","EA"
197,"water","necessary","EA"
198,"water","low","EA"
199,"water","free","EA"
200,"water","full","EA"
201,"water","high","EA"
202,"water","likely","EA"
203,"water","important","EA"
204,"water","well","EA"
205,"water","reservoir","EA"
206,"water","spring","EA"
207,"water","mine","EA"
208,"water","roof","EA"
209,"water","rock","EA"
210,"water","source","EA"
211,"water","hair","EA"
212,"water","dive","EA"
213,"water","plunge","EA"
214,"water","jump","EA"
215,"water","slide","EA"
216,"water","step","EA"
217,"water","fall","EA"
218,"water","roll","EA"
219,"water","go","EA"
220,"water","get","EA"
221,"water","duck","EA"
222,"water","access","EA"
223,"water","acid","EA"
224,"water","return","EA"
225,"water","turn","EA"
226,"water","take","EA"
227,"water","come","EA"
228,"water","Bourton","EA"
229,"water","walk","EA"
230,"water","rely","EA"
231,"water","depend","EA"
232,"water","oil","EA"
233,"water","light","EA"
234,"water","min","EA"
235,"water","washing","EA"
236,"water","seconds","EA"
237,"water","minute","EA"
238,"water","hour","EA"
239,"water","fish","EA"
240,"water","week","EA"
241,"water","day","EA"
242,"water","time","EA"
243,"water","year","EA"
244,"water","demand","EA"
245,"water","wait","EA"
246,"water","pay","EA"
247,"water","ask","EA"
248,"water","need","EA"
249,"water","acidity","EA"
250,"water","ph","EA"
251,"water","emerge","EA"
252,"water","rise","EA"
253,"water","foot","EA"
254,"water","problem","EA"
255,"water","surround","EA"
256,"water","affect","EA"
257,"water","cause","EA"
258,"water","death","EA"
259,"water","Leith","EA"
260,"water","Walkway","EA"
261,"water","bay","EA"
262,"water","life","EA"
263,"water","brain","EA"
264,"water","floor","EA"
265,"water","side","EA"
266,"water","bottom","EA"
267,"water","pressure","EA"
268,"water","rate","EA"
269,"water","end","EA"
270,"water","edge","EA"
271,"water","in","EA"
272,"water","down","EA"
273,"water","off","EA"
274,"water","over","EA"
275,"water","out","EA"
276,"water","on","EA"
277,"water","back","EA"
278,"water","up","EA"
279,"water","teapot","EA"
280,"water","disappear","EA"
281,"water","stay","EA"
282,"water","head","EA"
283,"water","wade","EA"
284,"water","move","EA"
285,"water","bridge","EA"
286,"water","look","EA"
287,"water","stare","EA"
288,"water","Russell","EA"
289,"water","Britain","EA"
290,"water","pick","EA"
291,"water","medium","EA"
292,"water","VPing","EA"
293,"water","VPto","EA"
294,"water","Sfin","EA"
295,"water","poss","EA"
296,"water","Swh","EA"
297,"water","Sing","EA"
298,"water","Scond","EA"
299,"water","Sforto","EA"
300,"water","it+","EA"
1,"body","governing","BO"
2,"body","recognised","BO"
3,"body","professional","BO"
4,"body","regulatory","BO"
5,"body","whole","BO"
6,"body","dead","BO"
7,"body","voluntary","BO"
8,"body","human","BO"
9,"body","advisory","BO"
10,"body","naked","BO"
11,"body","public","BO"
12,"body","main","BO"
13,"body","independent","BO"
14,"body","statutory","BO"
15,"body","legislative","BO"
16,"body","lead","BO"
17,"body","representative","BO"
18,"body","corporate","BO"
19,"body","female","BO"
20,"body","entire","BO"
21,"body","upper","BO"
22,"body","outside","BO"
23,"body","ruling","BO"
24,"body","decision-making","BO"
25,"body","review","BO"
26,"body","discover","BO"
27,"body","bury","BO"
28,"body","recover","BO"
29,"body","find","BO"
30,"body","dump","BO"
31,"body","twist","BO"
32,"body","drag","BO"
33,"body","govern","BO"
34,"body","rack","BO"
35,"body","press","BO"
36,"body","arch","BO"
37,"body","wrap","BO"
38,"body","wash","BO"
39,"body","hide","BO"
40,"body","tense","BO"
41,"body","cover","BO"
42,"body","stretch","BO"
43,"body","relax","BO"
44,"body","establish","BO"
45,"body","identify","BO"
46,"body","jerk","BO"
47,"body","clothe","BO"
48,"body","burn","BO"
49,"body","lower","BO"
50,"body","embalm","BO"
51,"body","soul","BO"
52,"body","mind","BO"
53,"body","limb","BO"
54,"body","neck","BO"
55,"body","fin","BO"
56,"body","brain","BO"
57,"body","antrum","BO"
58,"body","tribunal","BO"
59,"body","Leas","BO"
60,"body","leg","BO"
61,"body","lawyer","BO"
62,"body","quango","BO"
63,"body","head","BO"
64,"body","blood","BO"
65,"body","institution","BO"
66,"body","person","BO"
67,"body","axon","BO"
68,"body","organ","BO"
69,"body","chassis","BO"
70,"body","volume","BO"
71,"body","spirit","BO"
72,"body","association","BO"
73,"body","solicitor","BO"
74,"body","face","BO"
75,"body","organisation","BO"
76,"body","tremble","BO"
77,"body","ache","BO"
78,"body","lie","BO"
79,"body","stiffen","BO"
80,"body","shudder","BO"
81,"body","sag","BO"
82,"body","quiver","BO"
83,"body","respond","BO"
84,"body","tingle","BO"
85,"body","float","BO"
86,"body","lay","BO"
87,"body","react","BO"
88,"body","shake","BO"
89,"body","exercise","BO"
90,"body","convulse","BO"
91,"body","throb","BO"
92,"body","glisten","BO"
93,"body","sway","BO"
94,"body","regulate","BO"
95,"body","twitch","BO"
96,"body","warmth","BO"
97,"body","rest","BO"
98,"body","esquire","BO"
99,"body","part","BO"
100,"body","discovery","BO"
101,"body","contour","BO"
102,"body","dispose","BO"
103,"body","length","BO"
104,"body","creation","BO"
105,"body","half","BO"
106,"body","weight","BO"
107,"body","curve","BO"
108,"body","hardness","BO"
109,"body","underside","BO"
110,"body","ashamed","BO"
111,"body","muscle","BO"
112,"body","establishment","BO"
113,"body","feel","BO"
114,"body","inch","BO"
115,"body","heir","BO"
116,"body","aware","BO"
117,"body","formation","BO"
118,"body","outline","BO"
119,"body","clock","BO"
120,"body","politic","BO"
121,"body","fluid","BO"
122,"body","temperature","BO"
123,"body","fat","BO"
124,"body","mass","BO"
125,"body","language","BO"
126,"body","shop","BO"
127,"body","lotion","BO"
128,"body","armour","BO"
129,"body","heat","BO"
130,"body","ulcer","BO"
131,"body","scanner","BO"
132,"body","odour","BO"
133,"body","size","BO"
134,"body","cavity","BO"
135,"body","posture","BO"
136,"body","shape","BO"
137,"body","index","BO"
138,"body","tissue","BO"
139,"body","blow","BO"
140,"body","massage","BO"
141,"body","builder","BO"
142,"body","count","BO"
143,"body","Christ","BO"
144,"body","knowledge","BO"
145,"body","opinion","BO"
146,"body","evidence","BO"
147,"body","Marcos","BO"
148,"body","literature","BO"
149,"body","neuron","BO"
150,"body","text","BO"
151,"body","sport","BO"
152,"body","victim","BO"
153,"body","writing","BO"
154,"body","expertise","BO"
155,"body","essay","BO"
156,"body","troops","BO"
157,"body","law","BO"
158,"body","soldier","BO"
