"","a.noun","q.noun","a.cat","gold","q.cat","m.cat","freq","score","max.obs","max.score"
"31","eeee4word","e1word","e4",NA,NA,"e4",0.166666666666667,0.0111111111111111,TRUE,FALSE
"32","u1word","ee2word","u1",NA,NA,NA,0.142857142857143,0.010989010989011,FALSE,FALSE
"33","aaa3word","eee3word","a3",NA,NA,NA,0.166666666666667,0.0104166666666667,FALSE,FALSE
"34","ee2word","eeee4word","e2",NA,NA,NA,0.166666666666667,0.0104166666666667,FALSE,FALSE
"35","eee3word","eeeee5word","e3",NA,NA,NA,0.166666666666667,0.00925925925925926,FALSE,FALSE
"36","aa2word","a1word","a2",NA,NA,"a2",0.166666666666667,0.0128205128205128,TRUE,FALSE
"37","uuuu4word","aa2word","u4",NA,NA,NA,0.142857142857143,0.00892857142857143,FALSE,FALSE
"38","eeee4word","aaa3word","e4",NA,NA,NA,0.142857142857143,0.00840336134453781,FALSE,FALSE
"39","u1word","aaaa4word","u1",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"40","aaa3word","aaaaa5word","a3",NA,NA,"a3",0.166666666666667,0.00925925925925926,TRUE,FALSE
"41","ee2word","u1word","e2",NA,NA,NA,0.142857142857143,0.010989010989011,FALSE,FALSE
"42","eee3word","uu2word","e3",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"43","aa2word","uuu3word","a2",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"44","uuuu4word","uuuu4word","u4",NA,"u4","u4",0.2,0.0111111111111111,TRUE,TRUE
"45","eeee4word","uuuuu5word","e4",NA,NA,NA,0.142857142857143,0.0075187969924812,FALSE,FALSE
"46","u1word","e1word","u1",NA,"u1",NA,0.166666666666667,0.0138888888888889,FALSE,TRUE
"47","aaa3word","ee2word","a3",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"48","ee2word","eee3word","e2",NA,NA,NA,0.166666666666667,0.0111111111111111,FALSE,FALSE
"49","eee3word","eeee4word","e3",NA,NA,NA,0.166666666666667,0.00980392156862745,FALSE,FALSE
"50","aa2word","eeeee5word","a2",NA,NA,NA,0.142857142857143,0.00840336134453781,FALSE,FALSE
"51","uuuu4word","a1word","u4",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"52","eeee4word","aa2word","e4",NA,NA,NA,0.142857142857143,0.00892857142857143,FALSE,FALSE
"53","u1word","aaa3word","u1",NA,NA,NA,0.142857142857143,0.0102040816326531,FALSE,FALSE
"54","aaa3word","aaaa4word","a3",NA,NA,NA,0.166666666666667,0.00980392156862745,FALSE,FALSE
"55","ee2word","aaaaa5word","e2",NA,NA,NA,0.142857142857143,0.00840336134453781,FALSE,FALSE
"56","eee3word","u1word","e3",NA,NA,NA,0.142857142857143,0.0102040816326531,FALSE,FALSE
"57","aa2word","uu2word","a2",NA,NA,NA,0.166666666666667,0.0119047619047619,FALSE,FALSE
"58","uuuu4word","uuu3word","u4",NA,NA,NA,0.166666666666667,0.00980392156862745,FALSE,FALSE
"59","eeee4word","uuuu4word","e4",NA,NA,NA,0.166666666666667,0.00925925925925926,FALSE,FALSE
"60","u1word","uuuuu5word","u1",NA,"u1",NA,0.166666666666667,0.0104166666666667,FALSE,TRUE
"61","aaa3word","e1word","a3",NA,NA,NA,0.142857142857143,0.0102040816326531,FALSE,FALSE
"62","ee2word","ee2word","e2",NA,"e2","e2",0.2,0.0142857142857143,TRUE,TRUE
"63","eee3word","eee3word","e3",NA,"e3","e3",0.2,0.0125,TRUE,TRUE
"64","aa2word","eeee4word","a2",NA,NA,NA,0.142857142857143,0.00892857142857143,FALSE,FALSE
"65","uuuu4word","eeeee5word","u4",NA,NA,NA,0.142857142857143,0.0075187969924812,FALSE,FALSE
"66","eeee4word","a1word","e4",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"67","u1word","aa2word","u1",NA,NA,NA,0.142857142857143,0.010989010989011,FALSE,FALSE
"68","aaa3word","aaa3word","a3",NA,"a3","a3",0.2,0.0125,TRUE,TRUE
"69","ee2word","aaaa4word","e2",NA,NA,NA,0.142857142857143,0.00892857142857143,FALSE,FALSE
"70","eee3word","aaaaa5word","e3",NA,NA,NA,0.142857142857143,0.00793650793650794,FALSE,FALSE
"71","aa2word","u1word","a2",NA,NA,NA,0.142857142857143,0.010989010989011,FALSE,FALSE
"72","uuuu4word","uu2word","u4",NA,NA,NA,0.166666666666667,0.0104166666666667,FALSE,FALSE
"73","eeee4word","uuu3word","e4",NA,NA,NA,0.142857142857143,0.00840336134453781,FALSE,FALSE
"74","u1word","uuuu4word","u1",NA,NA,NA,0.166666666666667,0.0111111111111111,FALSE,FALSE
"75","aaa3word","uuuuu5word","a3",NA,NA,NA,0.142857142857143,0.00793650793650794,FALSE,FALSE
"76","ee2word","e1word","e2",NA,NA,NA,0.166666666666667,0.0128205128205128,FALSE,FALSE
"77","eee3word","ee2word","e3",NA,NA,NA,0.166666666666667,0.0111111111111111,FALSE,FALSE
"78","aa2word","eee3word","a2",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"79","uuuu4word","eeee4word","u4",NA,NA,NA,0.166666666666667,0.00925925925925926,FALSE,FALSE
"80","eeee4word","eeeee5word","e4",NA,NA,NA,0.166666666666667,0.0087719298245614,FALSE,FALSE
"81","u1word","a1word","u1",NA,"u1",NA,0.166666666666667,0.0138888888888889,FALSE,TRUE
"82","aaa3word","aa2word","a3",NA,NA,NA,0.166666666666667,0.0111111111111111,FALSE,FALSE
"83","ee2word","aaa3word","e2",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"84","eee3word","aaaa4word","e3",NA,NA,NA,0.142857142857143,0.00840336134453781,FALSE,FALSE
"85","aa2word","aaaaa5word","a2",NA,"a2",NA,0.166666666666667,0.00980392156862745,FALSE,TRUE
"86","uuuu4word","u1word","u4",NA,NA,NA,0.166666666666667,0.0111111111111111,FALSE,FALSE
"87","eeee4word","uu2word","e4",NA,NA,NA,0.142857142857143,0.00892857142857143,FALSE,FALSE
"88","u1word","uuu3word","u1",NA,"u1",NA,0.166666666666667,0.0119047619047619,FALSE,TRUE
"89","aaa3word","uuuu4word","a3",NA,NA,NA,0.142857142857143,0.00840336134453781,FALSE,FALSE
"90","ee2word","uuuuu5word","e2",NA,NA,NA,0.142857142857143,0.00840336134453781,FALSE,FALSE
"91","eee3word","e1word","e3",NA,NA,NA,0.166666666666667,0.0119047619047619,FALSE,FALSE
"92","aa2word","ee2word","a2",NA,NA,NA,0.166666666666667,0.0119047619047619,FALSE,FALSE
"93","uuuu4word","eee3word","u4",NA,NA,NA,0.142857142857143,0.00840336134453781,FALSE,FALSE
"94","eeee4word","eeee4word","e4",NA,"e4","e4",0.2,0.0111111111111111,TRUE,TRUE
"95","u1word","eeeee5word","u1",NA,NA,NA,0.142857142857143,0.00892857142857143,FALSE,FALSE
"96","aaa3word","a1word","a3",NA,NA,NA,0.166666666666667,0.0119047619047619,FALSE,FALSE
"97","ee2word","aa2word","e2",NA,NA,NA,0.166666666666667,0.0119047619047619,FALSE,FALSE
"98","eee3word","aaa3word","e3",NA,NA,NA,0.166666666666667,0.0104166666666667,FALSE,FALSE
"99","aa2word","aaaa4word","a2",NA,"a2",NA,0.166666666666667,0.0104166666666667,FALSE,TRUE
"100","uuuu4word","aaaaa5word","u4",NA,NA,NA,0.142857142857143,0.0075187969924812,FALSE,FALSE
"101","eeee4word","u1word","e4",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"102","u1word","uu2word","u1",NA,"u1",NA,0.166666666666667,0.0128205128205128,FALSE,TRUE
"103","aaa3word","uuu3word","a3",NA,NA,NA,0.166666666666667,0.0104166666666667,FALSE,FALSE
"104","ee2word","uuuu4word","e2",NA,NA,NA,0.142857142857143,0.00892857142857143,FALSE,FALSE
"105","eee3word","uuuuu5word","e3",NA,NA,NA,0.142857142857143,0.00793650793650794,FALSE,FALSE
