<doc id="127.1.1">													
<text id="127.1.1">													
<s id="1">													
Ja	1	1	Ja, ist es.	1	Ja	PROPN	PTKANT		4	nsubj		SpaceAfter=No	pid:1.127.1.1.
solche	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	8	solch	PRON	ADJD		9	det			pid:2.127.1.1.
Szenen	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	9	Szene	NOUN	NN	Case=Nom|Gender=Fem|Number=Plur	11	nsubj			pid:2.127.1.1.
regelmäßig	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	10	regelmäßig	ADJ	ADJD		11	advmod			pid:2.127.1.1.
vorkommen	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	11	vorkommen	VERB	NN	Case=Acc|Gender=Neut|Number=Sing	2	ccomp			pid:2.127.1.1.
und	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	12	und	CCONJ	NN	Case=Acc|Gender=Neut|Number=Plur	16	cc			pid:2.127.1.1.
scheinbar	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	13	scheinbar	ADV	FM	Foreign=Yes	16	advmod			pid:2.127.1.1.
keine	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	14	kein	PRON	PIAT	Case=Acc|Definite=Ind|Gender=Fem|Number=Plur|Polarity=Neg|PronType=Neg	15	nmod			pid:2.127.1.1.
Konsequenzen	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	15	Konsequenz	NOUN	NN	Case=Acc|Gender=Fem|Number=Plur	16	obj			pid:2.127.1.1.
folgen	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	16	folgen	VERB	VVINF	VerbForm=Inf	11	conj		SpaceAfter=No	pid:2.127.1.1.
,	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	17	,	PUNCT	$,		22	punct			pid:2.127.1.1.
weil	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	18	weil	SCONJ	KOUS		22	mark			pid:2.127.1.1.
es	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	19	es	PRON	PPER	Case=Nom|Gender=Neut|Number=Sing|Person=3|PronType=Prs	22	nsubj			pid:2.127.1.1.
immer	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	20	immer	ADV	ADV		21	advmod			pid:2.127.1.1.
wieder	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	21	wieder	ADV	NN	Case=Acc|Gender=Neut|Number=Plur	22	advmod			pid:2.127.1.1.
passiert	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	22	passieren	VERB	VVPP	VerbForm=Part	2	advcl		SpaceAfter=No	pid:2.127.1.1.
.	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	23	.	PUNCT	$.		2	punct		SpacesAfter=\s\n\n	pid:2.127.1.1.
</s>													
<s id="3">													
Hier	2	3	Hier ein paar Beispiele die ich in zwei Minuten gefunden habe.	1	hier	ADV	ADV		4	advmod			pid:3.127.1.1.
ein	2	3	Hier ein paar Beispiele die ich in zwei Minuten gefunden habe.	2	ein	DET	ART	Case=Nom|Definite=Ind|Gender=Neut|Number=Sing|PronType=Art	4	det			pid:3.127.1.1.
paar	2	3	Hier ein paar Beispiele die ich in zwei Minuten gefunden habe.	3	paar	PRON	PIAT	Definite=Ind|PronType=Ind	4	det			pid:3.127.1.1.
Beispiele	2	3	Hier ein paar Beispiele die ich in zwei Minuten gefunden habe.	4	Beispiel	NOUN	NN	Case=Nom|Gender=Neut|Number=Plur	0	root			pid:3.127.1.1.
die	2	3	Hier ein paar Beispiele die ich in zwei Minuten gefunden habe.	5	der	PRON	PDS	Case=Nom|Number=Plur|PronType=Dem	10	obj			pid:3.127.1.1.
ich	2	3	Hier ein paar Beispiele die ich in zwei Minuten gefunden habe.	6	ich	PRON	PPER	Case=Nom|Number=Sing|Person=1|PronType=Prs	10	nsubj			pid:3.127.1.1.
in	2	3	Hier ein paar Beispiele die ich in zwei Minuten gefunden habe.	7	in	ADP	APPR		9	case			pid:3.127.1.1.
zwei	2	3	Hier ein paar Beispiele die ich in zwei Minuten gefunden habe.	8	zwei	NUM	NN	Case=Dat|Gender=Neut|Number=Sing	9	nummod			pid:3.127.1.1.
Minuten	2	3	Hier ein paar Beispiele die ich in zwei Minuten gefunden habe.	9	Minute	NOUN	NN	Case=Dat|Gender=Fem|Number=Plur	10	obl			pid:3.127.1.1.
gefunden	2	3	Hier ein paar Beispiele die ich in zwei Minuten gefunden habe.	10	finden	VERB	VVPP	VerbForm=Part	4	acl			pid:3.127.1.1.
habe	2	3	Hier ein paar Beispiele die ich in zwei Minuten gefunden habe.	11	haben	AUX	VAFIN	Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	10	aux		SpaceAfter=No	pid:3.127.1.1.
.	2	3	Hier ein paar Beispiele die ich in zwei Minuten gefunden habe.	12	.	PUNCT	$.		4	punct		SpacesAfter=\n\n	pid:3.127.1.1.
</s>													
<s id="4">													
https://www.morgenpost.de/berlin/article241750838/Bewaffnete-Polizisten-bewachen-Urban-Krankenhaus.html	3	4	https://www.morgenpost.de/berlin/article241750838/Bewaffnete-Polizisten-bewachen-Urban-Krankenhaus.html https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1400728.php https://www.tagesspiegel.de/berlin/diebstahl-gewalt-sachbeschadigung-berliner-polizei-ruckte-11300-mal-im-jahr-zu-kliniken-aus-10519615.html	1	https://www.morgenpost.de/berlin/article241750838/Bewaffnete-Polizisten-bewachen-Urban-Krankenhaus.html	ADV	NE	Case=Nom|Gender=Masc|Number=Sing	2	advmod		SpacesAfter=\n\n	pid:4.127.1.1.
https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1400728.php	3	4	https://www.morgenpost.de/berlin/article241750838/Bewaffnete-Polizisten-bewachen-Urban-Krankenhaus.html https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1400728.php https://www.tagesspiegel.de/berlin/diebstahl-gewalt-sachbeschadigung-berliner-polizei-ruckte-11300-mal-im-jahr-zu-kliniken-aus-10519615.html	2	https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1400728.php	ADV	NE	Case=Nom|Gender=Masc|Number=Sing	3	advmod		SpacesAfter=\n\n	pid:4.127.1.1.
https://www.tagesspiegel.de/berlin/diebstahl-gewalt-sachbeschadigung-berliner-polizei-ruckte-11300-mal-im-jahr-zu-kliniken-aus-10519615.html	3	4	https://www.morgenpost.de/berlin/article241750838/Bewaffnete-Polizisten-bewachen-Urban-Krankenhaus.html https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1400728.php https://www.tagesspiegel.de/berlin/diebstahl-gewalt-sachbeschadigung-berliner-polizei-ruckte-11300-mal-im-jahr-zu-kliniken-aus-10519615.html	3	https://www.tagesspiegel.de/berlin/diebstahl-gewalt-sachbeschadigung-berliner-polizei-ruckte-11300-mal-im-jahr-zu-kliniken-aus-10519615.html	ADJ	NE	Case=Nom|Gender=Masc|Number=Sing	0	root		SpacesAfter=\n	pid:4.127.1.1.
</s>													
</text>													
</doc>													
