"","Corpus","Token_ID","Year","Period","Adjective","Noun","Category","category.modified","KWIC","cat.ai"
"35","COHA-S",162218465,1953,"PER_C","stinking","story","","AC","ut also I 've heard pretty [[stinking stories]] made up . Well , if the wo","AC"
"36","COHA-S",163916628,1954,"PER_C","stinking","guardhouse","","B&UE","street Jail or mebbe in some [[stinking guardhouse]] . '' Coughing , spitting and c","B&UE"
"37","COHA-S",166192219,1955,"PER_C","stinking","shack","","B&UE","er a step into walls , a [[stinking shack]] , and told to remove her","B&UE"
"38","COHA-S",452459504,1956,"PER_C","stinking","creek","","EA","ral sharpshooters from [[Stinking Creek]] and Knox County . The record","EA"
"39","COHA-S",319724996,1957,"PER_C","stinking","affair","","AC","shed its hands . . . This [[stinking affair]] has disgusted tens of million","AC"
"40","COHA-S",170448501,1959,"PER_C","stinking","summerson","","","Methodist church and the [[stinking summerson]] the back porch with root","AC"
"41","COHA-S",172579927,1960,"PER_C","smelly","carcass","","BO","shoot lizards and hang their [[smelly carcasses]] over my desk as Clem did .","BO"
"42","COHA-S",174439466,1961,"PER_C","stinking","jail","","B&UE","was to get out of that [[stinking jail]] . I tried to keep the conversa","B&UE"
"43","COHA-S",177144727,1963,"PER_C","stinking","chopping-block","","","ng , standing behind his [[stinking choppingblock]] , wearing his black-rimmed",NA
"44","COHA-S",324168621,1963,"PER_C","stinking","water","EA","MA","was also farthest from the [[stinking bilge water]] that swirled in the ship 's","MA"
"45","COHA-S",324685364,1964,"PER_C","stinking","badge","","","soon reading about the '' [[stinking badge]] '' in papers on the French","AC"
"46","COHA-S",325823037,1965,"PER_C","stinking","run","","","of the park , the only [[stinking run]] they got all year off me","B&UE"
"47","COHA-S",455865243,1966,"PER_C","malodorous","history","","AC","of parlement . He knew the [[malodorous history]] of the tax farm , * since","AC"
"48","COHA-S",181338033,1966,"PER_C","stinking","rock","","EA","e , lad . An ' all this [[stinking rock]] . '' Brock drained his glass","EA"
"49","COHA-S",183941867,1968,"PER_C","stinking","ward","","B&UE","ok after him . And in that [[stinking ward]] they met the screwball fro","B&UE"
"50","COHA-S",184642473,1969,"PER_C","smelly","body","BO","","dy gray , a slovenly , [[smelly body]] , a very shiny , hard-lookiin","BO"
"51","COHA-S",185344347,1969,"PER_C","stinking","wife","","","DO N'T WANT TO MEET YOUR [[STINKING TWIN WIVES]] . POWIE ( Lifts something","AC"
"52","COHA-S",328468226,1970,"PER_C","smelly","room","","B&UE","ith every vestige of the [[smelly locker rooms]] of his youth . He walks or/","B&UE"
"53","COHA-S",188341570,1971,"PER_C","smelly","--","","","ing rolled into a coarse , [[smelly rug --]] over and over -- and then","AC"
"54","COHA-S",190375072,1973,"PER_C","smelly","drain","","MA","k , on the lip of its [[smelly monsoon drain]] , at the beck and call of","MA"
"55","COHA-S",192784743,1975,"PER_C","stinking","water","","MA","this good air and this [[stinking water]] but that mountainp167track that","MA"
"56","COHA-S",193287325,1975,"PER_C","stinking","congress","","","h indoors . It was a great [[stinking congress garlickedand]] perfumed in its own perspiratio","B&UE"
"57","COHA-S",195229580,1976,"PER_C","stinking","life","","","el Welch just to save your [[stinking life]] , she thought bitterly . Bu","AC"
"58","COHA-S",196762287,1977,"PER_C","foul-smelling","shelter","","","utsk . They were miserable , [[foul-smelling shelters]] built by the Czars at interva","B&UE"
"59","COHA-S",198049602,1978,"PER_C","stinking","buckshot","","","tric white men through this [[stinking buckshot]] and gumbo shithole that tr","AC"
"60","COHA-S",199010351,1979,"PER_C","stinking","bed","","","come to an end . And the [[stinking beds]] in rundown rooming houses in","B&UE"
"61","COHA-S",200188783,1980,"PER_D","stinking","police","","","hole operation until the [[stinking police]] came to find out who 's tr","AC"
"62","COHA-S",202091184,1981,"PER_D","foul-smelling","bird","","AN","ut I am not . Off and away [[foul-smelling birds]] , bear Macha 's anger down","AN"
"63","COHA-S",204035826,1982,"PER_D","stinking","pelt","","","till clung to him like a [[stinking pelt]] , and his heart went on raci","B&UE"
"64","COHA-S",204370087,1983,"PER_D","stinking","hole","","","_omission> @ [[the]] stinking hole","EA"
"65","COHA-S",338115917,1984,"PER_D","smelly","cheese","F&D","","residential blocks . [[Smelly French cheeses]] , bottled water , fresh ve","F&D"
"66","COHA-S",393502727,1985,"PER_D","stinking","hellhole","","","adviser . He is forced into a [[stinking hellhole]] and later @ @","B&UE"
"67","COHA-S",339893135,1986,"PER_D","stinking","corpse","","BO","neil Kinnock ! '' '' Bury the [[Stinking Corpse]] of Social Democracy , '' ''/","BO"
"68","COHA-S",211950929,1988,"PER_D","smelly","crawler","","","annah Chartreuse Shiners and [[Smelly Night Crawlers]] . ( SHE WALKS TO ELI . ) Q","AC"
"69","COHA-S",341183178,1988,"PER_D","stinking","mob","","","e base requirements of the [[stinking mob]] . Not that he was regal ;","AC"
"70","COHA-S",341491234,1989,"PER_D","smelly","farm","","","smelly cow barns and even [[smellier pig farms]] to dispense tips about raisi","B&UE"
"71","COHA-S",216045876,1992,"PER_D","smelly","metal","MA","","when I took the lid off the [[smelly metal]] can , I saw two beer bottles/","MA"
"72","COHA-S",216658485,1993,"PER_D","smelly","animal","","AN","thority had identified as the [[smelliest animal]] in the world . She was at","AN"
"73","COHA-S",219107085,1993,"PER_D","smelly","foot","BO","","tool ? No ? A bad attack of [[smelly feet]] ? No ? You woke up and foun","BO"
"74","COHA-S",221123248,1994,"PER_D","smelly","hat","T&C","","ke was never without his [[smelly top hat]] and on the windiest days mana","T&C"
"75","COHA-S",222855836,1995,"PER_D","smelly","guy","","","en writhing underneath some [[smelly hippie guy]] -- Margy would avert her","AC"
"76","COHA-S",223826509,1996,"PER_D","foul-smelling","sludge","","","n 's shores and emptied the [[foul-smelling sludge]] from its rum distillery in","B&UE"
"77","COHA-S",466235016,1996,"PER_D","stinking","snake","","AN","itch of Court , a common [[stinking snake]] ' 80 Swetnam 's work played","AN"
"78","COHA-S",466757290,1997,"PER_D","stinking","sweat","BO","","ils , all amassed by the [[stinking sweat]] of one 's soul , in order","BO"
"79","COHA-S",349049893,1998,"PER_D","foul-smelling","substance","","","nd are known to secrete a [[foul-smelling substance]] like skunks do . As for han","AC"
"80","COHA-S",350216794,1999,"PER_D","malodorous","mouth","SE","","under the covers with a [[malodorous mouth]] . '' Fast fix : Keep a glass/","SE"
"81","COHA-S",228729444,1999,"PER_D","smelly","raincoat","T&C","","apped in one of those old [[smelly raincoats]] where the rubber 's dried","T&C"
"82","COHA-S",231543931,2000,"PER_D","stinking","darksider","","","fter another , past huge [[stinking Darksiders]] armed with impact weapons ,",NA
"83","COHA-S",233201586,2001,"PER_D","foul-smelling","pile","","MA","sintegrate , turning to a [[foul-smelling pile]] of dust that the night wind","MA"
"84","COHA-S",234814627,2002,"PER_D","malodorous","closet","T&C","","You go to the toilet , a [[malodorous closet]] built of gypsum board . In","T&C"
"85","COHA-S",236558585,2003,"PER_D","smelly","activity","","","able , oblivious to all the [[smelly sexual activity]] that surrounded it @","AC"
"86","COHA-S",237628041,2004,"PER_D","stinking","canal","EA","","ay along the ledge , green [[stinking canal]] on one hand , rocky outcrop","EA"
"87","COHA-S",402544138,2004,"PER_D","stinking","piece","","",", ' ' we do n't kneed no [[stinking piece]] of paper , ' ' strutted up","AC"
"88","COHA-S",240658273,2005,"PER_D","malodorous","vapor","MA","","vats , releasing a wisp of [[malodorous vapor]] . As the cage door opened","MA"
"89","COHA-S",469930267,2005,"PER_D","smelly","day","","AC","an the outhouses was the [[smelliest day]] you could imagine . We 'd","AC"
"90","COHA-S",243203406,2006,"PER_D","smelly","interior","","B&UE","ke up and see the grubby , [[smelly interior]] of the Venus Wanderer . In","B&UE"
"91","COHA-S",243849416,2007,"PER_D","stinking","alley","","B&UE","d , she lay propped up in a [[stinking alley]] , made filthier with stagnant","B&UE"
"92","COHA-S",246519092,2009,"PER_D","stinking","cesspool","","","he sooner I 'm out of this [[stinking cesspool]] , thought Lecha Abdalayev","B&UE"
