Farbe,Dokumentgruppe,Dokumentname,Code,Anfang,Ende,Gewicht,Segment,Bearbeitet von,Bearbeitet am,Erstellt von,Erstellt am,Memos,Kommentar,Fläche,Abdeckungsgrad %,Weitere am Segment vergebene Codes
●,,14-wolf-falsche-freunde,idiom > AI: idiom_gr (14-wolf-falsche-freunde),12,12,0,"vor lauter ferne verging uns das sehen, dann setzte auch das hören aus.",guhl,21.01.25 07:52,guhl,21.01.25 07:52:48, ,"AI: Diese Formulierung erinnert an die deutsche Redewendung ""vor lauter Bäumen den Wald nicht sehen"" und wird hier idiomatisch abgewandelt.",72,0.43,
●,,14-wolf-falsche-freunde,idiom > idiom_en > AI: idiom_en (14-wolf-falsche-freunde),12,12,0,by heart,guhl,21.01.25 07:59,guhl,21.01.25 07:59:47, ,"AI: Dies ist ein englisches Idiom, das bedeutet, etwas auswendig zu können. Es ist eine häufig verwendete Redewendung im Englischen.",8,0.05,
●,,14-wolf-falsche-freunde,idiom > idiom_en > AI: idiom_en (14-wolf-falsche-freunde),13,13,0,"had 
no qualms",guhl,21.01.25 07:59,guhl,21.01.25 07:59:47, ,"AI: Dies ist eine englische Redewendung, die bedeutet, keine Bedenken oder Zweifel zu haben. Sie ist ein typischer Ausdruck des englischen Sprachgebrauchs.",14,0.08,
●,,14-wolf-falsche-freunde,idiom > AI: idiom_gr (14-wolf-falsche-freunde),14,14,0,"damit sich keiner auf den schlips getreten fühlt, den er noch binden muss.",guhl,21.01.25 07:52,guhl,21.01.25 07:52:48, ,"AI: Dies ist eine Kombination aus zwei idiomatischen Ausdrücken: ""jemandem auf den Schlips treten"" (jemanden beleidigen oder verärgern) und ""sich den Schlips binden"" (sich für etwas Formelles vorbereiten). Die Verbindung dieser beiden Redewendungen erzeugt eine kreative idiomatische Wendung.",75,0.44,
●,,14-wolf-falsche-freunde,idiom > AI: idiom_gr (14-wolf-falsche-freunde),14,14,0,den ton angeben,guhl,21.01.25 07:52,guhl,21.01.25 07:52:48, ,"AI: Dies ist eine bekannte deutsche Redewendung, die bedeutet, bestimmend oder tonangebend zu sein. Sie wird hier im übertragenen Sinne verwendet.",16,0.09,
●,,14-wolf-falsche-freunde,idiom > idiom_en > AI: idiom_en (14-wolf-falsche-freunde),15,15,0,"ornament is not a vase although it comes 
on one",guhl,21.01.25 07:59,guhl,21.01.25 07:59:47, ,"AI: Dies ist ein englisches Idiom, das bildlich ausdrückt, dass etwas nicht immer das ist, was es zu sein scheint. Es entspricht der Definition, da es eine feste Redewendung des englischen Sprachgebrauchs ist.",48,0.28,
●,,14-wolf-falsche-freunde,idiom > idiom_en > AI: idiom_en (14-wolf-falsche-freunde),15,15,0,"word is some people come in what they think must be a vase, for they deflower it",guhl,21.01.25 07:59,guhl,21.01.25 07:59:47, ,"AI: Diese Phrase enthält eine idiomatische Verwendung von ""deflower"", was hier metaphorisch gebraucht wird. Es ist eine kreative Anwendung englischer Redewendungen und passt daher zur Codedefinition.",81,0.48,
●,,14-wolf-falsche-freunde,idiom > AI: idiom_gr (14-wolf-falsche-freunde),16,16,0,kein x vormachen lassen für eine unzeit;,guhl,21.01.25 07:52,guhl,21.01.25 07:52:48, ,"AI: Dies ist eine Abwandlung der Redewendung ""jemandem ein X für ein U vormachen"" (jemanden täuschen). Hier wird die Redewendung kreativ verändert und mit dem Konzept der ""Unzeit"" verbunden.",40,0.24,
●,,14-wolf-falsche-freunde,idiom > idiom_en > AI: idiom_en (14-wolf-falsche-freunde),16,16,0,x out,guhl,21.01.25 07:59,guhl,21.01.25 07:59:47, ,"AI: Dies ist ein englischer Ausdruck, der ""ausstreichen"" oder ""eliminieren"" bedeutet. Es ist ein typisches Beispiel für ein englisches Idiom und entspricht somit der Codedefinition.",5,0.03,
●,,14-wolf-falsche-freunde,idiom > AI: idiom_gr (14-wolf-falsche-freunde),17,17,0,im brustton bezeugen.,guhl,21.01.25 07:52,guhl,21.01.25 07:52:48, ,"AI: Dies ist ein Teil der Redewendung ""im Brustton der Überzeugung"", die bedeutet, etwas mit großer Überzeugung oder Nachdruck zu sagen oder zu behaupten.",22,0.13,
●,,14-wolf-falsche-freunde,idiom > AI: idiom_gr (14-wolf-falsche-freunde),17,17,0,"scheue also, wenn man dich nach liebesdingen fragt, nicht den einen, das ganze gastmahl verstimmenden schluckauf.",guhl,21.01.25 07:52,guhl,21.01.25 07:52:48, ,"AI: Hier wird auf die Redewendung ""den Schluckauf haben"" angespielt, die oft metaphorisch für eine Störung oder Unterbrechung verwendet wird. Die Verbindung mit dem ""Gastmahl"" und der Idee, dass ein einzelner Schluckauf das ganze Mahl verstimmen könnte, ist eine kreative Erweiterung des idiomatischen Ausdrucks.",114,0.68,
●,,14-wolf-falsche-freunde,idiom > idiom_en > AI: idiom_en (14-wolf-falsche-freunde),17,17,0,called the whole thing off,guhl,21.01.25 07:59,guhl,21.01.25 07:59:47, ,"AI: Diese Phrase ist Teil des bekannten englischen Idioms ""to call the whole thing off"", was bedeutet, etwas abzusagen oder zu beenden. Es ist eine klassische englische Redewendung und erfüllt damit die Kriterien der Codedefinition.",26,0.15,
●,,14-wolf-falsche-freunde,idiom > idiom_en > AI: idiom_en (14-wolf-falsche-freunde),18,18,0,you are here,guhl,21.01.25 07:59,guhl,21.01.25 07:59:47, ,"AI: Obwohl dies eine einfache Phrase ist, wird sie oft idiomatisch auf Karten oder in Orientierungssystemen verwendet. In diesem Kontext kann sie als typischer englischer Ausdruck betrachtet werden und passt daher zur Codedefinition.",12,0.07,
●,,14-wolf-falsche-freunde,idiom > idiom_en > AI: idiom_en (14-wolf-falsche-freunde),18,18,0,almost true friends,guhl,21.01.25 07:59,guhl,21.01.25 07:59:47, ,"AI: Diese Phrase spielt auf das Konzept der ""false friends"" (falsche Freunde) in der Linguistik an. Es ist eine kreative Abwandlung eines bekannten englischen Ausdrucks und kann daher als idiomatisch betrachtet werden, was der Codedefinition entspricht.",19,0.11,
