"","date","docname","from","to","pre","keyword","post","pattern"
"12","2013-04-25","zo_1192476.xhtml",185,185,", die so menschlich-sympathisch-ahnungslos wirkten . Sie waren doch die Vertreter für jene , die genug hatten von den » alten Parteien « und » eine Alternative « wollen . Doch nun , mit der","AfD","im Nacken , müssen sie sich fragen : Wer ist hier alt ? Und wer die Alternative ? Auch wenn die Piraten es nicht gern hören : Sie haben mit der AfD einiges gemeinsam .","AfD|AFD"
"13","2013-04-25","zo_1192476.xhtml",217,217,", mit der AfD im Nacken , müssen sie sich fragen : Wer ist hier alt ? Und wer die Alternative ? Auch wenn die Piraten es nicht gern hören : Sie haben mit der","AfD","einiges gemeinsam . Bei beiden gehts nicht darum , wofür sie sind , sondern , wogegen . Beide hatten am Anfang nur ein Thema . Beide haben ein Frauenproblem . Und beide laden zwar alle","AfD|AFD"
"14","2013-04-25","zo_1192476.xhtml",312,312,"versucht , den Unterschied zwischen beiden Parteien mit einer Pressemitteilung klarzumachen . Erst lobte er die » Anregung des politischen Wettbewerbs « , dann attackierte er den politischen Rivalen : » Die aktuellen Vorschläge der","AfD","sind zumeist alter Wein in neuen Schläuchen : einfallslos , kleinkariert und wenig zukunftsweisend . Deshalb bleiben allein die Piraten eine politische Alternative im Bundestag . « Es war eine Pressemitteilung , wie sie auch","AfD|AFD"
"15","2013-04-25","zo_1192476.xhtml",385,385,"Partei verfasst haben könnte . Einfallslos und wenig zukunftsweisend . Wie so oft bei den Piraten sind nicht die Wähler das Hauptproblem , sondern die Mitglieder . Mehr als 120 Piraten haben nach Angaben der","AfD","schon rübergemacht . Es gab bis vor Kurzem sogar ein Doppelmitglied : Obwohl die Piraten solchen Dualismus aus piratig-progressiv-postmodernen Gründen eigentlich erlauben , wurde der auf Twitter fertiggemacht . Der Vorwurf : Mit rechten Populisten","AfD|AFD"
"16","2013-05-02","zo_1194286.xhtml",75,75,"rechten Lager vorbehalten . Oskar Lafontaine hat mit dieser Tradition jetzt gebrochen . Der Saarländer will auf einmal auch die Währungsunion auflösen - und bedient sich argumentativ bei den Euro-Rebellen der Alternative für Deutschland (","AfD",") . Der Kurswechsel lässt sich inhaltlich darauf zurückführen , dass es der Linken bislang nicht gelungen ist , ein glaubwürdiges und zustimmungsfähiges Konzept zur Rettung der gemeinsamen Währung zu entwickeln , das ohne Lohnzurückhaltung","AfD|AFD"
"17","2013-05-08","zo_1196576.xhtml",377,377,"Projekt . ZEIT : Ganz ähnlich wie Sie argumentiert die neue Anti-Euro-Partei » Alternative für Deutschland « . Irritiert Sie die Nähe zwischen Rechten und Linken ? Wagenknecht : Es gibt keine Nähe . Die","AfD","vertritt in den meisten Fragen das Gegenteil von uns . Sie hat kein Problem mit Niedriglöhnen oder Armut im Alter . Sie will niedrigere Steuern für Millionäre . Ein AfD-Sprecher möchte Rentnern und Arbeitslosen das","AfD|AFD"
"18","2013-05-08","zo_1196576.xhtml",407,407,"gibt keine Nähe . Die AfD vertritt in den meisten Fragen das Gegenteil von uns . Sie hat kein Problem mit Niedriglöhnen oder Armut im Alter . Sie will niedrigere Steuern für Millionäre . Ein","AfD-Sprecher","möchte Rentnern und Arbeitslosen das Wahlrecht entziehen . Diese Positionen haben mit unseren nichts zu tun . ZEIT : Wie erklären Sie sich dann den Zulauf zur neuen Partei aus Ihren Reihen ? Wagenknecht :","AfD|AFD"
"19","2013-05-08","zo_1196576.xhtml",456,456,"nichts zu tun . ZEIT : Wie erklären Sie sich dann den Zulauf zur neuen Partei aus Ihren Reihen ? Wagenknecht : Es mag Einzelne geben , die sich davon blenden lassen , dass die","AfD","in ihrer Euro-Politik einiges bei uns abgeschrieben hat . Aber wegen ihrer antisozialen und antidemokratischen Positionen ist sie für Menschen aus unserem Potenzial eigentlich unwählbar . Viele AfD-Parteigründer lobbyieren seit Jahren für Lohnsenkungen . Bernd","AfD|AFD"
"20","2013-05-08","zo_1196576.xhtml",484,484,"sich davon blenden lassen , dass die AfD in ihrer Euro-Politik einiges bei uns abgeschrieben hat . Aber wegen ihrer antisozialen und antidemokratischen Positionen ist sie für Menschen aus unserem Potenzial eigentlich unwählbar . Viele","AfD-Parteigründer","lobbyieren seit Jahren für Lohnsenkungen . Bernd Lucke etwa hat 2005 den Aufruf der deutschen Ökonomen zu mehr Lohnzurückhaltung im Land unterschrieben . Diese Leute haben zur Entstehung der Ungleichgewichte , die heute den Euro","AfD|AFD"
"21","2013-06-06","zo_1202466.xhtml",994,994,"die neuen keine Überzeugungskraft mehr . Sie wirken opportunistisch oder willkürlich . So denken inzwischen nicht mehr nur die sogenannten Konservativen in der Partei . Höchstens ein paar Prozentpunkte werde die Alternative für Deutschand (","AfD",") bekommen , versucht man das Phänomen der neuen bürgerlichen Protestpartei kleinzureden . Doch die zwei Prozent könnten nicht nur die entscheidenden Pünktchen sein , die fehlen . Wichtiger noch : Die AfD ist ein","AfD|AFD"
"22","2013-06-06","zo_1202466.xhtml",1027,1027,"Deutschand ( AfD ) bekommen , versucht man das Phänomen der neuen bürgerlichen Protestpartei kleinzureden . Doch die zwei Prozent könnten nicht nur die entscheidenden Pünktchen sein , die fehlen . Wichtiger noch : Die","AfD","ist ein Seismograf der konservativen Entmutigung . Programmatisch wirkt die CDU nach der achtjährigen Kanzlerschaft Merkels wie ausgezehrt In der Debatte über die Gleichstellung homosexueller Partnerschaften ließ sich die CDU abwechselnd vom Bundesverfassungsgericht und dem","AfD|AFD"
"23","2013-07-18","zo_1211484.xhtml",184,184,"über seinen Mandanten George Zimmerman , der Trayvon Martin erschossen hatte und jetzt freigesprochen wurde » Das ist , als ob meine dreijährige Tochter in den See pinkelt . « Stephan Boyens , Bundestagskandidat der","AfD",", über die Folgen eines erhöhten CO2-Ausstoßes nächster Artikel : Roland Pofalla Wo ist der Chef des Kanzleramts ? Immer bei Merkel [ zur Übersicht Politik ] [ zum Ressort Dossier ] [ zur Ressort-Übersicht","AfD|AFD"
"24","2013-08-08","zo_1216014.xhtml",366,366,"Müntefering 2005 erklärte , man könne Parteien doch nicht an ihren Programmen messen , erntete er noch einen kleinen Empörungssturm . In Zeiten neu entstandener Kleinparteien wie der Piraten oder der Alternative für Deutschland (","AfD",") und einer anhaltenden Finanzkrise ist Münteferings Satz von einer Provokation zur Binsenweisheit geworden . Von den großen Projekten , die die schwarz-gelbe Koalition beschlossen hat , stand keins im Koalitionsvertrag . Die Kanzlerin scheint","AfD|AFD"
"25","2013-08-08","zo_1216328.xhtml",365,365,"die folgenden Werte : CDU / CSU 40,7 Prozent , SPD 24,6 Prozent , die Grünen 13,2 Prozent , die Linke 7,6 Prozent und FDP 5,0 Prozent . Piraten ( 1,9 Prozent ) und die","AfD","( 0,7 Prozent ) müssten demnach draußen bleiben . Natürlich enthalten schon diese Werte Fehler ( etwa den , dass viele Menschen nicht zugeben , die FDP wählen zu wollen ) . Außerdem können die","AfD|AFD"
"26","2013-08-29","zo_politik.xhtml",175,175,"Hundefleisch als Delikatesse und Potenzmittel VON ANGELA KÖCKRITZ ( 787 Wörter ) Mails aus aller Welt Diese Woche aus Osnabrück , Achiltibuie und Rio de Janeiro VON : KHUE.PHAM@ZEIT . DE ( 663 Wörter )","AfD","Wird sich die Anti-Euro-Partei nach rechts öffnen ? VON CATERINA LOBENSTEIN ( 1121 Wörter ) Vor dem Fernsehduell Wie Peer Steinbrück die Wende schaffen will VON PETER DAUSEND ( 2020 Wörter ) Vor dem Fernsehduell","AfD|AFD"
"27","2013-08-29","zo_1221375.xhtml",800,800,"Ordnungswidrigkeiten . Vinícius Roriz , der Chef der Müllabfuhr , bringt es ganz reizend auf den Punkt : » Dann haben Sie für den Rest des Lebens einen schmutzigen Namen . « nächster Artikel :","AfD","Wird sich die Anti-Euro-Partei nach rechts öffnen ? [ zur Übersicht Politik ] [ zum Ressort Dossier ] [ zur Ressort-Übersicht ]","AfD|AFD"
"28","2013-08-29","zo_1221410.xhtml",34,34,"[ nächster Artikel ] [ zur Übersicht Politik ] POLITIK DIE ZEIT N ° 36 / 13 » Ha , he , ho , der Euro ist k . o . « Die","AfD","klebt in den Umfragen bei drei Prozent , der Druck auf die konservative Mitte der Anti-Euro-Partei wächst : Wird sie sich jetzt nach rechts öffnen ? VON CATERINA LOBENSTEIN Die bislang größte Wahlkampfkundgebung der Alternative","AfD|AFD"
"29","2013-08-29","zo_1221410.xhtml",73,73,"Umfragen bei drei Prozent , der Druck auf die konservative Mitte der Anti-Euro-Partei wächst : Wird sie sich jetzt nach rechts öffnen ? VON CATERINA LOBENSTEIN Die bislang größte Wahlkampfkundgebung der Alternative für Deutschland (","AfD",") hat noch nicht einmal begonnen , da wird in den hinteren Reihen schon die Oder-Neiße-Linie verhandelt . » Aus Schlesien sind auch welche da ! « , ruft ein Mann , während der Demonstrationsleiter","AfD|AFD"
"30","2013-08-29","zo_1221410.xhtml",163,163,"stehen am Hamburger Hauptbahnhof . Sie schwenken blaue Fahnen , halten riesige Transparente hoch . » Wer heute den Euro rettet , pfändet morgen Ihr Konto « , steht darauf . Als Demowagen hat die","AfD","zwei historische Feuerwehrautos gemietet , sie sind mit dem Logo der Partei beklebt , einem nach oben geschwungenen roten Pfeil auf blauem Grund . » Eurowehr « steht über dem Kühler . Seit Wolfgang Schäuble","AfD|AFD"
"31","2013-08-29","zo_1221410.xhtml",237,237,"dass die Griechenland-Rettung die Deutschen noch einmal sehr viel Geld kosten könne , ist der Euro plötzlich wieder ein Wahlkampfthema . Der Finanzminister von der CDU steht als Verharmloser da . Und die Euro-Kritiker der","AfD","könnten davon profitieren - theoretisch jedenfalls . In den Umfragen allerdings klebt die Partei nach wie vor bei drei Prozent . Damit sich das ändert , schickt die AfD nun ihre Mitglieder auf die Straße","AfD|AFD"
"32","2013-08-29","zo_1221410.xhtml",266,266,"da . Und die Euro-Kritiker der AfD könnten davon profitieren - theoretisch jedenfalls . In den Umfragen allerdings klebt die Partei nach wie vor bei drei Prozent . Damit sich das ändert , schickt die","AfD","nun ihre Mitglieder auf die Straße , mit Plakaten , Flyern und Parolen . » Ha , he , ho , der Euro ist k . o . « , rufen die Demonstranten , als","AfD|AFD"
"33","2013-08-29","zo_1221410.xhtml",366,366,"Frustrierten und Empörten , von links und von rechts . Im Demozug laufen ehemalige FDP-Mitglieder neben Überläufern aus der Linkspartei , Nichtwähler neben enttäuschten Merkel-Fans . Einer der Demonstranten trägt nicht nur ein Banner der","AfD",", sondern auch ein T-Shirt von Thor Steinar , dem bekanntesten Modelabel der rechten Szene . » Scheißnazis ! « , brüllt eine Passantin , als die Menge den Jungfernstieg erreicht . » Wir sind","AfD|AFD"
"34","2013-08-29","zo_1221410.xhtml",424,424,"eine Passantin , als die Menge den Jungfernstieg erreicht . » Wir sind das Volk « , rufen die Demonstranten . » Nein , seid ihr nicht ! « , schimpft die Frau . Die","AfD","ist keine rechtsextreme Partei , sie hat eine stabile Mitte aus konservativen Bürgern und liberalen Euro-Skeptikern . Leute , die den Euro nicht mehr wollen , die Angst um ihre Rente haben und um die","AfD|AFD"
"35","2013-08-29","zo_1221410.xhtml",510,510,". Um halb sieben ist er aufgestanden , um pünktlich in Hamburg zu sein , er trägt ein blaues T-Shirt , die Farbe der Partei . Normalerweise klebt Henke an den Wochenenden Plakate für die","AfD",". Jetzt steht er in einer Hamburger Einkaufsstraße zwischen Hunderten von AfD-Anhängern und hält ein Pappschild in die Luft : » Geld für Schulen statt für Banken « hat er mit Filzstift draufgeschrieben . Doch","AfD|AFD"
"36","2013-08-29","zo_1221410.xhtml",522,522,"zu sein , er trägt ein blaues T-Shirt , die Farbe der Partei . Normalerweise klebt Henke an den Wochenenden Plakate für die AfD . Jetzt steht er in einer Hamburger Einkaufsstraße zwischen Hunderten von","AfD-Anhängern","und hält ein Pappschild in die Luft : » Geld für Schulen statt für Banken « hat er mit Filzstift draufgeschrieben . Doch an der Mitte , aus der Martin Henke kommt , wird von","AfD|AFD"
"37","2013-08-29","zo_1221410.xhtml",603,603,"links , sondern auch von oben und von unten . Die oben in der Führungsriege wollen salonfähig bleiben und durch sachliche Argumente überzeugen . Ihr Gesicht ist Bernd Lucke , der Wirtschaftsprofessor und Mitbegründer der","AfD",", der druckreif redet und mit jungenhaftem Gesicht von den Wahlplakaten lächelt . Die unten wollen um fast jeden Preis punkten - zur Not auch mit populistischen Ressentiments . In Nordhausen zum Beispiel , einer","AfD|AFD"
"38","2013-08-29","zo_1221410.xhtml",649,649,"Wahlplakaten lächelt . Die unten wollen um fast jeden Preis punkten - zur Not auch mit populistischen Ressentiments . In Nordhausen zum Beispiel , einer kleinen Stadt in Thüringen . Mitte August hält dort der","AfD-Politiker","Björn Höcke eine Wahlkampfrede . Höcke , 41 , ein großer , schlanker Mann , ist Kandidat auf der AfD-Landesliste in Thüringen , Listenplatz zwei . Er steht auf der Bühne der Friedenseiche , eines","AfD|AFD"
"39","2013-08-29","zo_1221410.xhtml",669,669,"Nordhausen zum Beispiel , einer kleinen Stadt in Thüringen . Mitte August hält dort der AfD-Politiker Björn Höcke eine Wahlkampfrede . Höcke , 41 , ein großer , schlanker Mann , ist Kandidat auf der","AfD-Landesliste","in Thüringen , Listenplatz zwei . Er steht auf der Bühne der Friedenseiche , eines rustikalen Gasthauses am Rande Nordhausens . Aus zwei großen Stereoboxen hallt seine Stimme durch den Saal , auf den Lautsprechern","AfD|AFD"
"40","2013-08-29","zo_1221410.xhtml",708,708,"Listenplatz zwei . Er steht auf der Bühne der Friedenseiche , eines rustikalen Gasthauses am Rande Nordhausens . Aus zwei großen Stereoboxen hallt seine Stimme durch den Saal , auf den Lautsprechern pappen Aufkleber der","AfD",". Vor ihm an den Tischen sitzen 15 Leute , die meisten von ihnen ältere Herren . Sie nippen an ihren Biergläsern und hören zu . Manchmal klatschen sie . Glaubt man Björn Höcke ,","AfD|AFD"
"41","2013-08-29","zo_1221410.xhtml",937,937,", warum die Einwanderungspolitik verschärft und der Euro abgeschafft werden müsse , warum man den » Altparteienpolitikern « und den » Marionetten in den Talkshows « keine Stimme geben dürfe . » Wir von der","AfD","wehren uns ja nicht gegen eine begrenzte Einwanderung aus kulturell verwandten Gebieten « , sagt Höcke . » Wir lieben die Vielfalt . Aber der Massenzuzug aus einem ganz fernen Kulturraum , der islamische ,","AfD|AFD"
"42","2013-08-29","zo_1221410.xhtml",1029,1029,"Es ist die NPD . Bei der letzten Landtagswahl in Thüringen kam sie auf mehr als vier Prozent . In Nordhausen sitzt sie im Kreistag und im Stadtrat . Damit sie keine Wähler an die","AfD","verliert , warnt die Thüringer NPD auf ihrer Homepage vor der neuen Partei : » Lassen Sie sich nicht alternativ veräppeln , vertrauen Sie dem ehrlichen Original - wählen Sie die NPD . « Die","AfD|AFD"
"43","2013-08-29","zo_1221410.xhtml",1176,1176,"an den Tisch . Er sagt : » Nach der Demokratie kommt die Tyrannis , das hat schon Aristoteles gewusst . Das ist eine Naturgesetzlichkeit . Aber vielleicht können wir Deutschland noch retten . Die","AfD","ist die letzte evolutionäre Möglichkeit für dieses Land . Es ist fünf vor zwölf . Danach gnade uns Gott . « Wenige Tage später wird der Parteisprecher Bernd Lucke auf einer Pressekonferenz in Potsdam sagen","AfD|AFD"
"44","2013-08-29","zo_1221410.xhtml",1217,1217,"für dieses Land . Es ist fünf vor zwölf . Danach gnade uns Gott . « Wenige Tage später wird der Parteisprecher Bernd Lucke auf einer Pressekonferenz in Potsdam sagen , es gebe in der","AfD","keine Populisten , auch keine Hinweise auf Berührungen mit dem rechten Rand . Dass manche seiner Parteigenossen T-Shirts einer Nazimarke tragen , findet Lucke unverdächtig . » Ich kannte Thor Steinar bis vor Kurzem nicht","AfD|AFD"
"45","2013-08-29","zo_1221410.xhtml",1304,1304,"eines Menschen auf seine Gesinnung schließen sollte . « Wenn Lucke erklärt , warum Deutschland den Euro nicht brauche , macht er das routiniert und eloquent . Wenn er erklären soll , wie sich die","AfD","vom rechten Rand fernhalten will , wirkt er ahnungslos . Der brandenburgische Verfassungsschutz bezeichnet das Modelabel Thor Steinar seit Langem als » szenetypisches Erkennungs- sowie Abgrenzungsmerkmal « unter Rechtsextremisten . Im Deutschen Bundestag jedenfalls haben","AfD|AFD"
"46","2013-08-29","zo_1221410.xhtml",1358,1358,"seit Langem als » szenetypisches Erkennungs- sowie Abgrenzungsmerkmal « unter Rechtsextremisten . Im Deutschen Bundestag jedenfalls haben Leute , die Thor Steinar tragen , Hausverbot . Weitere Informationen : Damit sie keine Wähler an die","AfD","verliert , warnt die Thüringer NPD auf ihrer Homepage vor der neuen Partei Fotos ( Ausschnitte ) : Kathrin Spirk für DIE ZEIT / www.kathrinspirk.de nächster Artikel : Vor dem Fernsehduell Wie Peer Steinbrück die","AfD|AFD"
"47","2013-08-29","zo_1221495.xhtml",1870,1870,"sagt er . Er hofft , zum Schluss seines Tages in den Hotlines , dass er bei den jungen , noch weniger etablierten Parteien mehr Glück haben wird : bei der Alternative für Deutschland (","AfD",") . Vor allem aber bei den Piraten . Im Wahlprogramm der AfD jedoch : kein Wort zu den neuen Ländern . In dem der Piraten : zwei Sätze . Beide Parteien erreicht Clemens ,","AfD|AFD"
"48","2013-08-29","zo_1221495.xhtml",1883,1883,", dass er bei den jungen , noch weniger etablierten Parteien mehr Glück haben wird : bei der Alternative für Deutschland ( AfD ) . Vor allem aber bei den Piraten . Im Wahlprogramm der","AfD","jedoch : kein Wort zu den neuen Ländern . In dem der Piraten : zwei Sätze . Beide Parteien erreicht Clemens , jeweils in einer ihrer Landesgeschäftsstellen . Bei den Piraten hebt , ganz basisdemokratisch","AfD|AFD"
"49","2013-08-29","zo_1221495.xhtml",2027,2027,"sich als » grenzenlose Bürgerbewegung « . Jeder Mensch sei gleichwertig , darin gehe » das Ost-West-Thema auf « . Was nun auch wieder auf einem Moderationskärtchen von Kai Pflaume stehen könnte . Bei der","AfD","geht eine freundliche Frau ans Telefon , die verspricht : » Ich leite Sie gleich mal an einen richtigen Politiker weiter . « Der richtige Politiker , ein Listenkandidat auf nicht gerade aussichtsreichem Posten ,","AfD|AFD"
"50","2013-08-29","zo_1221495.xhtml",2070,2070,"die verspricht : » Ich leite Sie gleich mal an einen richtigen Politiker weiter . « Der richtige Politiker , ein Listenkandidat auf nicht gerade aussichtsreichem Posten , sagt , gefragt nach den Konzepten der","AfD","für die neuen Länder : » Ich verstehe Ihre Frage nicht ganz . « AfD-Thema Nummer eins sei der Euro - und es treffe ja auch den Osten , wenn einmal die Währung zusammenbricht .","AfD|AFD"
"51","2013-08-29","zo_1221495.xhtml",2085,2085,"« Der richtige Politiker , ein Listenkandidat auf nicht gerade aussichtsreichem Posten , sagt , gefragt nach den Konzepten der AfD für die neuen Länder : » Ich verstehe Ihre Frage nicht ganz . «","AfD-Thema","Nummer eins sei der Euro - und es treffe ja auch den Osten , wenn einmal die Währung zusammenbricht . Dass Ostdeutsche mit Währungsumbrüchen Erfahrung haben , sagt Clemens . Stimmt , sagt der Mann","AfD|AFD"
"52","2013-08-29","zo_1221495.xhtml",2123,2123,"sei der Euro - und es treffe ja auch den Osten , wenn einmal die Währung zusammenbricht . Dass Ostdeutsche mit Währungsumbrüchen Erfahrung haben , sagt Clemens . Stimmt , sagt der Mann von der","AfD",". » Damals wurden Unmengen Subventionen verteilt , und man hat sofort die D-Mark eingeführt . Das führte dazu , dass in Ostdeutschland die Betriebe von heute auf morgen pleite gegangen sind . « Und","AfD|AFD"
"53","2013-09-12","zo_1224537.xhtml",318,318,"Finanzminister über ein neues Hilfsprogramm für Griechenland ? Was meint der SPD-Kandidat , wenn er einen » Marshallplan « für Südeuropa in Aussicht stellt ? Welche Chancen haben die Euro-Kritiker der Alternative für Deutschland (","AfD",") ? Europa schaut genau hin , aber es macht sich keine Illusionen . Dass die CDU in den Umfragen weit vorne liegt , hat sich natürlich auch außerhalb Deutschlands herumgesprochen . Fast unausweichlich scheint","AfD|AFD"
"54","2013-09-12","zo_1224586.xhtml",97,97,"um Merkel zu ärgern , ach was , sondern wegen Brüderles » bürgerlicher Werte-Orientierung « . Ich nehme an , das ist schwarzer Humor . Ein linker Freund hingegen wünscht der Alternative für Deutschland (","AfD",") den Einzug in den Bundestag . Dann reicht es wahrscheinlich nicht für die schwarz-gelbe Mehrheit , und die SPD kommt in die Große Koalition . Auch Jürgen Habermas wünscht der AfD alles Gute .","AfD|AFD"
"55","2013-09-12","zo_1224586.xhtml",129,129,"für Deutschland ( AfD ) den Einzug in den Bundestag . Dann reicht es wahrscheinlich nicht für die schwarz-gelbe Mehrheit , und die SPD kommt in die Große Koalition . Auch Jürgen Habermas wünscht der","AfD","alles Gute . Er hofft , ihr Erfolg werde die anderen Parteien zwingen , ihre » europapolitischen Tarnkappen « abzustreifen und sich endlich zum unvermeidlichen demokratischen postnationalen Super-Europa zu bekennen . Wow . Mir sind","AfD|AFD"
"56","2013-09-12","zo_1224586.xhtml",195,195,". Wow . Mir sind taktische Überlegungen nicht fremd . Aber wahrscheinlich muss man doch habilitierter Dialektiker sein , um an solche Wirkungen zu glauben . Bernd Lucke , Professor für Makroökonomie und Star der","AfD",", bietet sich dem Wechselwähler an . Eine Stimme für seine Partei sei nicht bloß verpuffender Protest . Man könne durchaus mit der Union koalieren , trotz deren Euro-Rettungskurs . Merkel sei schließlich schon so","AfD|AFD"
"57","2013-09-12","zo_1224586.xhtml",242,242,"Partei sei nicht bloß verpuffender Protest . Man könne durchaus mit der Union koalieren , trotz deren Euro-Rettungskurs . Merkel sei schließlich schon so oft umgefallen , warum demnächst nicht auch beim Euro ? Die","AfD","kann man also wählen , um Merkel zu verhindern oder um sie zu verwandeln , je nach Gusto ? Ich glaube , das nennt man in der Psychoanalyse Projektion . Will ich » die Blauen","AfD|AFD"
"58","2013-09-19","zo_politik.xhtml",109,109,"Gebrauchsanweisung für die Bundestagswahl ( 341 Wörter ) FDP Die Überlebenskünstler VON GERO VON RANDOW , MERLIND THEILE ( 1554 Wörter ) Der Wechselwähler Sozen muss man zwingen VON JÖRG LAU ( 885 Wörter )","AfD","Wie die Partei um Geld wirbt VON MARK SCHIERITZ ( 897 Wörter ) Zeitspiegel Daniel Barenboim erhält den Marion Dönhoff Preis ( 153 Wörter ) Syrien Welche Folgen hat das Abkommen zwischen Russland und den","AfD|AFD"
"59","2013-09-19","zo_1225850.xhtml",672,672,"neuen Parlament . Nichts ist sicher , vieles ist möglich : Die FDP kämpft ums Überleben , die CDU wehrt sich gegen die Zweitstimmenkampagne des Koalitionspartners . Die Grünen erleben einen brutalen Absturz . Die","AfD","könnte im Schlussspurt zerbröselt werden - oder als neue Partei in den Bundestag einziehen und das bürgerliche Lager aufmischen . Es sind die entscheidenden Tage im Wahlkampf und die spannendsten politischen Tage in diesem Jahr","AfD|AFD"
"60","2013-09-19","zo_1225826.xhtml",83,83,"? Mit sechs Parteien , die ins Parlament kommen können , mit fünf Koalitionen , die angeblich oder tatsächlich angestrebt , beklagt und beschworen werden - und mit drei Parteien , der FDP , der","AfD","und den Piraten , von denen man nicht sicher weiß , ob sie es schaffen ? Wohl dem , der einer Partei so eng verbunden ist , dass er weiß , wo er sein Kreuz","AfD|AFD"
