"","token","frequency.Var1","frequency.Freq"
"198","artistic","artistic",2
"199","artistry","artistry",2
"200","artists","artists",2
"201","arts","arts",8
"202","artwork","artwork",22
"203","artworks","artworks",2
"204","as","as",550
"205","aside","aside",4
"206","ask","ask",28
"207","asked","asked",32
"208","asking","asking",2
"209","aspect","aspect",10
"210","aspects","aspects",6
"211","asperger","asperger",2
"212","aspergers","aspergers",2
"213","aspiration","aspiration",2
"214","assan","assan",2
"215","assasinated","assasinated",2
"216","assassinated","assassinated",2
"217","assess","assess",4
"218","assigned","assigned",2
"219","assignment","assignment",2
"220","assignments","assignments",2
"221","associate","associate",2
"222","assumptions","assumptions",4
"223","asylum","asylum",2
"224","at","at",396
"225","attacking","attacking",2
"226","attempt","attempt",2
"227","attended","attended",2
"228","attention","attention",4
"229","attract","attract",2
"230","au","au",6
"231","audience","audience",2
"232","audio","audio",4
"233","auditory","auditory",2
"234","August","August",4
"235","authority","authority",4
"236","authors","authors",2
"237","autism","autism",4
"238","automatic","automatic",2
"239","autumn","autumn",2
"240","available","available",8
"241","aversion","aversion",2
"242","avoid","avoid",2
"243","aw","aw",2
"244","award","award",8
"245","aware","aware",6
"246","away","away",36
"247","b","b",46
"248","B","B",8
"249","ba","ba",2
"250","babies","babies",2
"251","baby","baby",4
"252","back","back",134
"253","backend","backend",4
"254","backfired","backfired",4
"255","background","background",4
"256","backgrounds","backgrounds",2
"257","backspace","backspace",2
"258","backstreets","backstreets",2
"259","backtrack","backtrack",2
"260","bad","bad",26
"261","badly","badly",10
"262","bag","bag",8
"263","bait","bait",2
"264","baking","baking",2
"265","balanced","balanced",4
"266","band","band",2
"267","bandwagon","bandwagon",2
"268","bang","bang",8
"269","bank","bank",6
"270","bankrupt","bankrupt",6
"271","bar","bar",2
"272","Barbican","Barbican",10
"273","barrel","barrel",4
"274","bascially","bascially",2
"275","based","based",6
"276","basic","basic",14
"277","basically","basically",36
"278","basics","basics",6
"279","basis","basis",8
"280","bathers","bathers",2
"281","BBC","BBC",2
"282","BBC2","BBC2",2
"283","be","be",538
"284","beautiful","beautiful",4
"285","Beautiful","Beautiful",2
"286","beauty","beauty",2
"287","bec","bec",2
"288","became","became",8
"289","becau","becau",2
"290","because","because",324
"291","become","become",8
"292","becomes","becomes",10
"293","bed","bed",8
"294","bedroom","bedroom",6
"295","beds","beds",2
"296","beef","beef",2
"297","been","been",218
"298","beep","beep",2
"299","before","before",68
"300","begin","begin",2
"301","beginning","beginning",2
"302","behave","behave",2
"303","behaviour","behaviour",2
"304","behind","behind",6
"305","being","being",110
"306","beings","beings",2
"307","beliefs","beliefs",2
"308","believe","believe",12
"309","bells","bells",2
"310","belongs","belongs",2
"311","benefit","benefit",2
"312","benjamins","benjamins",2
"313","best","best",28
"314","bet","bet",2
"315","better","better",62
"316","between","between",22
"317","beyond","beyond",2
"318","big","big",78
"319","bigger","bigger",8
"320","biggest","biggest",2
"321","Biggie","Biggie",2
"322","bike","bike",2
"323","billboards","billboards",4
"324","bin","bin",2
"325","bind","bind",2
"326","biology","biology",2
"327","birthday","birthday",4
"328","birthdays","birthdays",2
"329","biscuit","biscuit",2
"330","bit","bit",162
"331","bitesize","bitesize",2
"332","bits","bits",16
"333","bitting","bitting",2
"334","bivvy","bivvy",2
"335","bl","bl",2
"336","black","black",16
"337","blacked","blacked",4
"338","blacks","blacks",2
"339","blah","blah",12
"340","blank","blank",2
"341","blanket","blanket",2
"342","bleeding","bleeding",2
"343","blemish","blemish",2
"344","blends","blends",2
"345","bless","bless",2
"346","blew","blew",2
"347","blocked","blocked",2
"348","blocks","blocks",2
"349","blog","blog",6
"350","bloke","bloke",4
"351","blokes","blokes",2
"352","blood","blood",6
"353","bloody","bloody",4
"354","blow","blow",6
"355","blowing","blowing",4
"356","blows","blows",2
"357","blue","blue",6
"358","blurred","blurred",4
"359","boarded","boarded",4
"360","boat","boat",8
"361","bobbing","bobbing",4
"362","body","body",18
"363","boils","boils",2
"364","bolt","bolt",2
"365","bomb","bomb",4
"366","bonds","bonds",2
"367","bone","bone",2
"368","bones","bones",2
"369","book","book",62
"370","books","books",34
"371","boom","boom",2
"372","boomerang","boomerang",16
"373","boon","boon",14
"374","boop","boop",2
"375","boots","boots",4
"376","bored","bored",4
"377","boring","boring",6
"378","born","born",14
"379","borough","borough",2
"380","borrow","borrow",8
"381","borrowed","borrowed",4
"382","borry","borry",2
"383","boss","boss",2
"384","both","both",10
"385","bother","bother",4
"386","bothered","bothered",4
"387","bottom","bottom",10
"388","bought","bought",8
"389","boundaries","boundaries",2
"390","bounds","bounds",2
"391","bout","bout",2
"392","bowl","bowl",2
"393","bowling","bowling",2
"394","boxes","boxes",2
"395","boxing","boxing",2
"396","boy","boy",6
"397","boys","boys",10
"398","BR","BR",6
"399","brain","brain",54
"400","brains","brains",4
"401","brands","brands",4
"402","bread","bread",2
"403","break","break",18
"404","breakfast","breakfast",2
"405","breaks","breaks",16
"406","breathe","breathe",28
"407","bricks","bricks",2
"408","bridge","bridge",2
"409","briefly","briefly",2
"410","bril","bril",2
"411","brilliant","brilliant",8
"412","bring","bring",14
"413","bringing","bringing",2
"414","brings","brings",4
"415","Britain","Britain",2
"416","broad","broad",4
"417","broadband","broadband",2
"418","broader","broader",2
"419","broke","broke",4
"420","broker","broker",4
"421","brother","brother",2
"422","brought","brought",14
"423","browser","browser",4
"424","browsing","browsing",6
"425","bubbly","bubbly",2
"426","buggered","buggered",2
"427","build","build",18
"428","builders","builders",2
"429","building","building",30
"430","buildings","buildings",4
"431","builds","builds",18
"432","built","built",14
"433","bumping","bumping",2
"434","bumps","bumps",2
"435","burn","burn",10
"436","bus","bus",2
"437","Bush","Bush",2
"438","business","business",6
"439","businesses","businesses",2
"440","bust","bust",2
"441","busting","busting",2
"442","busy","busy",6
"443","but","but",1206
"444","button","button",8
"445","buttons","buttons",2
"446","buy","buy",22
"447","buying","buying",4
"448","buzzy","buzzy",2
"449","by","by",102
"450","bye","bye",36
"451","c","c",34
"452","C","C",6
"453","ca","ca",214
"454","cakes","cakes",2
"455","call","call",28
"456","called","called",102
"457","calling","calling",8
"458","calm","calm",2
"459","Camdy","Camdy",4
"460","came","came",36
"461","camera","camera",54
"462","camping","camping",4
"463","can","can",402
"464","cancel","cancel",2
"465","cancer","cancer",4
"466","canes","canes",2
"467","capture","capture",4
"468","captured","captured",2
"469","capturing","capturing",4
"470","car","car",10
"471","carcass","carcass",2
"472","card","card",4
"473","cardboard","cardboard",4
"474","care","care",54
"475","career","career",4
"476","careful","careful",4
"477","carefully","carefully",2
"478","cares","cares",20
"479","carp","carp",4
"480","carpies","carpies",2
"481","carrot","carrot",2
"482","carry","carry",4
"483","carrying","carrying",2
"484","cascading","cascading",2
"485","case","case",26
"486","cash","cash",4
"487","cast","cast",4
"488","catch","catch",28
"489","catching","catching",4
"490","catchy","catchy",2
"491","cathartic","cathartic",2
"492","caught","caught",6
"493","cause","cause",2
"494","caused","caused",2
"495","ceiling","ceiling",2
"496","cellist","cellist",2
"497","cello","cello",18
"498","center","center",2
"499","central","central",4
"500","centre","centre",4
"501","cert","cert",4
"502","certain","certain",18
"503","certainly","certainly",2
"504","certificates","certificates",4
"505","ch","ch",6
"506","chair","chair",2
"507","challenging","challenging",2
"508","chance","chance",4
"509","chancely","chancely",2
"510","change","change",18
"511","changed","changed",6
"512","channels","channels",2
"513","character","character",2
"514","characters","characters",4
"515","charging","charging",2
"516","charity","charity",2
"517","chasing","chasing",2
"518","chat","chat",8
"519","chatting","chatting",6
"520","cheap","cheap",6
"521","cheaper","cheaper",2
"522","cheat","cheat",4
"523","cheating","cheating",2
"524","check","check",4
"525","checking","checking",4
"526","cheering","cheering",2
"527","cheers","cheers",2
"528","cheese","cheese",2
"529","chemist","chemist",2
"530","chemistry","chemistry",2
"531","chew","chew",2
"532","child","child",26
"533","childish","childish",2
"534","children","children",8
"535","chill","chill",2
"536","chime","chime",2
"537","chit","chit",2
"538","choice","choice",2
"539","chomping","chomping",2
"540","choose","choose",4
"541","chopped","chopped",2
"542","chorus","chorus",6
"543","chose","chose",2
"544","Christmas","Christmas",6
"545","chucked","chucked",4
"546","chuffed","chuffed",2
"547","chunk","chunk",6
"548","chunks","chunks",2
"549","church","church",4
"550","circumstances","circumstances",2
"551","city","city",6
"552","City","City",2
"553","cl","cl",2
"554","cla","cla",2
"555","clarity","clarity",2
"556","class","class",8
"557","classifies","classifies",2
"558","clean","clean",10
"559","clear","clear",6
"560","clearer","clearer",2
"561","clearly","clearly",2
"562","clever","clever",12
"563","click","click",16
"564","clicked","clicked",2
"565","clicks","clicks",6
"566","client","client",10
"567","climbing","climbing",2
"568","clip","clip",2
"569","clipboard","clipboard",2
"570","cliques","cliques",2
"571","clock","clock",4
"572","clocks","clocks",2
"573","close","close",10
"574","closed","closed",6
"575","closely","closely",2
"576","clothes","clothes",4
"577","clouds","clouds",10
"578","clozapine","clozapine",2
"579","clozaril","clozaril",4
"580","club","club",6
"581","clue","clue",4
"582","co","co",4
"583","coat","coat",2
"584","Cobe","Cobe",2
"585","cockney","cockney",6
"586","cocky","cocky",2
"587","code","code",82
"588","coding","coding",28
"589","cofacilitator","cofacilitator",6
"590","coffee","coffee",2
"591","CoffeeCup","CoffeeCup",4
"592","coherent","coherent",4
"593","coke","coke",2
"594","cold","cold",4
"595","college","college",8
"596","collosal","collosal",2
"597","colour","colour",4
"598","coloured","coloured",2
"599","colourful","colourful",2
"600","colourfully","colourfully",4
"601","colouring","colouring",4
"602","colours","colours",2
"603","com","com",10
"604","come","come",98
"605","comes","comes",60
"606","comet","comet",4
"607","comfort","comfort",2
"608","comfortable","comfortable",2
"609","coming","coming",18
"610","commemorate","commemorate",2
"611","commemoration","commemoration",2
"612","comment","comment",2
"613","comments","comments",2
"614","common","common",8
"615","communicate","communicate",12
"616","communicates","communicates",2
"617","communicating","communicating",10
"618","communication","communication",14
"619","community","community",6
"620","compan","compan",2
"621","companies","companies",2
"622","company","company",4
"623","compared","compared",10
"624","compatible","compatible",2
"625","complaining","complaining",2
"626","complete","complete",4
"627","completed","completed",2
"628","completely","completely",18
"629","complex","complex",8
"630","complexity","complexity",2
"631","complicated","complicated",6
"632","compose","compose",2
"633","composition","composition",30
"634","comprehensive","comprehensive",2
"635","compromised","compromised",2
"636","compute","compute",2
"637","computer","computer",52
"638","computers","computers",8
"639","con","con",2
"640","conceived","conceived",2
"641","concentrate","concentrate",2
"642","concentrating","concentrating",2
"643","concentration","concentration",4
"644","concept","concept",2
"645","concepts","concepts",2
"646","conceptual","conceptual",2
"647","conceptualise","conceptualise",2
"648","concerned","concerned",2
"649","concerns","concerns",2
"650","concise","concise",4
"651","concrete","concrete",44
"652","condition","condition",4
"653","confident","confident",2
"654","confined","confined",4
"655","confinement","confinement",2
"656","confirm","confirm",2
"657","confused","confused",2
"658","connect","connect",4
"659","connected","connected",2
"660","connection","connection",4
"661","connections","connections",2
"662","conservation","conservation",2
"663","consid","consid",2
"664","considerably","considerably",2
"665","constrained","constrained",2
"666","constraints","constraints",4
"667","contact","contact",2
"668","contemporary","contemporary",2
"669","content","content",12
"670","contents","contents",2
"671","context","context",10
"672","contexts","contexts",2
"673","continue","continue",4
"674","continuously","continuously",2
"675","contrast","contrast",2
"676","contrasted","contrasted",2
"677","contribute","contribute",2
"678","control","control",8
"679","controlled","controlled",2
"680","conventions","conventions",2
"681","conversation","conversation",18
"682","conversational","conversational",2
"683","cook","cook",4
"684","cooked","cooked",4
"685","cooker","cooker",2
"686","cooking","cooking",10
"687","cool","cool",10
"688","Coolpix","Coolpix",2
"689","cooperate","cooperate",2
"690","cooperated","cooperated",4
"691","coordinate","coordinate",8
"692","cope","cope",4
"693","copied","copied",2
"694","copies","copies",4
"695","copy","copy",58
"696","copying","copying",4
"697","corned","corned",2
"698","corner","corner",4
"699","corny","corny",2
"700","corona","corona",2
"701","correct","correct",8
"702","corroperated","corroperated",2
"703","corroprerated","corroprerated",2
"704","corrupt","corrupt",6
"705","cos","cos",178
"706","cost","cost",4
"707","costs","costs",2
"708","could","could",238
"709","coulda","coulda",2
"710","council","council",2
"711","count","count",2
"712","country","country",6
"713","couple","couple",46
"714","coupled","coupled",2
"715","course","course",24
"716","courses","courses",12
"717","courtesy","courtesy",2
"718","cover","cover",2
"719","covered","covered",2
"720","covers","covers",2
"721","COVID","COVID",8
"722","cow","cow",2
"723","CPUs","CPUs",2
"724","cr","cr",6
"725","crab","crab",2
"726","crack","crack",4
"727","cracker","cracker",10
"728","crap","crap",8
"729","crash","crash",2
"730","crave","crave",2
"731","crayons","crayons",2
"732","crazy","crazy",6
"733","create","create",30
"734","created","created",8
"735","creates","creates",4
"736","creating","creating",10
"737","creative","creative",272
"738","creatively","creatively",28
"739","creativity","creativity",44
"740","credibility","credibility",2
"741","cricket","cricket",2
"742","cries","cries",2
"743","crime","crime",6
"744","critically","critically",6
"745","criticising","criticising",2
"746","critique","critique",6
"747","critiqued","critiqued",2
"748","crop","crop",6
"749","cropping","cropping",2
"750","crowd","crowd",2
"751","cry","cry",2
"752","crying","crying",12
"753","crystal","crystal",2
"754","Cs","Cs",2
"755","CSS","CSS",14
"756","cu","cu",2
"757","cultivated","cultivated",2
"758","culture","culture",2
"759","cupboard","cupboard",2
"760","curious","curious",2
"761","current","current",2
"762","currently","currently",2
"763","Curry","Curry",12
"764","cut","cut",16
"765","cutting","cutting",2
"766","cycles","cycles",2
"767","d","d",78
"768","D","D",6
"769","dabble","dabble",4
"770","dabbled","dabbled",2
"771","dad","dad",16
"772","daily","daily",4
"773","damage","damage",2
"774","damaged","damaged",2
"775","damaging","damaging",2
"776","damn","damn",8
"777","dampers","dampers",2
"778","danger","danger",2
"779","dangerous","dangerous",10
"780","dark","dark",18
"781","Darling","Darling",4
"782","darting","darting",2
"783","data","data",4
"784","database","database",4
"785","databases","databases",2
"786","daughter","daughter",2
"787","daunting","daunting",2
"788","day","day",158
"789","days","days",24
"790","dead","dead",8
"791","deal","deal",16
"792","dealing","dealing",4
"793","December","December",4
"794","decent","decent",2
"795","decide","decide",2
"796","decided","decided",8
"797","decreases","decreases",2
"798","deep","deep",4
"799","deeper","deeper",6
"800","def","def",14
"801","define","define",2
"802","definite","definite",2
"803","definitely","definitely",120
"804","definition","definition",2
"805","Defsman","Defsman",2
"806","delete","delete",4
"807","delicious","delicious",2
"808","delivery","delivery",2
"809","demand","demand",2
"810","demanded","demanded",2
"811","demonstrate","demonstrate",4
"812","deny","deny",4
"813","depend","depend",4
"814","dependent","dependent",2
"815","depending","depending",4
"816","depends","depends",16
"817","depot","depot",6
"818","depressing","depressing",2
"819","depth","depth",4
"820","depths","depths",2
"821","describe","describe",4
"822","described","described",2
"823","describing","describing",2
"824","description","description",4
"825","descriptions","descriptions",2
"826","descriptive","descriptive",4
"827","design","design",36
"828","designed","designed",2
"829","designers","designers",2
"830","designing","designing",2
"831","desktop","desktop",2
"832","desperate","desperate",2
"833","destroy","destroy",4
"834","destroyed","destroyed",2
"835","details","details",6
"836","Dettol","Dettol",2
"837","develop","develop",8
"838","developed","developed",4
"839","development","development",2
"840","Development","Development",2
"841","device","device",2
"842","devices","devices",4
"843","devil","devil",12
"844","diagno","diagno",2
"845","diagnosed","diagnosed",8
"846","diagnosis","diagnosis",2
"847","dial","dial",4
"848","dialogue","dialogue",2
"849","dic","dic",2
"850","dichotomy","dichotomy",2
"851","Dick","Dick",2
"852","dictates","dictates",2
"853","did","did",174
"854","die","die",14
"855","died","died",8
"856","dies","dies",4
"857","difference","difference",14
"858","differences","differences",8
"859","different","different",134
"860","difficult","difficult",90
"861","difficulties","difficulties",6
"862","difficulty","difficulty",4
"863","dig","dig",4
"864","digital","digital",20
"865","direct","direct",2
"866","direction","direction",2
"867","directly","directly",2
"868","dirt","dirt",4
"869","disappeared","disappeared",4
"870","disappointed","disappointed",2
"871","discipline","discipline",4
"872","discussion","discussion",2
"873","disease","disease",2
"874","disjointed","disjointed",2
"875","disp","disp",2
"876","display","display",10
"877","displays","displays",2
"878","dispute","dispute",2
"879","distinction","distinction",4
"880","distracted","distracted",6
"881","distracting","distracting",2
"882","distressed","distressed",2
"883","distributing","distributing",2
"884","disturbing","disturbing",2
"885","DIV","DIV",4
"886","diverse","diverse",2
"887","divide","divide",10
"888","divided","divided",8
"889","divider","divider",2
"890","dividers","dividers",2
"891","DIVs","DIVs",10
"892","do","do",1390
"893","docks","docks",6
"894","doctor","doctor",14
"895","doctors","doctors",4
"896","documentarian","documentarian",2
"897","does","does",142
"898","doing","doing",150
"899","domain","domain",2
"900","domestic","domestic",2
"901","don","don",2
"902","dondon","dondon",2
"903","done","done",84
"904","donkey","donkey",2
"905","Donkey","Donkey",2
"906","doodling","doodling",2
"907","doors","doors",2
"908","dot","dot",12
"909","dots","dots",2
"910","double","double",4
"911","doubt","doubt",2
"912","doubting","doubting",2
"913","down","down",100
"914","Down","Down",2
"915","download","download",12
"916","downloaded","downloaded",2
"917","dozens","dozens",2
"918","dr","dr",6
"919","drag","drag",2
"920","Drake","Drake",2
"921","drama","drama",2
"922","draw","draw",8
"923","drawing","drawing",14
"924","draws","draws",2
"925","dream","dream",4
"926","Dreamweaver","Dreamweaver",2
"927","dress","dress",12
"928","drew","drew",4
"929","drift","drift",2
"930","drink","drink",10
"931","drinking","drinking",8
"932","drinks","drinks",2
"933","drive","drive",8
"934","driven","driven",8
"935","driver","driver",2
"936","drives","drives",2
"937","driving","driving",6
"938","drop","drop",4
"939","dropped","dropped",6
"940","drug","drug",4
"941","drugs","drugs",8
"942","dry","dry",2
"943","DS","DS",2
"944","DSLR","DSLR",2
"945","du","du",18
"946","dun","dun",8
"947","dunno","dunno",62
"948","during","during",12
"949","dwell","dwell",2
"950","dynamic","dynamic",2
"951","dyslexic","dyslexic",2
"952","e","e",16
"953","E","E",16
"954","e-mail","e-mail",10
"955","ea","ea",2
"956","each","each",46
"957","ear","ear",8
"958","earlier","earlier",4
"959","earn","earn",4
"960","earphones","earphones",4
"961","eas","eas",2
"962","ease","ease",2
"963","easier","easier",14
"964","easily","easily",4
"965","Eastenders","Eastenders",2
"966","easy","easy",18
"967","eat","eat",4
"968","eating","eating",6
"969","Eclipse","Eclipse",6
"970","edge","edge",2
"971","edged","edged",2
"972","edit","edit",6
"973","educated","educated",10
"974","education","education",2
"975","ee","ee",4
"976","effect","effect",6
"977","effects","effects",6
"978","effort","effort",2
"979","egg","egg",2
"980","eggshells","eggshells",2
"981","eh","eh",6
"982","ei","ei",2
"983","eight","eight",4
"984","eighteen","eighteen",14
"985","eighties","eighties",6
"986","eighty","eighty",4
"987","either","either",24
"988","el","el",2
"989","elaborate","elaborate",2
"990","elderly","elderly",2
"991","electric","electric",2
"992","electrical","electrical",2
"993","electron","electron",2
"994","elegance","elegance",2
"995","element","element",4
"996","elements","elements",2
"997","eleven","eleven",10
"998","Eliot","Eliot",2
"999","Ellot","Ellot",2
"1000","else","else",66
"1001","em","em",32
"1002","Eminem","Eminem",2
"1003","emotional","emotional",4
"1004","emotions","emotions",4
"1005","emphasis","emphasis",4
"1006","emphasise","emphasise",2
"1007","emphasised","emphasised",2
"1008","empty","empty",6
"1009","emulsion","emulsion",2
"1010","end","end",52
"1011","ended","ended",2
"1012","ending","ending",2
"1013","ends","ends",2
"1014","energetic","energetic",2
"1015","energy","energy",4
"1016","England","England",8
"1017","English","English",24
"1018","Englishman","Englishman",2
"1019","enjoy","enjoy",20
"1020","enjoyable","enjoyable",2
"1021","enjoyed","enjoyed",6
"1022","enjoying","enjoying",2
"1023","enlarged","enlarged",2
"1024","enlarger","enlarger",2
"1025","enor","enor",2
"1026","enormously","enormously",2
"1027","enough","enough",14
"1028","ensures","ensures",2
"1029","entendre","entendre",2
"1030","enter","enter",2
"1031","entered","entered",2
"1032","entire","entire",12
"1033","entity","entity",2
"1034","entrant","entrant",2
"1035","entrants","entrants",2
"1036","env","env",2
"1037","envious","envious",4
"1038","environment","environment",8
"1039","envy","envy",4
"1040","episode","episode",2
"1041","equal","equal",4
"1042","equipment","equipment",4
"1043","er","er",1992
"1044","erm","erm",3078
"1045","erotic","erotic",2
"1046","erratic","erratic",4
"1047","error","error",6
"1048","errors","errors",4
"1049","especially","especially",28
"1050","essay","essay",2
"1051","essential","essential",2
"1052","etcetera","etcetera",2
"1053","ev","ev",6
"1054","evaluate","evaluate",4
"1055","evaluation","evaluation",2
"1056","evaluative","evaluative",4
"1057","Eve","Eve",2
"1058","even","even",70
"1059","evening","evening",2
"1060","evenings","evenings",4
"1061","event","event",4
"1062","ever","ever",14
"1063","every","every",98
"1064","everybody","everybody",34
"1065","everyday","everyday",2
"1066","everyone","everyone",8
"1067","everything","everything",86
"1068","ex","ex",8
"1069","exactly","exactly",28
"1070","exam","exam",2
"1071","example","example",18
"1072","examples","examples",8
"1073","excalate","excalate",2
"1074","Excel","Excel",6
"1075","excellent","excellent",2
"1076","except","except",8
"1077","execution","execution",2
"1078","exercise","exercise",2
"1079","exercising","exercising",2
"1080","existence","existence",2
"1081","existing","existing",4
"1082","exists","exists",2
"1083","exp","exp",2
"1084","expect","expect",8
"1085","expending","expending",2
"1086","expense","expense",2
"1087","expensive","expensive",8
"1088","expensivest","expensivest",2
"1089","experience","experience",20
"1090","experienced","experienced",2
"1091","experiment","experiment",4
"1092","experimental","experimental",2
"1093","expert","expert",2
"1094","explain","explain",8
"1095","explained","explained",2
"1096","explaining","explaining",6
"1097","exploration","exploration",2
"1098","exploratory","exploratory",2
"1099","explore","explore",10
"1100","exploring","exploring",2
"1101","exposed","exposed",2
"1102","exposure","exposure",4
"1103","express","express",20
"1104","expressing","expressing",8
"1105","expression","expression",10
"1106","expressive","expressive",8
"1107","extensive","extensive",2
"1108","extent","extent",6
"1109","extraordinary","extraordinary",2
"1110","ey","ey",2
"1111","eye","eye",2
"1112","eyes","eyes",8
"1113","f","f",60
"1114","F","F",2
"1115","face","face",24
"1116","Facebook","Facebook",2
"1117","faced","faced",2
"1118","faces","faces",2
"1119","facilitation","facilitation",2
"1120","facility","facility",4
"1121","facing","facing",4
"1122","fact","fact",14
"1123","facts","facts",12
"1124","factual","factual",4
"1125","fade","fade",14
"1126","fair","fair",32
"1127","fairly","fairly",2
"1128","fall","fall",4
"1129","fam","fam",2
"1130","familiar","familiar",4
"1131","families","families",2
"1132","family","family",34
"1133","famous","famous",6
"1134","fan","fan",12
"1135","fancy","fancy",2
"1136","fantastic","fantastic",2
"1137","fantasy","fantasy",2
"1138","far","far",10
"1139","fare","fare",2
"1140","fascinated","fascinated",2
"1141","fashioned","fashioned",2
"1142","fast","fast",2
"1143","fat","fat",2
"1144","fate","fate",2
"1145","fath","fath",2
"1146","father","father",6
"1147","Father","Father",2
"1148","fathom","fathom",2
"1149","fau","fau",2
"1150","fault","fault",8
"1151","favourite","favourite",10
"1152","FAW","FAW",2
"1153","fear","fear",6
"1154","feed","feed",2
"1155","feel","feel",102
"1156","feeling","feeling",66
"1157","feelings","feelings",66
"1158","feels","feels",6
"1159","fell","fell",4
"1160","fellow","fellow",4
"1161","felt","felt",26
"1162","fertile","fertile",2
"1163","few","few",30
"1164","fiction","fiction",6
"1165","fif","fif",4
