"","x"
"36","Dies ist der Fall, wenn der Verfasser der Umarbeitung nicht das Originalwerk zur Geltung bringen, sondern das Ergebnis seiner Arbeit als eigenes Werk ausgeben will (Plagiat) oder bei dem <#MET Versuch #>, das fremde Werk zu einer neuen selbständigen Schöpfung frei zu benutzen, scheitert, weil er sich von seinem Vorbild nicht genügend frei machen kann."
"37","Auch im Falle der <#MET Verletzung #> eines Leistungsschutzrechts kann ein berechtigtes Interesse an der Bekanntmachung des Urteils bestehen."
"38","Ich wiederhole: Um den Geist zu kennzeichnen, in dem der Innenausschuß diese Gesetzes beschlossen hat, darf ich ein Plagiat begehen und ein <#MET Zitat #> aus Ihrer Rede, Kollege Erler, vom letzten Mittwoch entnehmen:"
"39","Abwegig ist auch der etwas verklausuliert erhobene Vorwurf des Plagiats, des <#MET Abschreibens #>."
"40","Vorschläge etwa über die wirksamere <#MET Gestaltung #> der Zuständigkeit des Generalbundesanwalts in der entscheidenden Zugriffsphase und zum sinnvollen Ausbau der Sanktionen in der Berufsgerichtsbarkeit der Rechtsanwälte hat überhaupt nur die Bundesregierung gemacht, in der Zuständigkeitsfrage des Generalbundesanwalts übrigens gegen den Widerstand und gegen den Widerspruch der Länder, die zunächst bedauerlich wenig Verständnis für das Bedürfnis des Bundeskriminalamtes zeigten, bei Angehörigen terroristischer Vereinigungen in der Zu- Bundesminister Dr;"
"41","Wie beurteilt die Bundesregierung die — vor allem im mittelständischen Bereich — zunehmenden Klagen über das Auftreten von Plagiaten („sklavische <#MET Produktnachahmungen #>""), und sind die diesbezüglichen nationalen und internationalen Schutzrechte ausreichend, um gegen diese <#MET Produktnachahmungen #> vorgehen zu können?"
"42","Die Anklagen sind vielfältig: Bigamie, Ehebruch, Autounfälle, Plagiat, <#MET Sachbeschädigung #>, Fahrlässigkeit, Eigentumsdelikte und unnötige zahnärztliche Extraktionen."
"43","Die Anklagen sind vielfältig: Bigamie, Ehebruch, Autounfälle, Plagiat, Sachbeschädigung, <#MET Fahrlässigkeit #>, Eigentumsdelikte und unnötige zahnärztliche Extraktionen."
"44","Die Anklagen sind vielfältig: Bigamie, Ehebruch, Autounfälle, Plagiat, Sachbeschädigung, Fahrlässigkeit, <#MET Eigentumsdelikte #> und unnötige zahnärztliche Extraktionen."
"45","Die Anklagen sind vielfältig: Bigamie, Ehebruch, Autounfälle, Plagiat, Sachbeschädigung, Fahrlässigkeit, Eigentumsdelikte und unnötige zahnärztliche <#MET Extraktionen #>."
"46","Das Wort Plagiat leitet sich vom lateinischen plagium (<#MET Menschendiebstahl #>, Seelenverkauf) ab."
"47","Über das französische Verbum plagiaire (abschreiben) und das hinzugebildete plagiat fand es <#MET Eingang #> in die deutsche Sprache."
"48","Unter Plagiat versteht man heute allgemein den <#MET Diebstahl #> geistigen Eigentums."
"49","Unter Plagiat versteht man heute allgemein den Diebstahl geistigen <#MET Eigentums #>."
"50","Wenn es möglich wird, über eine zentrale Hinterlegung in Berlin dem ehrlichen Händler, dem ehrlichen Kaufmann durch eine Bildbekanntmachung etwas an die Hand zu geben, so daß er unterscheiden kann, ob er ein Plagiat, eine <#MET Nachahmung #>, oder aber einen Markenartikel bekommt, so ist, glaube ich, schon etliches getan, um Markenpiraterie in der Bundesrepublik Deutschland, die zunehmend auch vom Ausland hereingetragen wird, zurückdrängen zu können."
"51","Wenn es möglich wird, über eine zentrale Hinterlegung in Berlin dem ehrlichen Händler, dem ehrlichen Kaufmann durch eine Bildbekanntmachung etwas an die Hand zu geben, so daß er unterscheiden kann, ob er ein Plagiat, eine Nachahmung, oder aber einen <#MET Markenartikel #> bekommt, so ist, glaube ich, schon etliches getan, um Markenpiraterie in der Bundesrepublik Deutschland, die zunehmend auch vom Ausland hereingetragen wird, zurückdrängen zu können."
"52","Sie auch!) sie dadurch aufwerten und sich dann wundern, daß die Wähler lieber das <#MET Original #> anstelle des Plagiats wählen."
"53","Jh. an auch zur Sicherung vor <#MET Nachdruck #> und Plagiat."
"54","Die veränderte A. weist auf einen <#MET Besitzerwechsel #> der Druckplatte hin, mitunter erkennbar durch die getilgte, nachgestochene oder veränderte Schrift."
"55","Was bedeutet es eigentlich, wenn ein Mann wie Heinrich Lummer nach sechs Jahren Regierung Kohl und so vielen Bemühungen um Geschichtsbewußtsein in verschiedenen Interviews praktisch das Gedankengut der sogenannten Republikaner — die in Wahrheit Antirepublikaner sind — für die CDU reklamiert (Beifall bei der SPD) und diese Gruppe um Herrn Schönhuber des Plagiats, also des <#MET Ideenklaus #>, bezichtigt?"
"56","Und das Ganze ist mir eigentlich vorgekommen, als hätte Dürrenmatt noch mal in den Fundus seiner <#MET Ideen #> gegriffen und so was Ähnliches wie ein Plagiat seines Selbst gemacht."
"57","Und das Ganze ist mir eigentlich vorgekommen, als hätte Dürrenmatt noch mal in den Fundus seiner Ideen gegriffen und so was <#MET Ähnliches #> wie ein Plagiat seines Selbst gemacht."
"58","Plagiat) sowie das Recht, sich gegen jede <#MET Entstellung #> oder andere Beeinträchtigung des Werkes zu wehren."
"59","Daher ist der Anteil der Vernichtungsansprüche, die gegen die zur <#MET Herstellung #> von Fälschungen und Plagiaten benutzten Werkzeuge und Produktionsanlagen gerichtet worden ist, bislang verhältnismäßig gering gewesen."
"60","Daher ist der Anteil der Vernichtungsansprüche, die gegen die zur Herstellung von <#MET Fälschungen #> und Plagiaten benutzten Werkzeuge und Produktionsanlagen gerichtet worden ist, bislang verhältnismäßig gering gewesen."
"61","plagium »<#MET Seelendiebstahl #>«;"
"62","Für Komik sind jedoch weniger die <#MET Flodders #> zuständig."
"63","Dabei übersieht er auch noch, daß er häufig unsere sozialdemokratischen Vorschläge propagiert und nicht sagt, woher er sie hat, und so tut, als wären sie sein <#MET Eigentum #>."
"64","Nach 12 des Bürgerlichen Gesetzbuches nämlich hat jeder ""Wappenführende"" die Möglichkeit gegen eine ""<#MET Wappenanmaßung #>"" (Übernahme, Fälschung, Plagiat) vorzugehen."
"65","Nach 12 des Bürgerlichen Gesetzbuches nämlich hat jeder ""Wappenführende"" die Möglichkeit gegen eine ""Wappenanmaßung"" (<#MET Übernahme #>, Fälschung, Plagiat) vorzugehen."
"66","Nach 12 des Bürgerlichen Gesetzbuches nämlich hat jeder ""Wappenführende"" die Möglichkeit gegen eine ""Wappenanmaßung"" (Übernahme, <#MET Fälschung #>, Plagiat) vorzugehen."
"67","Die Regierungen in Washington und Peking fanden am 26. Februar zu einem Kompromiß in ihrem <#MET Disput #> über Urheberrechte."
"68","China will die <#MET Herstellung #> von Plagiaten bekämpfen und verhinderte mit seiner Erklärung einen Handelskrieg mit den Vereinigten Staaten."
"69","Aus einem <#MET Gutachten #> geht hervor, daß von einem Plagiat keine Rede sein kann."""
"70","5. Nachträgliche <#MET Änderungen #> der Monographie aufgrund des wissenschaftlich-technischen Fortschritts vorgenommen werden sollen, sind dem ständigen Futtermittelausschuß zur Stellungnahme vorzulegen."
"71","Er ist fest davon überzeugt, ""daß kein wirklicher Betrug, kein wirkliches Plagiat, keine gravierende <#MET Fabrikation #> von Meß- oder Umfragedaten in der Wissenschaft längere Zeit unentdeckt bleiben."
"72","Doch obwohl sich die Versionen von Clouzot und Chechik so sehr ähneln, daß sie über weite Strecken sogar zu einem Film zusammengeschnitten werden könnten, ist die neue <#MET Fassung #> alles andere als ein plattes Plagiat."
"73","Haben wir jemals erlebt, daß ein Plagiat besser ist als das <#MET Original #>?"
"74","BANHARN soll sich nach Angaben der Opposition zudem bei der <#MET Ausarbeitung #> seiner Examensarbeit in Rechtswissenschaften des Plagiats schuldig gemacht haben, und seine Frau und seine Tochter hätten bei dubiosen Spekulationsgeschäften mit Grundstücken hohe Profite erlöst."
"75","Dabei geht es mir weniger darum, daß es sich in <#MET Teilen #> um ein Plagiat handelt;"
"76","Ausgehend von Satzzeichen und Buchstaben führt die Studienreise über Wörter und Namen bis zu Wendungen und Sätzen, von Gattungen wie Roman, Satire und Lyrik bis zur Weltliteratur höchstselbst, inklusive einer kleinen Vorschule der <#MET Reimkunst #> und einer Anleitung zum schöpferischen Plagiat."
"77","Ich kenne dieses <#MET Konzept #> nicht."
"78","Seit über 20 Jahren vergibt der gemeinnützige Verein ""Aktion Plagiarius"" seinen Preis für besondere <#MET Leistungen #> in Sachen Plagiat."
"79","Ähnlich könnte der englische Schriftsteller Graham Swift reagieren, dem jetzt vorgeworfen wird, sein Roman ""Letzte Runde"" (soeben, ein Jahr nach dem <#MET Original #>, auf deutsch bei Hanser erschienen) sei ein Plagiat von William Faulkners Meisterwerk ""Als ich im Sterben lag""."
"80","Zwei deutschen Krebsforschern, Friedhelm Herrmann und Marion Brach, wird mittlerweile so ziemlich alles vorgeworfen, was man sich in der Wissenschaft zuschulden kommen lassen kann: <#MET Fälschung #>, Betrug und Plagiat."
"81","Deshalb fordern Wirtschaftsverbände wie der DIHT die Bundesregierung immer wieder auf, ""das böse Spiel mit den Plagiaten“ durch eine strengere <#MET Fassung #> der Gesetze endlich zu beenden."
"82","k. d. langs <#MET Stimme #> trägt die Geschichten - mit gebändigtem Pathos, mit klarer, weicher Innigkeit, von ""The Air That I Breathe"" über ""The Joker"" zu ""My Last Cigarette""."
"83","Was am Rhein als verkaufsfördernde Duftmarke in der Fusionsberichterstattung konzipiert sein mochte, wertet Kaden als ""Plagiat"" und ""<#MET Ideenklau #>"": Die Rechte am Wettbewerb ""Manager des Jahres"" habe sein Magazin immerhin ""für einen hohen fünfstelligen Betrag"" von der mittlerweile eingestellten Gazette ""Top Business"" erworben."
"84","Kaden sieht das entschieden anders, spricht zornentbrannt von ""Plagiat"" und ""<#MET Ideenklau #>""."
"85","Die Welt wird als Möglichkeit begriffen, in der alles <#MET Original #> wie Plagiat sein kann."
"86","Botschaft, Plot, <#MET Stil #> und Figuration sind von Hamsun, die Zurichtungen zum Modell von Waggerl: die Hauptfigur betreibt eigenhändig einen Einödhof und bleibt, ringend, im Einklang mit der Natur, während in der Nachbarschaft durch schnellen Profit einer Heilquelle das kapitalitische Unheil einzieht."
"87","Laß uns nun mit immer neuen Künsten ändern dieser Erde Wirkung und <#MET Gestalt #>!"
"88","Jedes Jahr werden auf der Konsumgütermesse ""Ambiente"" in Frankfurt besonders dreiste Fälle geistigen <#MET Diebstahls #> prämiert:"
"89","Dessen Universalität hat eine einmalige <#MET Kontinuität #> bis hin zum Plagiat möglich gemacht."
"90","Letzteres meine ich aber mehr als <#MET Kompliment #>."
"91","Boeing will das 55000 DM teure Hauptprodukt der Schöneberger Firma nutzen, um Flugzeugteile individuell zu markieren und sich damit vor dem <#MET Einbau #> von Plagiaten zu schützen."
"92","""Es gibt keine <#MET Originale #> mehr, sondern nur noch Plagiate."
"93","Wenn die Konkurrenz mit ihrer Adaption des <#MET Originals #> solide Quoten macht, dürfte es auch noch genug Zuschauer für das Plagiat des <#MET Originals #> geben."
"94","Das Gericht ist um die Aufgabe nicht zu beneiden, im Minenfeld zwischen legitimer <#MET Verwertung #> und Plagiat eine Grenze zu markieren."
"95","Nur der deutsche Zoll nehme bei der <#MET Beschlagnahmung #> von Plagiaten eine internationale Spitzenposition ein."
"96","Teilnehmer waren renommierte Altphilologen, Altertumsforscher, Theaterwissenschaftler und Theaterpraktiker, da zum Beiprogramm auch <#MET Inszenierungen #> altgriechischer Dramen gehörten."
"97","Die erste <#MET Andeutung #> des Seitenthemas im entfernten Es-Dur findet sich ähnlich im C-Dur-Konzert Beethovens."
"98","Die erste Andeutung des <#MET Seitenthemas #> im entfernten Es-Dur findet sich ähnlich im C-Dur-Konzert Beethovens."
"99","Die Wähler sollten sich für das <#MET Original #> entscheiden und ""nicht für das traurige Plagiat""."
"100","Experten traten auf, die den Nachweis führten, daß es sich bei den ""<#MET Protokollen #>"" in Teilen um ein Plagiat und insgesamt wahrscheinlich um eine plumpe Fälschung handele."
"101","Experten traten auf, die den Nachweis führten, daß es sich bei den ""Protokollen"" in <#MET Teilen #> um ein Plagiat und insgesamt wahrscheinlich um eine plumpe Fälschung handele."
"102","Experten traten auf, die den Nachweis führten, daß es sich bei den ""Protokollen"" in Teilen um ein Plagiat und insgesamt wahrscheinlich um eine plumpe <#MET Fälschung #> handele."
"103","Als ich die ersten Plakate dieser Kampagne gesehen habe, hatte ich nur einen einzigen <#MET Gedanken #>: ""Plagiat!"""
"104","Das Thema von Originalität und <#MET Epigonalität #>, von Fälschung und Plagiat ist nicht erst ein postmodernes, aber es hat in der Postmoderne eine neue Aktualität bekommen."
"105","Das Thema von Originalität und Epigonalität, von <#MET Fälschung #> und Plagiat ist nicht erst ein postmodernes, aber es hat in der Postmoderne eine neue Aktualität bekommen."
"106","Der Zusammenbruch der politischen Systeme in Mittel- und Osteuropa, die Rezession in Teilen der Welt und immer raffiniertere Methoden der organisierten <#MET Kriminalität #> lassen das Geschäft mit Plagiaten blühen."
"107","Insgesamt sei statistisch jeder zwölfte Artikel im Handel eine <#MET Fälschung #>, rechnete Spitz vor."
"108","Das Geschäft mit Plagiaten habe laut Internationaler Handelskammer einen <#MET Anteil #> von zehn Prozent am gesamten Welthandelsvolumen."
"109","Laut ""Bunte""-Chefredakteurin Patricia Riekel, die bei Burda für das neue Magazin ""InStyle"" zuständig ist, prüft der kooperierende US-Verlag Time derzeit, ob die von Gruner+Jahr lancierte Zeitschrift ""Life&Style"" in ""Titel und <#MET Konzept #>"" ein Plagiat sei."
"110","Das deutsche ""InStyle"" ist eine <#MET Adaption #> des gleichnamigen US-Magazins und soll in einer Auflage von 250000 Exemplaren zunächst viermal im Jahr erscheinen."
"111","Der Bundesgerichtshof hat die törichte <#MET Fortdichtung #> von Pasternaks ""Dr. Schiwago"" als Plagiat eingestuft;"
"112","Deutsche Rockmusik wird von Kritikern häufig als <#MET Kopie #> oder Plagiat anglo-amerikanischer Vorbilder angesehen."
"113","Schlagzeilen macht, ob Diepgens <#MET Plakate #> ein Plagiat sind oder Momper seine Putzfrau angemeldet hatte."
"114","Man könnte den <#MET Spiegel #>-Titel freilich auch anders sehen."
"115","Als Plagiat bezeichnet man allgemein die bewusste <#MET Aneignung #> fremden Geistesgutes, Plagiator ist derjenige, der ein fremdes Werk oder Teile eines fremden Werkes als sein eigenes Werk ausgibt und somit ""geistigen Diebstahl"" begeht."
"116","Als Plagiat bezeichnet man allgemein die bewusste Aneignung fremden <#MET Geistesgutes #>, Plagiator ist derjenige, der ein fremdes Werk oder Teile eines fremden Werkes als sein eigenes Werk ausgibt und somit ""geistigen Diebstahl"" begeht."
"117","Die wahre <#MET Abstraktion #> ist hier <#MET Abstraktion #> der Ware."
"118","Eine unzitierte <#MET Übernahme #> geistigen Eigentums ist ein Plagiat."
"119","Eine unzitierte Übernahme geistigen <#MET Eigentums #> ist ein Plagiat."
"120","11. Gibt es Beispiele für eigene Maßnahmen der Rechtsinhaber zur Sicherung und besseren Identifizierung ihrer <#MET Originalware #> mit dem Ziel einer besseren Unterscheidbarkeit von den Plagiaten?"
"121","""<#MET Raubbau #> an der Natur betreiben wir seit den Siebzigern nicht mehr"", sagt Lange."
"122","Für mich sind sie ein Plagiat – ein armseliger <#MET Abklatsch #>."
"123","Und so gelingt es ihr, dass wir der Reminiszenz an Pollock wieder mit jener Rührung begegnen, die das Original nie mehr haben wird, weil es durch die unendliche Reproduktion und beständige Inanspruchnahme für das Wahre, <#MET Echte #> und Spontane zum Klischee und Plagiat seiner selbst geworden ist."
"124","Und so gelingt es ihr, dass wir der Reminiszenz an Pollock wieder mit jener Rührung begegnen, die das Original nie mehr haben wird, weil es durch die unendliche Reproduktion und beständige Inanspruchnahme für das Wahre, Echte und Spontane zum <#MET Klischee #> und Plagiat seiner selbst geworden ist."
"125","Mit dem intellektuellen <#MET Firlefanz #> von gestern will man offensichtlich nichts mehr zu tun haben."
"126","Bei dem Treffen geht es aber auch um das unerlaubte Eindringen von Hackern in Computersysteme, um Betrügereien sowie die Verbreitung von Plagiaten oder <#MET Raubkopien #> von CDs, Büchern oder Videos im Internet."
"127","Zehn hoch 36 Möglichkeiten der <#MET Variation #> solle es bei ihm geben, womit er Mallarmé übertrifft, der in seiner Ars Combinatoria nur auf zwanzig Bände zu je 480000 Teile kam, auch noch Raymond Queneau, der Hunderttausend Milliarden Gedichtvariationen anbot, zu deren Lektüre man 190 Millionen Jahre bräuchte, was natürlich nichts ist im Verhältnis zu Enzensbergers fünf mal zehn hoch fünfundzwanzig Jahren, die er zur erschöpfenden Lektüre ansetzte, aber wiederum auch nur eine Petitesse ist im Vergleich zu der Universalbibliothek von Kurt Laßwitz, die nur in Lichtgeschwindigkeit zu durchmessen wäre."
"128","Castorfs zweite Inszenierung, die Uraufführung des Romans ""Elementarteilchen"" von Michel Houellebecq, für die Bühne bearbeitet von Rainald Goetz, befasst sich mit dem Plagiat der <#MET Schöpfung #>, der Gentechnologie und der Frage nach der Selbstzersetzung des Menschen durch eine neue Spezies, ""geschaffen nach seinem Bilde""."
"129","wssen;sz=234x60;stile=1] Nachrichten Aktuelle Ausgabe Nachrichten : Wissen : Campus 23.08.2000 Vorwurf des Plagiats Unfreundliche <#MET Übernahme #> in der Philosophie Hat der Erlanger Professor Forschner abgeschrieben?"
"130","Hermann Horstkotte Der Erlanger Philosophieprofessor Maximilian Forschner muss sich mit dem Vorwurf des Plagiats auseinandersetzen, also der unrechtmäßigen <#MET Verwendung #> einer fremden wissenschaftlichen Arbeit."
"131","2000 Vorwurf des Plagiats Unfreundliche <#MET Übernahme #> in der Philosophie Hat der Erlanger Professor Forschner abgeschrieben?"
"132","Juli laut <#MET Protokoll #> fest: ""Der Vorwurf des Plagiats oder geistigen Diebstahls ist sachlich haltlos;"
"133","Juli laut Protokoll fest: ""Der Vorwurf des Plagiats oder geistigen <#MET Diebstahls #> ist sachlich haltlos;"
"134","Architektur Stoff-Rüssel Hagen Kohn Wissen Wer unverbesserlich behauptet, alles sei schon einmal dagewesen und Musik bestünde heutzutage sowieso nur aus Plagiaten und <#MET Coverversionen #>, der kann Wohnen_und_Bauen sich in der Kalkscheune eines Besseren belehren lassen."
"135","Dann entdeckte die am Berliner Wissenschaftszentrum angestellte Politikwissenschaftlerin einen Text im Internet, der im Wortlaut zu 85 Prozent einem ihrer eigenen <#MET Schriften #> entsprach."
"136","Mit diesen beiden <#MET Beispielen #> schilderte Jeanette Hoffmann ihr ""digitales Dilemma"", das am Wochenende zum Gegenstand einer Tagung der Heinrich-Böll-Stiftung geworden war."
"137","Manchmal freilich hat man eher den Eindruck, als sei die Wirklichkeit nur ein Plagiat, die billige, bestenfalls kongeniale <#MET Kopie #> einer längst anderswo ausgebrüteten Idee."
"138","Und hatte man nicht auch versucht, dem Konkurrenten Sat 1 die Show zu stehlen, indem unter höchster Geheimhaltung das Plagiat noch vor dem <#MET Original #> ins Programm gehoben worden war?"
"139","Tatsächlich gibt es nicht nur <#MET Gemeinsamkeiten #> zwischen den beiden Potters."
"140","Als Johanna Palm dem Erzähler erklärt, er sehe ihrem Mann gerade in der ""Mundpartie"" ähnlich, und hinzufügt: ""Ihr Mund ist ein einziges Plagiat"", reflektiert sie gewissermaßen das <#MET Kompositionsprinzip #> des Romans, der mit dem ""Mund"" diverser Trivialgenres spricht."
"141","Da ihre <#MET Herkunft #> dunkel ist, wie sie immer wieder betont, kann sie sich nur im Schreiben verwirklichen - ein eigentümlicher Stromkreis der Kreativität."
"142","Auch Disneys Plagiat der Löwengeschichte erscheint in dieser <#MET Perspektive #> wie ein Rückkopplungseffekt."
"143","Eine Art Plagiat, <#MET Zitat #> oder der verfremdende Eingriff in vorhandene Bilder wird bei dieser Methode obligatorisch."
"144","Eine Art Plagiat, Zitat oder der verfremdende <#MET Eingriff #> in vorhandene Bilder wird bei dieser Methode obligatorisch."
"145","1977 dann entdeckte er auf der Frankfurter Frühjahrsmesse am Stand eines Herstellers aus Hongkong ein exaktes Plagiat seines Werkes - zu einem <#MET Bruchteil #> des Originalpreises."
"146","""Viele Menschen sehen das Plagiat immer noch als <#MET Kavaliersdelikt #> an"", klagt Christel Kluge."
"147","In den aktuellen Weltausstellungen taucht sie immer wieder auf, mal mehr <#MET Zitat #>, mal eher Plagiat."
"148","Er verliebt sich in die Schwester ihres Anführers, und einige Umwege später weiß O Conner nicht mehr, wem er die Treue halten soll - dem von hemdsärmeligen Vorgesetzten verkörperten Gesetz oder doch der neu gewonnenen <#MET Ersatzfamilie #>."
"149","Als herausragendes <#MET Beispiel #> gibt es hier eigentlich nur ""Der schweigende Stern"" zu nennen, Kurt Maetzigs Adaption des ""Astronauten""-Romans von Stanislaw Lem aus dem Jahr 1960."
"150","Staecks Vorwurf: Das Großflächenplakat an der <#MET Fassade #> des Konrad-Adenauer- Hauses sei ein Plagiat."
"151","""Da wurde unser geistiges <#MET Eigentum #> verändert, das ist ein Plagiat"", sagt Rudolf Grapenthin, einer der damaligen Wappen-Erfinder."
"152","Seit 1977 verleiht Busse jährlich den schwarzen Zwerg mit der goldenen Nase an Unternehmen, die <#MET Produkte #> nachahmen."
