"","noun","metaphor"
"105","Animationsserie",0
"106","Anklage",0
"107","anklagen",0
"108","Anlage",0
"109","Anlaß",0
"110","Anleihe",1
"111","Anleitung",0
"112","Anm",0
"113","Anmaßung",1
"114","Anmerkung",0
"115","Annahme",0
"116","Annullierung",0
"117","Anordnung",0
"118","anprangern",0
"119","Ansatz",0
"120","Anschein",0
"121","Anschuldigung",0
"122","Ansehen",0
"123","Ansicht",0
"124","Anspielung",1
"125","Anspruch",0
"126","ansteigen",0
"127","Anteil",1
"128","Antenne",0
"129","Anti",0
"130","antik",0
"131","Antike",0
"132","Antiquariat",0
"133","Antrag",0
"134","Antragsteller",0
"135","Antwort",0
"136","antworten",0
"137","Anwalt",0
"138","Anwälte",0
"139","Anwaltshonorare",0
"140","Anwendung",0
"141","Anwesenheitsquote",0
"142","Anzahl",0
"143","Anzeige",0
"144","Appropriation",1
"145","Ar",0
"146","Arbeit",0
"147","Arbeit|Arbeiten",0
"148","Arbeitslose",0
"149","Arbeitsplatz",0
"150","Arbeitstechnik",0
"151","Arbeitsvertrag",0
"152","Arbeitsweise",0
"153","Archäologe",0
"154","Archäologie",0
"155","Architekt",0
"156","Architektur",0
"157","Archiv",0
"158","Arène",0
"159","Ärger",0
"160","Argument",0
"161","Argumentation",0
"162","Arie",0
"163","Arpeggione",0
"164","Arrangement",1
"165","Arsch",0
"166","Art",0
"167","Artenschutz",0
"168","Artikel",0
"169","Ärztekollegium",0
"170","ASBOs",0
"171","Aspekt",0
"172","Ästhetik",0
"173","AstroPhysiker",0
"174","Atmosphäre",0
"175","attribution",0
"176","Au",0
"177","Aufbereitung",1
"178","Aufdeckung",0
"179","Aufdruck",0
"180","Aufenthalt",0
"181","Auffassung",0
"182","Auffinden",0
"183","Aufführung",0
"184","Aufgriff",1
"185","Aufklärung",0
"186","Auflage",0
"187","Auflösung",0
"188","Aufmachung",0
"189","Aufrichtigkeit",0
"190","Aufsatz",0
"191","Aufschreiber",0
"192","Aufsehen",0
"193","aufsehenerregend",0
"194","aufspüren",0
"195","Auftrag",0
"196","Auftraggeber",0
"197","auftreten",0
"198","Auftreten",0
"199","Auftritt",0
"200","Auftrittsszene",0
"201","Aufwand",0
"202","Aufzählung",1
"203","Auge",0
"204","Augenblick",0
"205","Augustin",0
"206","aus",0
"207","Ausarbeitung",1
"208","Ausbeutung",1
"209","Ausbildungsunternehmen",0
"210","Ausdruck",0
"211","Ausdrucksmöglichkeit",0
"212","Auseinandersetzung",1
"213","Ausfallhonorar",0
"214","Ausführung",0
"215","Ausgabe",0
"216","Ausgang",0
"217","Ausgangspunkt",0
"218","Ausgleichszahlung",0
"219","Auskunft",0
"220","Ausland",0
"221","Ausleihe",1
"222","Ausmaß",0
"223","Ausnahme",0
"224","Aussage",0
"225","Ausschluß",0
"226","Ausschnitte",0
"227","Außenseite",0
"228","Äußerung",0
"229","Aussichtsterrasse",0
"230","Aussteller",0
"231","Ausstellung",0
"232","Austausch",0
"233","Auswahlbildschirms",0
"234","Auszug",1
"235","Authentizität",0
"236","Authentizitätsnachweis",0
"237","Auto",0
"238","Autobiografie",0
"239","Automarke",0
"240","Automobilbereich",0
"241","Autor",0
"242","Autorenkollektiv",0
"243","Autorin",0
"244","Autorinne",0
"245","Autorschaft",0
"246","Autounfall",0
"247","B.",0
"248","Bad-",0
"249","Bahn",0
"250","Baigent",0
"251","Ballard",0
"252","Balthasar",0
"253","Band",0
"254","Bandbreite",0
"255","Bär",0
"256","Basnage",0
"257","Bau",0
"258","Bauernopfer",0
"259","Baumarkt",0
"260","Bauwerk",0
"261","Bd",0
"262","Beamter",0
"263","Bearb",0
"264","Bearbeitung",1
"265","Beatl",0
"266","Becher",0
"267","Bedenken",0
"268","Bedeutung",0
"269","Bedingung",0
"270","Bedrohung",0
"271","Befragung",0
"272","Begabung",0
"273","Begasschen",0
"274","Beginn",0
"275","Begriff",0
"276","Begründung",0
"277","Begutachtung",0
"278","Behauptung",0
"279","Beibehaltung",1
"280","Beifall",0
"281","Beiprogramm",0
"282","Beispiel",1
"283","Beispiele",1
"284","beispielhaft",0
"285","Beitrag",0
"286","Bekämpfung",0
"287","Bekleidung",0
"288","Belagerung",0
"289","belangen",0
"290","Bemerkung",0
"291","Benutzer",0
"292","Benutzung",0
"293","Beobachter",0
"294","Beobachtung",0
"295","Bereich",0
"296","Berg",0
"297","Bericht",0
"298","Berichterstattung",0
"299","Bernsteinzimmer",0
"300","Beruf",0
"301","Berufsfehler",0
"302","Beschädigung",0
"303","Beschimpfung",0
"304","Beschlagnahmung",1
"305","Beschluß",0
"306","Beschneidung",1
"307","Beschönigung",1
"308","Beschreibung",1
"309","Beschuldige",0
"310","Beschuldigter",0
"311","Beschwerde",0
"312","Besetzungskünstler",0
"313","Besitzerin",0
"314","Besitzerwechsel",1
"315","besprechen",0
"316","Bestandteil",1
"317","Bestechung",0
"318","Besteige",0
"319","Bestimmung",0
"320","Bestrafung",0
"321","Bestseller",0
"322","Bestsellerautor",0
"323","Besuch",0
"324","Besucher",0
"325","Beteiligter",0
"326","Betrachtung",1
"327","Betreuung",0
"328","Betriebssystem",0
"329","betroffen",0
"330","betrug",0
"331","Betrug",1
"332","Betrüger",1
"333","Betrugsmeldung",0
"334","Better",0
"335","beugt",0
"336","Bevölkerung",0
"337","Bewegungskombination",0
"338","Beweis",0
"339","Bewerber",0
"340","Bewertung",0
"341","Bewunderer",0
"342","Bezeichnung",0
"343","Beziehung",0
"344","Bezirksversammlung",0
"345","Bezug",0
"346","Bibliothek",0
"347","Bibliothekar",0
"348","Biege",0
"349","Bigamie",0
"350","Bild",0
"351","Bildfälschung",1
"352","Bildfläche",0
"353","Bildgestaltung",0
"354","Bildsprache",0
"355","Bildung",0
"356","Bildungsministerin",0
"357","Bildungsministerium",0
"358","Bildungsproblem",0
"359","Bildungsrepublik",0
"360","Bildungswesen",0
"361","Billigung",0
"362","Biografie",0
"363","Biographie",0
"364","Blatt",0
"365","Blattfedergabel",0
"366","Blick",0
"367","Blickwinkel",0
"368","Blindheit",0
"369","Blog",0
"370","Blogeintrag",0
"371","Bloggerin",0
"372","Blogsphäre",0
"373","Blut",0
"374","Bodenschutzrecht",0
"375","Bombe",0
"376","Bosatlas",0
"377","Botschaft",0
"378","Bouhours",0
"379","Boutique",0
"380","Box|Paradoxen",0
"381","Brasilianerin",0
"382","Brauerei",0
"383","Brauns",0
"384","Bravour",0
"385","Bremen",0
"386","Bremse|Mommsen",0
"387","Brettspiel",0
"388","Brief",0
"389","Briefköpfen",0
"390","Briefwaage",0
"391","Brockhaus",0
"392","Bruch",0
"393","Bruchteil",1
"394","Bruder",0
"395","Buch",0
"396","Buchautor",0
"397","Buchhandel",0
"398","Büchner",0
"399","Buchtip",0
"400","Buggies",0
"401","Bühne",0
"402","Bühnenbildner",0
"403","Bühnenwerk",0
"404","Bundesbildungsministerin",0
"405","Bundesgerichtshof",0
"406","Bundesinnenminister",0
"407","Bundesinnenministerium",0
"408","Bundeskanzler",0
"409","Bundeskanzlerin",0
"410","Bundesland",0
"411","Bundesministerin",0
"412","Bundesratsvorlage",0
"413","Bundesregierung",0
"414","Bundesstaat",0
"415","Bundestagspräsident",0
"416","Bundesverteidigungsminister",0
"417","Bürger",0
"418","Bürgerbegehren",0
"419","Bürgerinitiative",0
"420","Bürgermeister",0
"421","Burschen",0
"422","Busineß",0
"423","Businessplan",0
"424","Buzzer",0
"425","Campus",0
"426","CD",0
"427","Chance",0
"428","Chanson",0
"429","Charakter",0
"430","Charts",0
"431","Chicagoer",0
"432","Chiffons",0
"433","Chiromantie",0
"434","Christel",0
"435","Citroën",0
"436","Clouzot",0
"437","Collage",1
"438","Comic",0
"439","Commercium",0
"440","Commerzbank_will_Consors_kaufen",0
"441","Computergegner",0
"442","Computerspiel",0
"443","Container",0
"444","Content",0
"445","Copy/Paste",1
"446","Copy&Paste",1
"447","Copyright",0
"448","Copyscape",1
"449","Cousine",0
"450","Cover",1
"451","Coverversion",1
"452","Coverversionen",1
"453","Cremig",0
"454","d",0
"455","Daialekt",0
"456","Dame",0
"457","Dämon",0
"458","Dampf",0
"459","Dank",0
"460","Dante",0
"461","Darsteller",0
"462","Das_zarte_Nuschel",0
"463","Datenmanipulation",1
"464","Datenmissbrauch",1
"465","Datenschutz",0
"466","Datum",0
"467","Dauer",0
"468","Dauerausstellung",0
"469","Debatte",0
"470","Decamerone",0
"471","Definition",0
"472","Dekorstoff",0
"473","Demmler",0
"474","Denken",0
"475","Denkfabrik",0
"476","Derbrüsslerplage",0
"477","design",0
"478","Design",0
"479","DesignZentrum",0
"480","Detail",0
"481","deutsch",0
"482","Deutschlandbild",0
"483","Dialoge",0
"484","Diätberaterin",0
"485","Dichter",0
"486","Dichterkollegen",0
"487","Dichtung",0
"488","Diebesgut",1
"489","Diebstahl",1
"490","Diebstahls",1
"491","Dienst",0
"492","Digitalisierung",0
"493","Diktion",0
"494","Dimensien",0
"495","Dimension",0
"496","Ding",0
"497","Diplomarbeit",0
"498","Diplomkauf",0
"499","Diplomvorprüfung",0
"500","Dirigentenjubiläum",0
"501","Diskussion",0
"502","Diskussionsentwurf",0
"503","Disput",1
"504","Disputation",1
"505","Dissertation",0
"506","Distanz",0
"507","Disziplinarverfahren",0
"508","Dn9",0
"509","Dogma",0
"510","Doktor",0
"511","Doktorand",0
"512","Doktorarbeit",0
"513","Doktorgrad",0
"514","Doktortitel",0
"515","Doktorvater",0
"516","Dokument",0
"517","Dokumentation",0
"518","dollar",0
"519","Donizetti",0
"520","Doppelschöpfung",1
"521","Dozent",0
"522","Dozente",0
"523","Dr.",0
"524","Dr.arbeit",0
"525","Drama",0
"526","Dramolette",0
"527","Drang",0
"528","Dream",0
"529","Drehbeginn",0
"530","Drehbuch",0
"531","Drehbuchautor",0
"532","Drehort",0
"533","drei",0
"534","Dreistigkeit",1
"535","Drittmittel",0
"536","Druck",0
"537","Druckplatte",0
"538","Dübel",0
"539","Duell",0
"540","Duldung",0
"541","Duo",0
"542","Duplikat",1
"543","Durchsetzung",1
"544","E",0
"545","Ebene",0
"546","echte",1
"547","egal",0
"548","Ehe",0
"549","Ehebruch",0
"550","Ehemann",0
"551","Ehre",0
"552","Ehre|Ehren",0
"553","Ehrenbekundung",0
"554","Ehrenmitglied",0
"555","Ehrverletzung",1
"556","eigen",0
"557","Eigenart",1
"558","eigene",0
"559","Eigenständigkeit",1
"560","Eigenten",0
"561","Eigentum",1
"562","Eigentümer",1
"563","Eigentums",1
"564","Eigentumsbegriff",1
"565","Eigentumsdelikt",1
"566","Eigentumsrechte",1
"567","ein",0
"568","Einbau",1
"569","Eindringlichkeit",0
"570","Eindruck",0
"571","Einengung",0
"572","Einfluß",1
"573","einfügen",0
"574","Einführung",1
"575","Eingang",1
"576","Eingeständnisse",0
"577","Eingriff",1
"578","Einheitenvielfalt",0
"579","Einholung",0
"580","Einigung",0
"581","Einleitung",0
"582","einreichen",0
"583","Eins-zu",0
"584","Einsatz",0
"585","Einspruch",0
"586","Einsprüchen",0
"587","Einstein",0
"588","Einstellung",0
"589","Einstellungssache",0
"590","Eintrag",0
"591","Eintritt",0
"592","Einwerbung",0
"593","einzeln",0
"594","Eismeer",0
"595","Eklat",0
"596","Elan",0
"597","Elektrogerat",0
"598","Elektronikbereich",0
"599","Element",0
"600","Emanuelle",0
"601","Emotion",0
"602","Empfehlung",0
"603","Encylopédie",0
"604","Ende",0
"605","Endeffekt",0
"606","Endemol",0
"607","Endler",0
"608","Endverbraucher",0
"609","Engagement",0
"610","Entdeckung",0
"611","Enthaltung",0
"612","Enthüllung",0
"613","Entlehnung",1
"614","Entschädigung",0
"615","Entscheidung",0
"616","Entschließung",0
"617","Entschlüsselung",0
"618","Entschuldigung",0
"619","entsprechend",0
"620","Entstehung",0
"621","Entstellung",1
"622","Enttäuschung",0
"623","Entwickler",0
"624","Entwicklung",1
"625","Entwurf",1
"626","Entziehung",1
"627","Entzug",1
"628","Enzyklopädie",0
"629","Epigon",1
"630","Epigonalität",1
"631","Epigramm",0
"632","Episode",0
"633","Epoche",0
"634","Erbengemeinschaft",0
"635","Erbringung",0
"636","Erde",0
"637","Ereignis",0
"638","Erfahrung",0
"639","Erfinder",0
"640","Erfolg",0
"641","Erfolgsaussicht",0
"642","Erforschung",0
"643","Ergebnis",0
"644","Ergo",0
"645","Erhebung",0
"646","erinnern",0
"647","Erinnerung",0
"648","erkennen",0
"649","Erkenntnis",0
"650","Erkennung",0
"651","Erklärung",0
"652","Erlaubnis",0
"653","Ermessensspielraum",0
"654","Erotik",0
"655","Erpresserbriefe",0
"656","Ersatzfamilie",1
"657","Ersatzteil",1
"658","Erschaffung",1
"659","erscheinen",0
"660","Erscheinungsjahr",0
"661","erst",0
"662","Erstaufführung",1
"663","Erstgeburtsrecht",0
"664","Erstlingswerk",1
"665","Erwachen",0
"666","erwahn",0
"667","Erwiderung",1
"668","Erzählung",1
"669","Erzbistum",0
"670","erzeugen",0
"671","Essay",1
"672","Essen",0
"673","Europaabgeordnet",0
"674","Eurovision",0
"675","Examensarbeit",0
"676","Exemplar",1
"677","Exil",0
"678","Exmatrikulation",0
"679","Exmatrikulationsgrund",0
"680","Exodusgott",0
"681","Experte",0
"682","Expertin",0
"683","Expertise",1
"684","Export",1
"685","Extraktion",1
"686","Extremfall",0
"687","Exzerpt",1
"688","Exzeß",0
"689","Fabrikation",1
"690","Fabrikhalle",0
"691","Fachhochschulprofessor",0
"692","Fachkollegen",0
"693","Fachleute",0
"694","Fahlanreize",0
"695","Fähnchen",0
"696","Fahndung",0
"697","Fahndungserfolg",0
"698","Fahrlässigkeit",1
"699","Fahrrad",0
"700","Fahrradbeleuchtung",0
"701","Fahrzeug",0
"702","Fahrzeugteil",0
"703","Faktor",0
"704","Faktum",0
"705","Fakultät",0
"706","Fakultätsrat",0
"707","fall",0
"708","Fall",0
"709","Fäll",0
"710","Fall|Fällen",0
"711","Falle",0
"712","falsch",0
"713","Falschaussage",1
"714","Fälscher",1
"715","Fälschung",1
"716","Falschvorstellung",0
"717","Familie",0
"718","Fan",0
"719","Fanfiction",1
"720","Farbkontraste",0
"721","Faschismus",0
"722","Fassade",1
"723","Fassung",1
"724","Fazit",0
"725","Feder",0
"726","Feder|Federn",0
"727","Fehde",0
"728","Fehler",0
"729","Fehlverhalten",0
"730","Feldscheune",0
"731","Felsnische",0
"732","Fender",0
"733","Fenster",0
"734","Fensterbrett",0
"735","Fernost",0
"736","Fernsehen",0
"737","Fernsehkritik",0
"738","Fernsehsendung",0
"739","Festivalregel",0
"740","Feststellung",0
"741","Feuer",0
"742","Feuilleton",0
"743","Fichtenbaum",0
"744","Fielding",0
"745","Figaro",0
"746","Figur",0
"747","Fiktion",1
"748","Filesharing",1
"749","Film",0
"750","Filmgesellschaft",0
"751","Filmhersteller",0
"752","Filmjournalist",0
"753","Filmkritiker",0
"754","Filmmonster",0
"755","Filmmusik",0
"756","Filmreihe",0
"757","Filmschule",0
"758","Filmscript",0
"759","Filmstudio",0
"760","Filmton",0
"761","Filmverleih",0
"762","Finale",0
"763","Finanzhilfe",0
"764","Finanzprofessor",0
"765","Firlefanz",1
"766","Firma",0
"767","Fischblase",0
"768","Fischer",0
"769","Fisher",0
"770","Fläche",0
"771","Flodder",1
"772","Floskel",0
"773","Flucht",0
"774","Flughafen",0
"775","Flugsalon",0
"776","Flugzeugteil",0
"777","Flut",0
"778","Folge",0
"779","Folgejahr",0
"780","Folgesingle",0
"781","Folgezeit",0
"782","Folk",0
"783","For",0
"784","Forderung",0
"785","Form",0
"786","Format",0
"787","Formel",1
"788","Formulierung",1
"789","Forscher",0
"790","Forschner",0
"791","Forschung",0
"792","Forschungsansätzen",0
"793","Forschungsergebnis",0
"794","Forschungsergebnisse",0
"795","Forschungsveröffentlichung",0
"796","Fortdichtung",1
"797","Fortführung",1
"798","Fortschritt",1
"799","Fortsetzung",1
"800","fortwo",0
"801","Foto",0
"802","Fotografie",0
"803","Fr",0
"804","Frage",0
"805","Fraktion",1
"806","Frau",0
"807","Frauen",0
"808","Freiexemplar",1
"809","Freiheit",1
"810","Freiheitsstraf",0
"811","Fremdautor",0
"812","Fremdtext",1
"813","Fremdwörter",1
"814","Freud",0
"815","Freund",0
"816","Freundes",0
"817","Freundschaft",0
"818","Front",0
"819","Fruit",0
"820","Führung",0
"821","Fülle",0
"822","Fundstelle",1
"823","Fundus",0
"824","fünfziger",0
"825","Funktion",0
"826","Funktionalismus",0
"827","Funktionalität",0
"828","Fusionsberichterstattung",0
"829","Fußballer",0
"830","Fußboden",0
"831","Fußnot",1
"832","Fußnote",1
"833","füttert",0
"834","ganz",0
"835","Ganz",0
"836","Ganze",0
"837","Gartenstadt",0
"838","Gärtner",0
"839","Gärtners",0
"840","Gast",0
"841","Gebiet",0
"842","Gebot",0
"843","Gebrauch",0
"844","Gebrauchsgrafiker",0
"845","Gebrüder",0
"846","Gedächtnis",0
"847","Gedanke",1
"848","Gedankengut",1
"849","Gedenkstätte",0
"850","Gedicht",1
"851","Gefahr",0
"852","Gefahrstoff",0
"853","Gefängnis",0
"854","Gefühl",0
"855","Gegebenheit",0
"856","Gegenklage",0
"857","Gegenkritik",1
"858","Gegenposition",1
"859","Gegensatz",1
"860","Gegenstand",1
"861","Gegenteil",1
"862","Gegenüberstellung",1
"863","Gegenwart",0
"864","Gegenwartsliteratur",0
"865","Gegenwehr",0
"866","Gegner",0
"867","Gehäuse",0
"868","Geheimhaltung",0
"869","Geheimnis",0
"870","Geist",0
"871","Geistesgut",1
"872","Geistestätigkeit",0
"873","Geisteswelt",0
"874","Geld",0
"875","Gelehrte",0
"876","Gemälde",0
"877","Gemeinde",0
"878","Gemeinsamkeit",1
"879","Gemeinsamkeite",0
"880","Gemeinschaftserfahrung",0
"881","Gemeinschaftskasse",0
"882","Gemisch",0
"883","Gemüt",0
"884","Genehmigung",0
"885","Generation",0
"886","Gentechnologie",0
"887","Gentrifizierung",0
"888","Geräusch",0
"889","Gericht",0
"890","Gerichtsbeschluß",0
"891","Gerichtsprozeß",0
"892","Gerichtsurteil",0
"893","Gerichtsverfahren",0
"894","Geruch",0
"895","Gerücht",0
"896","Gerümpel",0
"897","Gesamtfazit",1
"898","Gesang",0
"899","Gesangbuch",0
"900","Geschäft",0
"901","Geschäftemacherei",0
"902","Geschäftsmann",0
"903","Geschäftsmodelle",0
"904","Geschehen",0
"905","Geschehnis",0
"906","Geschenken",0
"907","Geschenkökonomien",0
"908","Geschichte",0
"909","Geschmacksmuster",1
"910","Geschmacksmusterrecht",1
"911","Gesetz",0
"912","Gesetzentwurf",0
"913","Gesicht",0
"914","Gespräch",0
"915","Gestalt",1
"916","Gestalterin",0
"917","Gestaltung",1
"918","Gesülze",0
"919","Gesundheitszentrum",0
"920","Gewehrschuß",0
"921","Gewinn",0
"922","Gewinnerkampagne",0
"923","Gewinnertitel",0
"924","Ghostwriter",1
"925","Ghostwriting",1
"926","Girlgroup",0
"927","Gitarr",0
"928","Gitarre",0
"929","Gitarrenpassage",0
"930","gleich",0
"931","Gleichsetzung",1
"932","Glock",0
"933","Glück",0
"934","Glückwunsch",0
"935","Gott",0
"936","Grad",0
"937","Graf",0
"938","Grafik",0
"939","Grammatikfehler",1
"940","Grant",0
"941","Gräuel",1
"942","Grauzone",1
"943","Grenze",0
"944","groß",0
"945","Großpartei",0
"946","Großteil",0
"947","grün",0
"948","Grund",0
"949","gründen",0
"950","Gründer",0
"951","Grundlage",0
"952","Gründlichkeit",0
"953","Grundrent",0
"954","Grundsatz",0
"955","Grundwese",0
"956","Grüne",0
"957","Gruppe",0
"958","gut",0
"959","Gut",0
"960","Gutachten",1
"961","Gutachter",0
"962","GuttenPlag",0
"963","Habilitation",0
"964","Habilitationsschrift",0
"965","Hafen",0
"966","Hahn",0
"967","Hälfte",0
"968","haltlos",0
"969","Haltungsfrage",0
"970","Hand",0
"971","Handel",0
"972","Händel",0
"973","Handelnde",0
"974","Handelskrieg",0
"975","Handelsmünze",0
"976","Handelspirat",0
"977","Handfest",0
"978","Handhabe",0
"979","Handy",0
"980","hängen",0
"981","Hardcover",0
"982","Häresie",0
"983","Häufigkeit",0
"984","Hauptfigur",0
"985","Hauptgebäude",0
"986","Hauptstadt",0
"987","Hauptthem",0
"988","Hauptverhandlung",0
"989","Hauptwerk",1
"990","Haus",0
"991","Hausarbeit",1
"992","Haushaltsware",0
"993","Haut",0
"994","Heck",0
"995","Heer",0
"996","Heerhugowaard/Noord-",0
"997","Heft",0
"998","Hehl",0
"999","Heiterkeit",0
"1000","Held",0
"1001","Heldengruppe",0
"1002","Helfer",0
"1003","Hellenismus",0
"1004","Heraklit",0
"1005","herausgeben",0
"1006","Herausgeber",0
"1007","Herkunft",1
"1008","Herkunftsangabe",0
"1009","Hermann",0
"1010","Herr",0
"1011","Hersteller",0
"1012","Herstellung",1
"1013","Hertiecaster",0
"1014","hervorgehobe",0
"1015","Hexenjagd",0
"1016","Hilfe",0
"1017","Hilfestellung",0
"1018","Hilfsmittel",1
"1019","Himmel",0
"1020","Hinsicht",0
"1021","Hintergrund",0
"1022","Hinweis",1
"1023","Hinzuziehung",1
"1024","hip",0
"1025","Historiker",0
"1026","Historikerkommission",0
"1027","Hit",0
"1028","Hobbit",0
"1029","Hochschule",0
"1030","Hochschulen",0
"1031","Hochschullehrer",0
"1032","Hochschullehrerin",0
"1033","Hochschulverband",0
"1034","Hochstapelei",0
"1035","Höchstgeschwindigkeit",0
"1036","Hofdichter",0
"1037","Hoffnung",0
"1038","Hogarth",0
"1039","Höhe",0
"1040","Höhepunkt",0
"1041","Holz",0
"1042","Homage",0
"1043","Homepage",0
"1044","Hommage",0
"1045","Homosexualität",0
"1046","Hop",0
"1047","Horrorfilm",0
"1048","Horrorkomödie",0
"1049","Hörsal",0
"1050","House",0
"1051","Houssaye",0
"1052","Howard",0
"1053","Hr",0
"1054","http://www.bundesregierung.de/Content/DE/Archiv16/Podcasts/2008/2008-04-26-Video-Podcast/2008-04-26-video-podcast.html",0
"1055","http://www.schwaebische.de/region/sigmaringen-tuttlingen/tuttlingen/stadtnachrichten-tuttlingen_artikel,-Plagiator-JU-Chef-Bach-kopiert-zu-Guttenberg-_arid,5036798.html",0
"1056","Humane",0
"1057","Humorist",0
"1058","hundert",0
"1059","Hut",0
"1060","Hybrid",1
"1061","Hypotext",1
"1062","ich",0
"1063","Idee",1
"1064","Ideendiebstahl",1
"1065","Ideenklau",1
"1066","Ideenklaus",1
"1067","Ideenmangel",1
"1068","Identifikation",1
"1069","Identifikationsmarker",1
"1070","identifizieren",1
"1071","Identifizierung",1
"1072","Identitäten",1
"1073","illustriert",1
"1074","Imageproblem",0
"1075","Immaterialgüterrecht",0
"1076","Importeur",1
"1077","Impressum",0
"1078","Improvisation",1
"1079","Inanspruchnahme",1
"1080","Inbrunst",0
"1081","Individuelle",0
"1082","Indiz",0
"1083","Industrie",0
"1084","Information",0
"1085","Informatione",0
"1086","Infotelefon",0
"1087","Inhaber",0
"1088","Inhalt",1
"1089","Initiative",0
"1090","Initiator",0
"1091","Innenausschuß",0
"1092","Innenlager",0
"1093","Innenminister",0
"1094","Innenraum",0
"1095","Innenseite",0
"1096","Innovation",1
"1097","insofern",0
"1098","Inspiration",1
"1099","Instanz",0
"1100","Instapoet",0
"1101","Institut",0
"1102","Institutsdirektor",0
"1103","Instrument",0
"1104","Inszenierung",1
"1105","Integrität",0
"1106","Intellektuelle",0
"1107","Intellektuellenfeindlichkeit",0
"1108","Intellektuellenmilieu",0
"1109","Intendant",0
"1110","Intensivprogramm",0
"1111","Intention",0
"1112","Interesse",0
"1113","Internet",0
"1114","Internet-basierter",0
"1115","Internetprovider",0
"1116","Internets",0
"1117","Internetseite",0
"1118","Interpret",1
"1119","Interpretation",1
"1120","Intertext",1
"1121","Intertextualität",1
"1122","Intertextualitätsforschung",0
"1123","Interview",0
"1124","Inverkehrbringungserlaubnis",0
"1125","iPad",0
"1126","Irakdossier",0
"1127","Irritation",1
"1128","Isolierkanne",0
"1129","Italiener",0
"1130","Jacobsohn",0
"1131","Jagd",0
"1132","Jagemann",0
"1133","Jahr",0
"1134","Jahressteuergesetz",0
"1135","Jahreswechsel",0
"1136","Jahrhundert",0
"1137","jährigen",0
"1138","jamais",0
"1139","Japanerin",1
"1140","Jauche",1
"1141","Jazz",0
"1142","Jesuitenpater",0
"1143","Journal",0
"1144","Journalist",0
"1145","Journaliste",0
"1146","jung",0
"1147","Jungautorin",0
"1148","Junge",0
"1149","Jungsein",0
"1150","Jungsteinzeit",0
"1151","Jupiter",0
"1152","Jurist",0
"1153","Jury",0
"1154","Kaden",0
"1155","Kaiser",0
"1156","Kalkscheune",0
"1157","käm",0
"1158","Kammer",0
"1159","Kampagne",0
"1160","Kanton",0
"1161","Kapellenturm",0
"1162","Kapitel",0
"1163","Karosseriedesign",0
"1164","Karosserieform",0
"1165","Karriere",0
"1166","Karrieredruck",0
"1167","Karte",0
"1168","Kasper",0
"1169","Kassenschlager",0
"1170","Katalog",0
"1171","Kategorie",0
"1172","Kategorisierung",0
"1173","Katholik",0
"1174","Kauf",0
"1175","Kavaliersdelikt",1
"1176","Kellersohn",0
"1177","Kenntlichmachung",1
"1178","Kenntnis",1
"1179","Kennzeichnung",1
"1180","Kern",1
"1181","Kettenreaktion",0
"1182","Kind",0
