"","x"
"15","hoi schatzeli. hesch en guete tag? i gang hüt obig no zum böpel go fondue essä, isch okay für di?[1-10] jo mach das!!![11-14]"
"16","phuu gschafft bi öppä am halbi dobä![1-6] okay denn bisch jo glich nöd so lang gstandä[7-15]"
"17","jo i mue d kassä no machä und ha no so en depp do[1-6] okay lönd mer geltà[7-10] bi am 7 dobä![11-15]"
"18","Standort: http://maps.google.com/?q=47.NNNNN,7.NNNNNN[1-2] Dän chumi zo dir okay?[3-8] Jap[9-9] Aber bisch chli zfrüeh wenn scho zrothrist bisch[10-17]"
"19","Aber ich han si zu 90% ^^ kei ahnig öb das en guete prozentsatz ish, aber es ish okay ;-)[1-8] Und: 2 bayern fans ^^[9-14]"
"20","redactedQ4tokens24characters[1-1] miervgwbed ihm boeso[2-4] hhah ä okay gruppe[5-8] hahaha[9-9] ognedwie trinki sitm<br/>dunntsitig[10-13]"
"21","Ich wünsch dr na en  ganz en guete rutsch ines erfolgriichs nois jahr!!! emojiQsmilingFaceWithOpenMouthAndSmilingEyes  emojiQpartyPopper  emojiQsmilingFaceWithSmilingEyes[1-4] redactedQ29tokens169characters[5-5] Ah okay, denn wünsch dr na en guete schlussspurt bim lerne!!! emojiQsmilingFaceWithSmilingEyes[6-19]"
"22","han jo gfroget ob du ihm no schriibsch?[1-6] okay. den frog i no nochä, obs überhaput stattfindet. s wetter gseht nöd so schlecht us am sunntig. chli chüel aber trochä.[7-33]"
"23","Ah ja genau, bevor ichs vergiss... Möchtsch jezt mal eine vo dene angry birds softdrinks probiere?<br/>Ich wür dr suscht morn mal eine mitneh... emojiQsmilingFaceWithOpenMouthAndSmilingEyes[1-4] redactedQ40tokens211characters[5-5] Ah okay... Und wenn d suscht na irgendwenn chönntisch, seisch mrs eifach...[6-20]"
"24","Sowohl nach kondi als au nach chraft?[1-2] redactedQ2tokens11characters[3-3] redactedQ4tokens23characters[4-4] redactedQ5tokens32characters[5-5] :-D okay[6-7] ^^ denn hanich dich etzt gnueg beläshtigt[8-14]"
"25","Aber han 10 min bisi z wil am bhf bi[1-5] ah okay :)[6-8] Am zistig wieder dütschland  emojiQsmilingCatFaceWithHeartShapedEyes  emojiQregionalIndicatorSymbolLettersDe[9-14]"
"26","Heei!! Ich mues am samschtig für eini iispringe ide spotschicht!! Das heisst ich chan ned cho, falses jetz doch no tickets gäh hetti!![1-4] Ja isch okay. Anderi frag, gasch du das jahr as st. Galle?[5-19]"
"27","jo wär chli blöd gsi...  emojiQfaceWithStuckOutTongueAndTightlyClosedEyes  okay naja den tueni d chuchi machä und d chleider wäschä und zämä legä... mach sowiet wie i chan![1-27]"
"28","chum erst am halbi use[1-3] aso 21.48 zug[4-6] okay.[7-8] denn chum i spöter.[9-13]"
"29","die hend gaaanz liecht glitzer und sind french weisch weli?[1-6] okay[7-7] chostet 19.90[8-9] supi. denn langets.[10-14]"
"30","okey!!! wünsch dir en guete tag! lieb di[1-5] Isch okay. S mami überwiest dir NNNN.-[6-13]"
"31","i hinderleg im sv äs couvert mit geld demit du no chasch was z nacht holä isch guet?[1-6] okay.[7-8] tierarzt isch okay.[9-12]"
"32","jo mit de lösige macht da nüt. eifach damit i biz besser vora chum...[1-6] okay[7-7] jo viellicht hani de samschtig defür ziit[8-14]"
"33","nei. d mama isch nonig do.[1-6] okay[7-7] chasch de mama sege i chum mitm bus[8-15]"
"34","jo aber i ha kein plan!!!![1-6] okay[7-7] was kein plan wied muesch fahrä?[8-14]"
"35","redactedQ5tokens22characters[1-1] Noin mal pause ish sho okay[2-7] redactedQ8tokens49characters[8-8] :-D[9-9] Ich han ned wele id vorlesig, han darums züg agfange dihei lese, hans glese, bin immerno rechtziitig dra xi fürd vorlesig ^^[10-34]"
"36","Wen ich gewinna dan hohl ich mir den koffer 2mol okay?[1-8] redactedQ2tokens10characters[9-9] redactedQ1tokens1characters[10-10] Den habe ich NNN punkte<br/>Und 2koffer = NNN punkte[11-21]"
"37","mediaQremoved[1-1] mediaQremoved[2-2] weles?[3-4] redactedQ2tokens10characters[5-5] redactedQ3tokens14characters[6-6] okidoki[7-7]  emojiQthumbsUpSign[8-8] redactedQ1tokens1characters[9-9]  emojiQwinkingFace  emojiQfaceThrowingAKiss[10-11] redactedQ1tokens2characters[12-12]"
"38","han idenkt[1-1] ha den d kimbi usägjagd[2-6] okay i bring si denn wieder mit[7-13]"
"39","emojiQpensiveFace  denn mach i mir no selber öppis.[1-2] jo sorry[3-4] isch doch okay.[5-8] bisch jo au scho länger diheim[9-14]"
"40","Nd sag jz ehrloch emojiQfaceWithTearsOfJoy[1-3] redactedQ9tokens40characters[4-4] Hahaha hahahahha okay emojiQfaceWithTearsOfJoy  emojiQfaceWithTearsOfJoy[5-9] redactedQ1tokens3characters[10-10] redactedQ7tokens30characters[11-11] Ka hahah solang wie du willsh/maagsxh...^_^[12-21]"
"41","Ich weiss... Was machsch du?[1-4] redactedQ17tokens66characters[5-5] Ah okay... Denn gseht mr dich ja scho bald widr... emojiQsmilingFaceWithOpenMouthAndTightlyClosedEyes[6-18]"
"42","ah cool:)<br/>Was möchtsch ässe? Mi hetted no pasta, tomatesauce und en gruyère, für mich wärs eigentlich okay wenn mer eifach pasta mached. Oder hesch uf öppis anders luscht?  emojiQsmilingFaceWithHalo[1-21]"
"43","redactedQ4tokens16characters[1-1] redactedQ2tokens7characters[2-2] Hahaha emojiQwhiteSmilingFace  emojiQwhiteSmilingFace[3-5] Haaha okay :D[6-8] redactedQ1tokens2characters[9-9] Wms? :)[10-12]"
"44","sind bim fürabebier gsi uf de nidair terrasse... etzt no is pub. du? han frei morn emojiQsmilingFaceWithSmilingEyes[1-2] redactedQ1tokens5characters[3-3] redactedQ3tokens12characters[4-4] redactedQ3tokens12characters[5-5] redactedQ2tokens8characters[6-6] okay[7-7] redactedQ4tokens17characters[8-8] redactedQ1tokens1characters[9-9] weissi nonig[10-11] redactedQ6tokens23characters[12-12]"
"45","Ja ich glaubes[1-3] ^^ bin glab okay dra, ish aber recht shwirig izshätze[4-14]"
"46","wenn bisch du öppä z heri  emojiQpig[1-1] bi am 18:54 in herisau[2-6] okay. i wart bim wiesental.[7-13]"
"47","aber ich chan ned lang blibe[1-6] okay[7-7] wo bish[8-9] chume grad han grad uss[10-14]"
"48","das hemmer gnueg oft gmacht:D sie luegt ihn denn immer ah denn fregt er: staht die uf mich denn fangi a lache denn wirder mega root emojiQfaceWithTearsOfJoy[1-5] haha okay  emojiQokHandSign  emojiQpersonRaisingBothHandsInCelebration[6-9] hahaahahaha emojiQfaceWithTearsOfJoy  nachher chemeds echt zemme[10-15]"
"49","Also im april oder mai ^^[1-5] Joa okay ^^ denn phatish au d bikini figur[6-14]"
"50","Das glaub ich dir gern... Abr mir händ ja au kei frriziit und kei kollege... Drum isch das ja okay... emojiQsmilingFaceWithOpenMouthAndSmilingEyes  Händer denn na vill am wucheend?<br/>Voll ja, das kennt glaubs au jede, wenn es praktikum nöd funktioniert odr z wenog output det isch...<br/>Ich beniide oi mediziner teilwiis echt, abr so grundsäzlich händers ja au nõd eifacher wie mir...<br/>D prüefig vo de pflanze isch denn am fritig und am nächschte mittwuch<br/>hani na e probeprüefig i bwl...<br/>Ich därf also na en huufe lerne.[1-83]"
"51","Heshes no? :D[1-1] redactedQ2tokens5characters[2-2] Oki :)[3-4] redactedQ5tokens27characters[5-5] Hahahah okay[6-7] redactedQ5tokens19characters[8-8] Jiap :)[9-10] redactedQ1tokens2characters[11-11] :))[12-12]"
"52","Aber jetz gsehni es hetti en url[1-5] Alrighty[6-6] okay[7-7] Maybe[8-8] An intense 2 hour friendship[9-13]"
"53","ha den no mit de bommeli gredt verzells dir den!  emojiQfaceWithStuckOutTongueAndTightlyClosedEyes[1-6] okay.[7-8] weisch weli oder?[9-12]"
"54","Wenn es noch tickets gibt chan loan mitkommen, im gegenzug holt mich gotta am mittwoch etwa um 17:30 ab und wir gehen dan alleine noch mals ins kino, okay?<br/>Jetzt schauen wir ob es noch ein ticket für loan hat... Abr ich würde sehr gerne am mittwoch aleine mit meiner gotta ins kino gehen[1-34]"
"55","nöö zfest grindweh ha mol es paracetamol gnoh es halbs[1-6] okay. wenn defür denn schlofä chansch isch sicher guet[7-16]"
"56","Ich find di ersht vode andere beide recht wüesht[1-3] Di ander ish okay ;-)[4-8] redactedQ12tokens58characters[9-9] True[10-10] ;-)[11-11] redactedQ6tokens30characters[12-12]"
"57","Ich ha jezt mal wegem wellness aglütet und gseit, mir würed gern vom sunntig (29.6) die drü nächt gah. Si lüted mir denn morn na zrugg, ob das gaht, wills hüt eigentlich zue händ...<br/>Ich hoffe, das isch okay so für dich![1-11] Denn wünsch dr na en schöne sunntig und vill erfolg bim lerne![12-24]"
"58","chillig! mir gönd öppe innnere halbe stund los vo da.. teffed mir üs denn dete?[1-6] okay.[7-8] fix![9-10] sind i dä sansibar isch doch döt i dä nöchi?[11-21]"
"59","Nei carsten eich ned aber zude kollegin or sowas :)[1-5] aha okay :)[6-8] i han de ganz tag de schiller aglueget und wenner zruckglueget het hani ihn aglachet.. am schluss vom tag frogter so, wa denn eigentlich seg.[9-36]"
"60","sicher?[1-2] Jo...isch würklich okay.[3-8] I han min friedä![9-13]"
"61","Aaah :)<br/>Neei mir kennet üs underenand meistens ned wellmer nie was zeme ztue hend  emojiQgrinningFaceWithSmilingEyes[1-5] ah okay  emojiQsmilingFaceWithOpenMouth[6-8] I schlof mol  emojiQgrinningFaceWithSmilingEyes  emojiQseeNoEvilMonkey[9-13]"
"62","heii sini sind zchlii![1-3] hahaha garantiert ned[4-6] okay wennds ned akkzeptiere willsch[7-11] Zeeit emojiQheavyBlackHeart[12-13]"
"63","ha scho gessä! inerä halbä stund de bus isch mit vor de nasä abgfahrä![1-6] okay, denn mach i än alternativä. bis bald.[7-17]"
"64","ah oke[1-1] denn mach spöter :))[2-5] Alright[6-6] okay[7-7] Alright[8-8] okay[9-9] Hey mel[10-11] mediaQremoved[12-12]"
"65","Jo scho aber sie het jo do ihres zuegs wegem kat. Ned das er no ablit, wel sie het da limit wo de mech ihre geh het scho lang ueberschritte[1-6] okay[7-7] und de vom opa fahrt voll guet?[8-15]"
"66","Ja mir sind echt dolle erwachse[1-1] ;-)[2-2] redactedQ1tokens2characters[3-3] redactedQ5tokens32characters[4-4] :-) au okay[5-7] Au de betti sho oder nanig?[8-14]"
"67","Ah sooo[1-2] Jio ds ish ganz okay :)[3-8] redactedQ5tokens35characters[9-9] Oki emojiQvictoryHand  emojiQfaceWithTearsOfJoy  emojiQheavyBlackHeart  emojiQkissMark[10-14]"
"68","redactedQ4tokens21characters[1-1] Was wm?[2-4] redactedQ4tokens17characters[5-5] Ah okay... Sorry...[6-10] redactedQ3tokens14characters[11-11] redactedQ1tokens4characters[12-12]"
"69","Was weiss ich isch nur e bispil zum der sege wie wits wär[1-2] Öv isch ca. Glich[3-6] okay[7-7] het er gantwortet?[8-11] Nei noned, isch glaub e garage oder so drum denki nur a werktags[12-25]"
"70","Treffed ois am achti i de stadt. Chönd ja so am sibni ässe, okay?[1-8] Ich weiss nöd öb ichs uf di 7ni hei schaffe  emojiQconfusedFace[9-19]"
"71","Nei nonig ganz  emojiQgrinningFaceWithSmilingEyes<br/>Aber mach nüme viel  emojiQsmilingFaceWithOpenMouthAndSmilingEyes[1-5] haha okay  emojiQsmilingFaceWithOpenMouthAndSmilingEyes[6-8] Du bisch no ide badi?[9-14]"
"72","Okei. Ich red mal na mit de Emanuele :)[1-6] okay ich seg der denn wie d esthr ufs mail reagiert hed:)[7-19]"
"73","denk i werd morn go![1-6] okay. find i guet.[7-12]"
"74","neee stell dä wecker uf di halbi 7!!![1-6] okay suppi.[7-9] seen?[10-11] jepp[12-12]"
"75","meistens isch s e bin.  emojiQpileOfPoo  wenn s quadratzahle drin het also zum bispil x^2/16/NNN/z^2u^2 &' das zweimal damit e bin. formle drus chasch mache ;)[1-5] ahh okay merci[6-8] bim uuschlammere hets meistens vil buechstabe &'gmeinsami teiler vode zahle[9-20]"
"76","De eint isch arzt sportlerere spilt tennis fuessball isch am boxe und spielt basketball:0[1-5] wow okay[6-7] hahaha jaa gell raawrr emojiQtigerFace[8-12]"
"77","Isch ja geil *_* wie heissisch?9[1-3] haha [UserName][4-5] haha okay[6-7] mediaQremoved[8-8] Hett er ned schöni zäh :D[9-14]"
"78","machet mer en bett nomi?[1-6] okay. bin unterwägs[7-10] bin i 3 min dobä[11-15]"
"79","joaaa[1-1] es wird 7i[2-4] redactedQ6tokens30characters[5-5] redactedQ4tokens18characters[6-6] okidoki...bis wenn den no?<br/>kuliooo  emojiQsmilingFaceWithSmilingEyes  emojiQthumbsUpSign[7-16]"
"80","ah odr wie du gschriebe häsch.. chasch gern am mäntigabig au bi üs verbii cho=)[1-6] okay. i lueg no am männtig. guets glingä bim fötälä[7-18]"
"81","Haha neei er isch selte bi sg nd so am kontrolliere :)[1-6] okay :D[7-8] Und stosszite eh ned  emojiQsmilingFaceWithOpenMouthAndSmilingEyes[9-13]"
"82","chum nöd druss aber chansch mirs jo denn verklickerä. i wart im national[1-6] okay[7-7] scho bstellt?[8-10] es cola. bin aber bald fertig.[11-18]"
"83","sowie letsht mal?[1-2] Wi letsh mal hoe[3-6] okay hoe[7-8] Time to go[9-11] Come out guel[12-14]"
"84","Fuck das isch am central[1-2] Also ab as central okay leo?[3-9] mediaQremoved[10-10] redactedQ1tokens7characters[11-11] redactedQ1tokens9characters[12-12]"
"85","mach am 15.15 no zöpfli! machet mer im boullevard ab?[1-6] okay i wart dött.  emojiQfaceMassage[7-12]"
"86","Es regt mich so uuf! Am fritig abig hesch mi links la ligge, gester abig isch der dini blöd TV Serie wichtiger gsi als ich, aber uusgrechnet hüt hätt mer ja no chli im Bett chönne kuschele... S isch ja keis wunder dass dier bis jetzt jede devo gloffe isch!!![1-1] redactedQ4tokens19characters[2-2] redactedQ6tokens25characters[3-3] Nüd isch meh okay...[4-8] redactedQ8tokens45characters[9-9] Es regt mich nurno uuf[10-14]"
"87","isch schochli strange[1-1] dä reste isch vorläufig no okay?[2-8] chönnt aber au es glace oder so vom nomittag gsi si[9-19]"
"88","die tönt numä live guet![1-6] okay freu mi druf[7-10] ohh jo[11-12]"
"89","und du?[1-2] redactedQ1tokens8characters[3-3] redactedQ2tokens7characters[4-4] hahahahah[5-5] redactedQ2tokens11characters[6-6] okay no paar lemon loots[7-11] redactedQ1tokens11characters[12-12]"
"90","Jo so nach zuestand NNNN-NNNN oder halt noch obe offe[1-1] Jo und mir doch glich[2-6] okay[7-7] und wa würdsch du wölle öppe usgeh?[8-15]"
"91","hihihi chasch jo au mol luege isch stream![1-4] ah.okay[5-7] jep  emojiQfaceWithStuckOutTongueAndWinkingEye[8-9]  emojiQthumbsUpSign  emojiQsmilingFaceWithSmilingEyes[10-11] bin hellwach!!![12-14]"
"92","^^[1-1] Ich find de protein shake okay[2-7] Aber so es ganzes glas devo ish sho recht vill[8-17]"
"93","I copy pasted myself into her[1-5] oh okay[6-7] Im thirstinnnnn[8-9] For zayn[10-11] All day[12-13]"
"94","mue mi eh no ameldä i de fahrschuel![1-6] okay[7-7] chasch mir schnell alütä?[8-12]"
"95","viel glück. dä zug chunnt jo scho glii oder?[1-2] jo am 46![3-6] okay.[7-8] streng![9-10] da glaub i dir. hesch es jo bald überstandä[11-20]"
"96","und jetzt huere scheisse ;([1-1] beste webber emojiQsmirkingFace[2-4] haha jaa okay gymi isch au ned so schlecht bestaht au nur us so tuee als zulose penne und zeichne emojiQfaceWithTearsOfJoy[5-25]"
"97","wenn bisch dihei? würd versuechswiis so en nuddeltopf machä, okay?[1-8] ha scho gessä! inerä halbä stund de bus isch mit vor de nasä abgfahrä![9-24]"
"98","bisch du grad direkt uf wil?[1-3] bin unterwegs hei[4-6] okay.[7-8] am viertelvor dobä[9-11] schriebsch wend uf em bus bisch  emojiQfaceThrowingAKiss[12-18]"
"99","Nei also er isch eifacht nüm im autoscout, aber üsen verkäufer het gseit, da chan theoretisch au si wil eifacht d laufziit vom inserat fertig isch.[1-6] okay[7-7] jo wenns englisch chönd, chani schomol alüte[8-15]"
"100","denn chönnd mer luege was es brucht.[1-6] okay[7-7] gmües, brot, zwieble, herdöpfel, knobli, süesses, milchschnitte, milch, rahm, fleisch, gnocchi, tortellini,  schoggi popcorn, spaghetti sauce, fertig pizza, pommes douchets[8-42]"
