User,Post
Klarmann@nrw.social,"<p>Ein <a href=""https://nrw.social/tags/Aachen"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Aachen</span></a>|er <a href=""https://nrw.social/tags/AfD"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AfD</span></a>-Bube soll am 14.12. bei einem rechtsextremen Aufmarsch in <a href=""https://nrw.social/tags/Berlin"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Berlin</span></a> (&amp; am 30.11. in <a href=""https://nrw.social/tags/Bremen"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Bremen</span></a>) sprechen. Die Aktivisten entstammen dem (israelfeindlichen &amp; ""identitären"") JA/AfD-Vorfeld. Sie müssen ihre Fanbase darauf hinweisen, keine ""Reichsfahnen"" mitzubringen…</p>"
gruenemuenchenhadern@gruene.social,"<p>Wir wollen, dass ein AFD-Verbotsverfahren gestartet wird!</p><p><a href=""https://gruene.social/tags/Gr%C3%BCne"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Grüne</span></a> <a href=""https://gruene.social/tags/Gr%C3%BCneHadern"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>GrüneHadern</span></a> <a href=""https://gruene.social/tags/BDK24"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BDK24</span></a>  <a href=""https://gruene.social/tags/AFD"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AFD</span></a> <a href=""https://gruene.social/tags/AFDverbotsverfahren"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AFDverbotsverfahren</span></a> <a href=""https://gruene.social/tags/WirWollenDass"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>WirWollenDass</span></a></p>"
norbert_renner@mastodon.social,"<p>Neigen <a href=""https://mastodon.social/tags/BSW"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BSW</span></a>- und <a href=""https://mastodon.social/tags/AfD"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AfD</span></a>-Anhänger:innen besonders zu <a href=""https://mastodon.social/tags/Impfnebenwirkungen"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Impfnebenwirkungen</span></a>?<br> <br>[<a href=""https://mastodon.social/tags/GesundheitsCheck"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>GesundheitsCheck</span></a>]</p><p>Von <a href=""https://mastodon.social/tags/JosephKuhn"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>JosephKuhn</span></a></p><p>Gefährden politische Präferenzen Ihre Gesundheit? So scheint es manchmal. Beispielsweise könnte man auf die Idee kommen, dass in Bayern die Nähe zur SPD regelrecht lebensgefährlich ist.<br><a href=""https://scienceblogs.de/gesundheits-check/2024/10/17/neigen-bsw-und-afd-anhaengerinnen-besonders-zu-impfnebenwirkungen/?utm_source=rss&amp;utm_medium=rss&amp;utm_campaign=neigen-bsw-und-afd-anhaengerinnen-besonders-zu-impfnebenwirkungen"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">scienceblogs.de/gesundheits-ch</span><span class=""invisible"">eck/2024/10/17/neigen-bsw-und-afd-anhaengerinnen-besonders-zu-impfnebenwirkungen/?utm_source=rss&amp;utm_medium=rss&amp;utm_campaign=neigen-bsw-und-afd-anhaengerinnen-besonders-zu-impfnebenwirkungen</span></a></p>"
IsabVann2@floe.earth,"<p>Nachtrag: Was mir bei dem Film außerdem durch den Kopf ging war, dass vieles (bewusst ?) als überspitzte Anspielung auf die reale Gefahr der Tyrannenherrschaft (Faschismus) gesehen werden kann, und der nötige Kampf dagegen. Angesichts der aktuellen Entwicklungen ist es näml nur noch eine Frage der Zeit, bis Trump einen Affen (oder, wie ein anderer röm Kaiser, ein Huhn), zum Minister macht, oder die AfD dereinst Migrant*innen in Käfigkämpfe zwingt (was übrigens tatsächl Trump-Playbook ist).</p>"
AfDVerbotJetzt@mastodon.social,"<p>Der Beschluss der Grünen auf der <a href=""https://mastodon.social/tags/BDK24"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BDK24</span></a> ist ein starkes Signal für das Verbot der AfD. Das ist wichtig 👇</p><p><a href=""https://www.zdf.de/nachrichten/politik/deutschland/gruene-parteitag-vorstand-brantner-banaszak-100.html"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">zdf.de/nachrichten/politik/deu</span><span class=""invisible"">tschland/gruene-parteitag-vorstand-brantner-banaszak-100.html</span></a></p><p>Wir dürfen aber keine Zeit verlieren. Wir fordern die Grünen im Bundestag auf, sich geschlossen hinten den Antrag zu stellen, der seit vergangener Woche im Bundestag vorliegt.</p><p>Schreibt jetzt euren grünen Abgeordneten 📩</p><p><a href=""https://afd-verbot.jetzt/de/abgeordnetentool"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">afd-verbot.jetzt/de/abgeordnet</span><span class=""invisible"">entool</span></a></p>"
heeb_sternis@nrw.social,"<p><span class=""h-card"" translate=""no""><a href=""https://muenchen.social/@joerg_spengler"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>joerg_spengler</span></a></span></p><p>Biermann hat mit seiner Unterstützung der CDU die Seiten gewechselt.<br>Irgendwie muss ihm im Gehirn was durcheinander geraten sein. Da haben sich offensichtlich Synapsen falsch verschaltet. Wie kann man nur von einem linken Hoffungsträger zu einem konservativen Propagandist werden.<br>Das BSW mit der noAfD gleich zu setzen ist hilflos und politisch eine Bankrotterklärung. Die AFD ist eine rechtsradikale Partei die unwählbar ist.<br>Das BSW ist eine moderne linkspopulistische Partei.</p>"
Lichdi@dresden.network,"<p>Was soll eigentlich noch passieren? - im Osten die AfD stärkste Partei, Minderheitsregierung in Sachsen, weil Kretschmer lieber mit der AfD als Grünen &amp; Linken spricht. Demokratie ist den Leuten eben scheissegal, hierzulande und in Europa (Siehe Ukraine) - Lieber haben sie ein völkisch-autoritäres System wie weiland unter dem Föhrer oder Erich.</p>"
ErikUden@mastodon.de,"<p><span class=""h-card"" translate=""no""><a href=""https://mastodon.social/@rainerzufall_le"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>rainerzufall_le</span></a></span> Genau! Und Ich glaube eben nicht das Wahlen in der Mitte gewonnen werden. Die letzte Europawahl, war für alle linke Parteien ein Reinfall. Keine Frage. Doch ~8,7% bundesweit zu verlieren zeigt für mich das die Basis verloren wurde.</p><p>Selbstverständlich kann man aus der Mitte neue Mitglieder gewinnen, doch höchstwahrscheinlich verliert man durch eben genau dieses anbiedern seine Basis die im Kern die jetzige Partei unterstützt, nicht die, die zur neuen Mitte geht! </p><p>Zudem: wenn auch nur in kleinsten Teilen AfD Talking Points unterstützt oder wiederholt werden (<em>Mehr Abschiebungen, Weniger Recht auf Asyl, „Importierter Antisemitismus”</em>) dann wird die AfD eher in diesen Positionen legitimiert, als das Menschen sich denken die Grünen nun als Alternative zur „Alternative” zu sehen.</p><p>Ich denke: Standhaft bleiben, Schwerpunkte und Ideale verteidigen, Rückgrat zeigen, hat nie zu einem ungewollten Ergebnis geführt. Das Gegenteil zu tun schon.</p>"
rainerzufall_le@mastodon.social,"<p><span class=""h-card"" translate=""no""><a href=""https://mastodon.de/@ErikUden"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>ErikUden</span></a></span> <span class=""h-card"" translate=""no""><a href=""https://systemli.social/@anneroth"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>anneroth</span></a></span> Den Grünen geht es aber nicht darum nicht von der AfD gehasst zu werden. Viele Grüne sehen die eigene Partei mit Stolz als Gegenpol zur AfD. (Völlig egal, wie Linke das sehen, es geht um die Srlbstwahrnehmung.)<br>Ich glaub allerdings, dass Überzeugungen wie ""Wahlen werden in der Mitte gewonnen"" da eine größere Rolle spielen.</p>"
ErikUden@mastodon.de,"<p><span class=""h-card"" translate=""no""><a href=""https://systemli.social/@anneroth"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>anneroth</span></a></span> Das habe Ich nicht! Denn dieses ständige jagen der neuen, immer rechteren Mitte ist nicht nur eine Abwärtsspirale, sondern ein endloser Kreislauf der sie immer weiter zum Opfer machen wird. In den USA passierte das gleiche: Demokraten dachten, wenn sie nur nett genug zu den Republikanern sind und genug Kompromissbereitschaft zeigen, dann würden sie nicht mehr Opfer von Hetze werden. Im Gegenzug wurden einfach neue Probleme sich ausgedacht, neue „moral panics” und die Demokraten noch mehr dämonisiert denn je.</p><p>Die Grünen werden nicht aufhören Opfer zu sein wenn sie sich den Bedingungen der Täter anbiedern. Gebt der AfD einen „Grund” sie zu hassen, seid so radikal wie die AfD euch eh darstellt, dann müssen sie sich nicht Unsinn ausdenken warum man euch hassen sollte (<em>Heizungen...</em>) sondern reden tatsächlich über eure Schwerpunkte.</p><p>Zudem verliert man dadurch nicht seine Basis und verteidigt was es überhaupt heißt in der Mitte zu sein.</p>"
