Farbe,Dokumentgruppe,Dokumentname,Code,Anfang,Ende,Gewicht,Segment,Bearbeitet von,Bearbeitet am,Erstellt von,Erstellt am,Fläche,Abdeckungsgrad %,Weitere am Segment vergebene Codes,Dokumentname,Erstellt am,Codierte Segmente,Wörter,Zeichen
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,2,2,0,Ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,2,2,0,Ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,2,2,0,er,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,2,0.01,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,psych_spoerri > Perakutes Delirium tremens,4,5,0,"(Inhalt kaum verständlich, nur annähernd wieder",guhl,20.05.25 15:04,guhl,20.05.25 15:04:02,836,3.83,"Pronomen > Pron_1SG (Gewicht: 0)
Pronomen > Pron_3SG-PL (Gewicht: 0)",psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,5,5,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Perakutes Delirium tremens (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,5,5,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Perakutes Delirium tremens (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,5,5,0,ihrer,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,5,0.02,psych_spoerri > Perakutes Delirium tremens (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,5,5,0,mein,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Perakutes Delirium tremens (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,5,5,0,sie,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,3,0.01,psych_spoerri > Perakutes Delirium tremens (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,psych_spoerri > Akute katatone Erregung,7,8,0,"Wut, solche unwahrscheinliche Wut. Laßt mich weg, weil sie sonst mich kaputt machen können. W enn ich auf einem norwegischen Schiff wäre, wäre der Mann schon längst eingesteckt.. Die Norweger sind anständige Leute. Da gibt es so etwas nicht. Da kommen die Leute nicht mehr herauf auf ein Schiff. Wissen Sie das. (Nein, erzählen Sie mir noch mehr.) Nein, ich erzähle Ihnen nicht mehr. (Seit wann sind Sie hier?) Wo, auf dem Schiff? (Wo sind Sie hier?) Wo? Hier bin ich im Hospital auf dem Schiff, auf irgendeinem.. (Sie sind nicht auf einem Schiff, Sie sind in Hamburg.) Ich bin nicht in Hamburg, ich bin auf einem Schiff, noch, der «Brasilia». In Brasilien wir haben wir gearbeitet Tag und Nacht, wie die Hunde, wie die Schweine, und haben gar kein Geld verdient, nichts. Die Schweine, die Schweine, die dicken, die sind dick und fett geworden und haben ihr Geld weggeworfen, und wir haben nichts verdient. Und schauen sie für eine Ehre an.. arm gewesen. Ich habe kaum Geld gehabt, um wegfahren zu können. Und jetzt, jetzt lachen die Leute noch über mich, die Leute ärgern mich noch, ärgern mich noch, lassen mich nicht heraus. Ich kann mir schon helfen. Ich kann mich doch gegen tausend Mann mit einer Maschinenpistole in der Hand, kann ich mich doch gegen tausend Mann wehren. Meinen Sie das nicht Doktor? (Ja) Ja Doktor, dann lassen Sie mich doch bitte heraus. Lassen Sie mich doch bitte aus diesen., heraus. Das geht doch.. und ich, sonst geh’ ich doch kaputt. Sonst würd’ es doch, sonst würd es noch bös, D oktor.. (Ja, wir wollen Sie schützen.) Doktor, geben Sie mir noch ein bißchen Wasser. (Wir wollen Sie schützen.) Wovor? Diese Stimmen, die ich gehört habe, die werd ich lieber nicht sagen, nicht, weil es schlechte Stim",guhl,20.05.25 15:04,guhl,20.05.25 15:04:02,2627,12.05,"Pronomen > Pron_1SG (Gewicht: 0)
Pronomen > Pron_3SG-PL (Gewicht: 0)",psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,7,7,0,sie,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mir,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,Ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,7,7,0,ihr,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,7,7,0,sie,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,Ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,Ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mir,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,Ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,Meinen,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,6,0.03,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mir,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mein,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,7,7,0,sie,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,mein,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,7,7,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,8,8,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,8,8,0,sie,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,8,8,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,8,8,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,8,8,0,er,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,2,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,8,8,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,8,8,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Akute katatone Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,psych_spoerri > Agitierte Depression,10,10,0,"Fühle mich so sehr elend. Jetzt fühl ich mich nicht wohl. Kann man ja auch nicht.. kann man ja.. (Seit wann ist es so schlimm?) Ach, schon ein paar Wochen, da hab ich immer so ein ängstliches Gefühl. Immer so ein ängstliches Gefühl und ich schlafe... Das ist wohl das schlechte Gewissen, wegen. (Wegen was?) Ja, ich hab zuviel, das hab ich alles schon erzählt, was ich getan habe. (Was haben Sie getan?) Ich habe etwas weggenommen.",guhl,20.05.25 15:04,guhl,20.05.25 15:04:02,431,1.98,Pronomen > Pron_1SG (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,10,10,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Agitierte Depression (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,10,10,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Agitierte Depression (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,10,10,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Agitierte Depression (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,10,10,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Agitierte Depression (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,10,10,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Agitierte Depression (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,10,10,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Agitierte Depression (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,10,10,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Agitierte Depression (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,10,10,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Agitierte Depression (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,10,10,0,Ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Agitierte Depression (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,psych_spoerri > Submanische Erregung,12,12,0,"Wissen Sie, was mir fehlt? Wissen Sie, was mir fehlt? Ne gute Cigarre, die liegt oben noch. Und vielleicht ein Glas Rotwein, wohltemperiert wie Bachs Klavier. Darf ich Ihnen mal ne kurze Geschichte in Fragmenten, in Fragmenten erzählen, ich möchte Ihnen nämlich s’Gegenteil beweisen. Nur am Rande noch mit, das gehört nicht dazu. Mein Schwiegervater ist Pfarrer. Und ich war da in H. heißt die Ortschaft, zufällig vis-ä-vis vom Lichtenstein. Ich weiß nicht, Lichtenstein kennen Sie vielleicht zufällig, also schwäbische Alb. Und da war ich, es war sogar am Freitag vor vierzehn Tagen, den Tag, wo ich eingeliefert wurde. Da fuhr ich weg von zu Hause, und unterwegs sah ich eine Bauersfrau mit ihrer Tochter, die neben",guhl,20.05.25 15:04,guhl,20.05.25 15:04:03,1477,6.78,"Pronomen > Pron_1SG (Gewicht: 0)
Pronomen > Pron_3SG-PL (Gewicht: 0)",psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,12,12,0,mir,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Submanische Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,12,12,0,mir,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Submanische Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,12,12,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Submanische Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,12,12,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Submanische Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,12,12,0,Mein,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Submanische Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,12,12,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Submanische Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,12,12,0,Ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Submanische Erregung (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
