Farbe,Dokumentgruppe,Dokumentname,Code,Anfang,Ende,Gewicht,Segment,Weitere am Segment vergebene Codes
●,,psych_schilder1918,LXmarker > 1st-PPrSg,76,76,1,Menschen meine Gedanken,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,76,76,1,gekommen. Ich dachte,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,77,77,1,welchem ich zeigen,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,77,77,1,daß meine Gedanken,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,78,78,1,den ich von,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,79,79,1,habe ich von,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,79,79,1,lassen. Ich hätte,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,80,80,1,von meinen Gedanken,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,81,81,1,wenn ich jemals,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,82,83,1,"war ich mir
zu",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,83,83,1,denn meine Kameraden,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,83,83,1,daß ich an,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,83,83,1,übertraf. Ich verstand,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,84,84,1,habe ich mich mit,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,85,85,1,war ich manchmal,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,86,86,1,habe ich mir reiflich,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,86,86,1,ob ich als,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,87,87,1,dürfte. Mein Vater,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,87,87,1,konnte mir dazu,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,88,88,1,habe ich mir 500,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,89,89,1,das ich auch,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,89,89,1,und ich habe,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,90,90,1,weil ich mich für,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,91,91,1,Denn ich bin,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,93,93,1,habe ich nach,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,93,93,1,obwohl meine Kameraden,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,94,94,1,"sagen, ich hätte mich überarbeitet",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,94,94,1,habe ich nur,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,95,95,1,damit meine Eltern,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,95,95,1,allem meine kleine,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,96,97,1,"sollten.
Meinem Vater",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,97,97,1,brauchte ich diese,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,97,97,1,da ich sie,LXmarker > x-PPr (Gewicht: 2)
●,,psych_schilder1918,LXmarker > x-PPr,97,98,2,"da ich sie erst
alle",LXmarker > 1st-PPrSg (Gewicht: 1)
●,,psych_schilder1918,LXmarker > 1st-PPrSg,99,99,1,das ich abends,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,100,100,1,hatte ich plötzlich,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,100,100,1,die ich Herrn,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,100,101,1,"auf
meine wissenschaftliche",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,101,101,1,gesetzt. Ich sehe,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,101,102,1,"wenn
ich mich an",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,102,102,1,kam ich zur,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,103,103,1,die ich nun,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,104,105,1,"Psychologie. Ich
komme",
